,POI_INDEX,ASPECTS,ATTRACTION_TYPES,ASPECTS_CRAWLED_TIME
0,1,flower dome,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.162380
1,1,light show,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.178771
2,1,cloud forest,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.195397
3,1,super trees,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.211427
4,1,sky walk,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.228103
5,1,ocbc skyway,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.245224
6,1,supertree grove,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.273937
7,1,satay,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.295088
8,1,plants and flowers,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.316189
9,1,beautiful garden,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.332171
10,1,air conditioned,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.353612
11,1,visiting singapore,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.373402
12,1,walk around,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.393021
13,1,domes,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.411009
14,1,waterfall,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.428113
15,1,observatories,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.445344
16,1,avatar,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.461852
17,1,nature,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.478092
18,1,walkway,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.495026
19,1,flora,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.510952
20,1,heat,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.527370
21,1,mrt,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.544171
22,2,orchid garden,"Nature & Parks, Gardens",2020-02-21 20:25:54.840949
23,2,swan lake,"Nature & Parks, Gardens",2020-02-21 20:25:54.857851
24,2,evolution garden,"Nature & Parks, Gardens",2020-02-21 20:25:54.874196
25,2,busy city,"Nature & Parks, Gardens",2020-02-21 20:25:54.890094
26,2,children's garden,"Nature & Parks, Gardens",2020-02-21 20:25:54.906894
27,2,monitor lizards,"Nature & Parks, Gardens",2020-02-21 20:25:54.923968
28,2,free entry,"Nature & Parks, Gardens",2020-02-21 20:25:54.940125
29,2,few hours,"Nature & Parks, Gardens",2020-02-21 20:25:54.956535
30,2,plants and trees,"Nature & Parks, Gardens",2020-02-21 20:25:54.973641
31,2,hop on hop off bus,"Nature & Parks, Gardens",2020-02-21 20:25:54.990004
32,2,mrt station,"Nature & Parks, Gardens",2020-02-21 20:25:55.006711
33,2,entrance fee,"Nature & Parks, Gardens",2020-02-21 20:25:55.024563
34,2,couple of hours,"Nature & Parks, Gardens",2020-02-21 20:25:55.041545
35,2,orchard road,"Nature & Parks, Gardens",2020-02-21 20:25:55.057263
36,2,walk around,"Nature & Parks, Gardens",2020-02-21 20:25:55.073816
37,2,picnic,"Nature & Parks, Gardens",2020-02-21 20:25:55.091123
38,2,nature,"Nature & Parks, Gardens",2020-02-21 20:25:55.107493
39,2,lakes,"Nature & Parks, Gardens",2020-02-21 20:25:55.124259
40,2,ginger,"Nature & Parks, Gardens",2020-02-21 20:25:55.140995
41,2,turtles,"Nature & Parks, Gardens",2020-02-21 20:25:55.157700
42,2,paths,"Nature & Parks, Gardens",2020-02-21 20:25:55.173640
43,2,rainforest,"Nature & Parks, Gardens",2020-02-21 20:25:55.189970
44,3,polar bear,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.578683
45,3,night safari,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.595400
46,3,white tiger,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.612874
47,3,feeding times,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.629980
48,3,animal shows,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.646927
49,3,animals seem,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.663747
50,3,river safari,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.680577
51,3,their natural habitat,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.696876
52,3,tram ride,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.713356
53,3,public transport,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.730122
