REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,2,103,BetTerDAY,5.0,2019-11-26,Not Available,新加坡航空和卡塔尔航空历年竞逐世界第一机场，偶尔会输给卡塔尔航空，但是要论机场，新加坡樟宜机场绝对是碾压卡塔尔多哈机场，不接受反驳,2020-02-16 16:36:17.422786
,2,103,Chenhutamu,5.0,2019-09-01,Not Available,要说世界上最好的国际机场，新加坡的樟宜国际机场绝对是数一数二的。单说这个体验区，真的是很多机场都没有的。这里环境很好，坐飞机前来体验一下很不错。,2020-02-16 16:36:17.428229
,2,103,一只爱旅行的牙齿,5.0,2019-09-14,Not Available,全球最佳机场真的不是浪得虚名啊 ～～ 例如：你走路累了，这里有免费的按脚器（刘德华代言的牌子)，不用手机扫码付费使用，不用付一分钱，你坐在这里，把开关一按，身体往后面一躺，一边脚底按摩一边闭目养神吧～～ 不用付一分钱，不限时间，你想按脚多久就多久，没人管你～～ 按脚太舒服了，今天脚底按摩按的够够的了～～ 按完后感觉全身都轻松许多了～～ 新加坡樟宜机场真的太多好玩、太多好吃的了，在吃喝玩乐方面，不会因为是机场、价格就会很高 价格特平民化，机场甚至比外面卖的还便宜～～,2020-02-16 16:36:17.433145
,2,103,佩特拉之猪,5.0,2019-08-19,Not Available,作为全世界最好机场之一的新加坡樟宜机场，有着最好的设施服务，而且很多都是免费提供的，比如说对于婴儿的手推车，还有对于过夜旅客的免费按摩椅，都是相当不错的配套，而且的话，整个机场都是非常注重环保的理念，可以说是本身这个机场就是一个景点了，的确是我去过最好的机场，没有之一。,2020-02-16 16:36:17.437482
,2,103,一只爱旅行的牙齿,5.0,2019-09-05,Not Available,第一次觉得原来机场也可以有“大自然”感觉。真不愧是城市花园的机场！新加坡连机场也有这么大的观赏价值！不过还是建议自由行过来吧，机场的体验区值得你慢慢享受。,2020-02-16 16:36:17.441575
,2,103,_ceair****74837,5.0,2019-10-23,Not Available,樟宜机场的航站楼内体验区还是非常非常的高大上的，可以称得上全球顶级的设计，内装也及其轻奢极简，摩登现代，且非常人性化，太赞了,2020-02-16 16:36:17.445342
,2,103,明慈,5.0,2019-08-13,Not Available,"The experience area within Changi Airport Terminal 2 is designed with an excellent interactive experience, combining the latest cutting-edge technology to make you feel the surprise and fun with large displays, great TV shows, free internet points, games room, custom sound seats and more",2020-02-16 16:36:17.449144
,2,103,yysweet,5.0,2019-04-11,Not Available,作为全世界最美的机场，新加坡樟宜机场真的是名副其实！太美太赞了！让人不得不感慨！在这里中转是享受！到新加坡一定要坐新航，也要好好逛逛这个漂亮的机场哦！,2020-02-16 16:36:17.452917
,2,103,靓雅雅vivian,0.0,2019-06-03,Not Available,新加坡樟宜机场最值得打卡的新地标-星耀樟宜 屡获全球最佳机场的的新加坡樟宜机场，一直以来都是人们心仪的地方。4月17日推出的“星耀樟宜”（Jewel Changi Airport）项目，成为了最近新加坡的又一新地标。 坐落于一号航站楼里的透明圆形建筑里兼具着购物、娱乐和休闲的功能，总面积达到了13.7万平方米，地上地下共有10层，可以通往各个航站楼。世界最高室内瀑布、有200多种植物的室内森林、顶层公园的花园景观、一条250米长的蹦跳网道和50米长的步行网道、还有两个500平方米的迷宫，让人们充分感受到“花园城市”的元素，这座大楼由国际知名建筑事务所萨夫迪建筑事务所（Safdie Architects）和来自雅思迈、贝诺建筑事务所的建筑师们共同设计完成。 这座星耀樟宜项目中最值得打卡期待的景观： 雨漩涡，耗资17亿新币的40米室内雨旋涡大瀑布（Rain Vortex）绝对是“星耀樟宜”的C位担当，一下子成为了世界最高的室内瀑布。所有游客从一层到三层都满满当当，每个机位看这个瀑布都会觉得超级震撼，巨大的漩涡倾尽巨大水流，像一个水帘洞，让人们感受仿佛身处山脚下的那份愉悦。 每晚七点半，雨漩涡在晚间还有灯光秀，不同的光影打在上面给人一场视觉上的享受，可惜我们没有赶上～ 用心360度找角度拍出的创意照片度，你们觉得好看吗？,2020-02-16 16:36:17.456389
,2,103,E03****23,5.0,2018-05-26,Not Available,樟宜机场很大很大，已经有4个航站楼了，如果购物的话其实认真逛一两个妞够了，因为每个航站楼的品牌是差不多的，自己的护肤品和带给小伙伴的伴手礼全部在这儿搞定。,2020-02-16 16:36:17.459740
