WEBSITE_ID,REVIEW_ID,OVERVALL_SCORE,LABEL
2,7141,0.744125,positive
2,7142,0.525399,positive
2,7143,0.9454,positive
2,7144,0.871398,positive
2,7145,0.958434,positive
2,7146,0.928688,positive
2,7147,0.501646,positive
2,7148,-0.31524,negative
2,7149,0,neutral
2,7150,0.6402,positive
2,7151,0,neutral
2,7152,0.904205,positive
2,7153,0.957965,positive
2,7154,0.980584,positive
2,7155,0.715724,positive
2,7156,0.91042,positive
2,7157,0.799036,positive
2,7158,0.475614,positive
2,7159,0.999775,positive
2,7160,0.8892,positive
2,7161,0.7956,positive
2,7162,0.838446,positive
2,7163,0.987183,positive
2,7164,0.956269,positive
2,7165,0.887105,positive
2,7166,0.628929,positive
2,7167,0.873793,positive
2,7168,0.983978,positive
2,7169,-0.803728,negative
2,7170,-0.704556,negative
2,7171,0,neutral
2,7172,0.559065,positive
2,7173,0.912807,positive
2,7174,0.758951,positive
2,7175,0.962588,positive
2,7176,0.956914,positive
2,7177,0.774416,positive
2,7178,0.472773,positive
2,7179,0.903958,positive
2,7180,0,neutral
2,7181,0.796774,positive
2,7182,0.418886,positive
2,7183,0.94869,positive
2,7184,0,neutral
2,7185,-0.350006,negative
2,7186,0.460133,positive
2,7187,0.855639,positive
2,7188,0.979585,positive
2,7189,0.938112,positive
2,7190,-0.413631,negative
2,7191,0.998789,positive
2,7192,0.997651,positive
2,7194,-0.60303,negative
2,7195,0.453894,positive
2,7196,-0.709369,negative
2,7197,0.81021,positive
2,7198,-0.736605,negative
2,7199,0.997491,positive
2,7200,0.667774,positive
2,7201,0.999559,positive
2,7202,0.636708,positive
2,7203,0.588425,positive
2,7204,0.588425,positive
2,7205,0.809481,positive
2,7206,0.750796,positive
2,7207,-0.364278,negative
2,7208,0.398892,positive
2,7209,0.947542,positive
2,7210,0.893418,positive
2,7211,0.961917,positive
2,7212,-0.594318,negative
2,7213,0.915244,positive
2,7214,0.605613,positive
2,7215,0.892016,positive
2,7216,0.805756,positive
2,7217,0.999681,positive
2,7218,0.501072,positive
2,7219,0.968233,positive
2,7220,0.929695,positive
2,7221,-0.578743,negative
2,7222,0.885083,positive
2,7223,0.808028,positive
2,7224,-0.534991,negative
2,7225,0.72555,positive
2,7226,0.98772,positive
2,7227,0.779975,positive
2,7228,0.987362,positive
2,7229,0.859694,positive
2,7230,0.804949,positive
2,7231,0.811726,positive
2,7232,0.543794,positive
2,7233,0.803083,positive
2,7234,0.767047,positive
2,7235,0.970601,positive
2,7236,0.848342,positive
2,7237,0.994033,positive
2,7238,0.919978,positive
2,7239,0.917218,positive
2,7240,0.961313,positive
2,7241,-0.384392,negative
2,7242,0.97103,positive
2,7243,0.69123,positive
2,7244,0.900805,positive
2,7245,0.425174,positive
2,7246,0.766363,positive
2,7247,-0.757949,negative
2,7248,-0.233653,negative
2,7249,0.56956,positive
2,7250,0.765022,positive
2,7251,0.923192,positive
2,7252,0.981356,positive
2,7253,0.821551,positive
2,7254,0.993646,positive
2,7255,0,neutral
2,7256,0.841833,positive
2,7257,0.920629,positive
2,7258,0.524786,positive
2,7259,0.329464,positive
2,7260,0.935453,positive
2,7261,0.940377,positive
2,7262,0.631814,positive
2,7263,0.991465,positive
2,7264,0.989368,positive
2,7265,0.591278,positive
2,7266,0.907136,positive
2,7267,0.834524,positive
2,7268,-0.544364,negative
2,7269,-0.71388,negative
2,7270,0.774018,positive
2,7271,0.788193,positive
2,7272,0.899726,positive
2,7273,0.778637,positive
2,7274,0,neutral
2,7275,0.728977,positive
2,7276,0.584405,positive
