POI_INDEX,REVIEW_ID,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY
C1-10,1101,08****105,4,2020-04-15,西湖中心的三个小潭，坐游船时可以近看。
C1-10,1102,萱仔Bee,4,2020-04-15,我和基友是從蘇堤的花港碼頭坐船上的島。疫情期間，只有三潭的島是開放的，湖心島和另一個不知道叫啥的是不開放的。非疫情期間我也不知道這倆開不開😂反正這次我們連坐船到上島，一個人才35元，正常據說船票就要50，上島另外收費？上島前，穿上的工作人員給我們講三潭為啥能看見33個月亮，一個塔有五個面，十五的時候？誒記不清了（捂臉）反正每個塔的五面都用什麼布糊上，三個塔裡面有燈，晚上三五一十五，再加上水裡的倒影，一共就是30個月亮，然後天上一輪月，水裡它的倒影，還有一輪在你心裡😂😂😂這就是33輪月亮🌙 照片裡那個塔是雷峰塔～不過這幾張照片是在西湖岸邊照的，真正上了小瀛洲，哦就是三潭那個島的別名，在小瀛洲根本沒辦法好好拍，因為人真的好多啊😂而且眼睛👀真的很神奇，你明明看到的是三潭很大很近，但一上手機，就小的快成點點了😂 三潭島的碼頭小飛蟲超多，估計是水多的過。滿島上到處都瀰漫著一股子烤腸味……倒是樹多，空氣也很好，很清新。 島上碼頭比較多，有的只讓紙版船票登船。電子船碼其實他們也不查。35塊錢的船票，包括上島和離島的兩次船費。離島時，去往湖濱碼頭的人是最多的，真的還是烏央烏央的，不過據說沒疫情的時候，人更多……親子遊的不少，淨是小孩子，還有個小姑娘，跟她媽媽在拍漢服照，很活潑的小姑娘～
C1-10,1103,世外桃源89,5,2020-04-11,山潭映月，现在的景色真的是好美哦。
C1-10,1104,M25****5338,5,2020-04-10,三潭印月，是浙江杭州西湖十景之一，被誉为“西湖第一胜境”。三潭印月是西湖中最大的岛屿，风景秀丽、景色清幽，尤三潭印月的景观享誉中外。主要景点有“开网亭”、“闲放台”、“先贤祠”、“迎翠轩”、“花鸟厅”、“我心相印亭”、“曲桥”、“九狮石”等。 岸上金桂婆娑，柳绿花明，与雕栏画栋的建筑相映成趣。具有湖中有岛，岛中有湖，园中有园，曲回多变，步移景新的江南水上庭园的艺术特色。人民币一元纸币的背面采用三潭印月的盛景，可见三潭印月在我国风景名胜中也占据极其重要的标志作用。
C1-10,1105,魏成年本尊,5,2020-04-09,这个景点超级火爆，是一元人民币的背景图，非常不错。很多人都来打卡。即使是暴雨天，一样也要去，很多都是跟团
C1-10,1106,ljq00001,5,2020-04-08,非常值得一看，景色秀丽，让人流连忘返
C1-10,1107,龙猫2018,5,2020-04-05,三潭印月是西湖里面的著名景点，景色印刷在人民币上面
C1-10,1108,南麂土著,0,2020-04-01,去年的今天，我在西湖第一胜境看绿樱花。杭州唯一的一株绿樱花就在小瀛洲，不过春天西湖满目翠绿，不太容易找到。从湖滨上岸来的码头东西向穿过，中路西面，紧挨着内湖，嫩绿色，像抹茶蛋糕。据说绿樱花学名叫“郁金”，为稀少的樱花品种，樱花界的“熊猫”。今年疫情影响，不确定西湖的游船有没有开通小瀛洲，咨询@西湖区风景旅游局 。声明，愚人节不愚人哦！
C1-10,1109,_YX1****729,5,2020-03-22,很小的时候在课本上学到了三潭映月，在西湖上真正看到了。
C1-10,1110,kentyangor,5,2020-03-15,西湖最富盛名的美景之一，伴着凄美神话，更让人慕名而来
C1-10,1111,M24****2434,4,2020-03-13,人好多啊！
C1-10,1112,我是水晶,4,2020-03-09,三潭印月又叫小瀛洲，是西湖最大的一个岛。游客可以乘西湖上的游船，从码头上船，到湖心小瀛洲，登岛（包门票），然后任选一码头再返回。在小瀛洲可以很好地观赏三潭印月。船驾驶近小瀛洲岛就可以看到湖面三潭和远处的雷峰塔。 小瀛洲前身为水心保宁寺，也称湖心寺，北宋时为湖上赏月佳处，从空中俯瞰，全岛如一个特大的田字，构成了“湖中有岛，岛中有湖”的奇景。小瀛洲具有典型的江南水上园林特色，主要景点包括浙江先贤祠、九曲桥、九狮石、开网亭、亭亭亭、竹径通幽和我心相印亭。
C1-10,1113,CaryZ,3,2020-03-02,西湖什么都好，就是三潭印月不咋地，坐船收费不是问题，但人多嘈杂秩序一般。
C1-10,1114,居士9466,5,2020-03-02,从小就学习三潭印月，一定要去实地看看。
C1-10,1115,爱睡觉的猪01,5,2020-03-02,如果确实晚上可能来杭州转一圈，白天看不到三潭印月的夜景，但是说这个据说夜景确实真的跟市里描述的还比较像，从不同的角度能够看到月亮在水面上浮着散弹中间的样子挺好看。
C1-10,1116,_WeCh****242253,5,2020-02-28,来到杭州就必须坐船要看看三潭印月，尽管没有想象的那么传奇，但依然很满足。
C1-10,1117,真诚7577,4,2020-02-09,可以去看看的西湖十景中最精典的地方
C1-10,1118,荷花夫,5,2020-02-05,景色值得一去，还有深厚的文化底蕴
C1-10,1119,zjzysdp,4,2020-01-27,西湖的最标志性景点，月圆之夜倒影在湖面。
C1-10,1120,奥利奥和阿福,4,2020-01-24,小时候课本上的地方，见了还是很震撼的，有个角度拍照很好
