POI_INDEX,REVIEW_ID,REVIEW_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY
C1-5,811,M37****2340,5,2020-04-16,风景如画真的很不错好好下次还过来
C1-5,812,天使之翼Miranda,5,2020-04-15,虽然是新建的，但是可以看到遗址的痕迹，还有文物的展出，里面的砖雕真的是绝了
C1-5,813,萱仔Bee,5,2020-04-15,這次疫情過後，雷峰塔好像是從3.14開始直到五一前都是限號預約，免費登塔～簡直忒划算了！哈哈～就是每天運營時間是10:00-16:30，誒？還是10:30到16:30了？我忘了，沒記清楚…反正一天限號600個人，要從一個叫“美景來了”的APP預約，是官方的～每個小時整點搶票！我和基友從11號搶到13號，才終於搶到了14號登塔的票😂 由於塔是2000年新建的，所以上塔有電梯，屬於古跡的也就是塌了的塔基，現在被巨大的玻璃罩保護起來了。塔基那層有紀念品店，但是沒什麼太值得買的，哦，手繪本白蛇傳～現在我沒辦法掏出來照相，以後看有機會的吧～那個小人書30塊錢一本，很漂亮，比較有收藏價值。其他的東西都是杭州周邊，甚至上海生產的😂真沒啥買～不過上海產的那個擦手油很香也不貴，單個的有35、49的，套盒有99、128的，很好看倒是。 電梯是入園去塔基有兩節外置扶梯，塔裡從一層到頂層有直梯，但是疫情期間，塔內直梯不開放，兩組樓梯也分別指示只能上行或者只能下行，不過人少，走錯的人也有，倒是大家都戴口罩，入園的時候又查了健康碼、測了體溫，也沒什麼事～emmm，入園要帶身份證，主要是憑預約碼和健康碼入園，身份證核實信息。門口寶安人員先查預約碼放行，然後安檢，然後裡面工作人員一人查健康碼，再然後一人測體溫，最後倆人核實並登記你的信息，然後才能把你放進去～ 雷峰塔很現代化，具體的百度都有我就不說了，網上也有照片～我想說的是，登塔看西湖真的很美，能看到三潭映月那個小島，眼神好的話，是能看見三個潭子的～我們昨天登塔是陰天，如果出太陽在看西湖，一定更美！塔的每層有八個門，應該是有講究的，但是鑒於我們是自由行，又對宗教不太懂，所以也不知道是個具體啥說法，每層塔簷都掛了風鈴，昨天沒風，如果有點威風吹動風鈴，應該會更有禪意～我拍的最多的是，應該是三層的名人提詩詞吧～本來我是帶著我家飛哥的任務去的😂他說雷峰塔他七八年前去的時候，看到一個小木牌上有人寫了什麼雷峰塔下的愛情很現實～讓我再去找找～於是我拍了一堆，我也沒找見他說的類似的話😂對了，突然想到塔裡的商店有賣塔基舊磚的😂我問商店的大姐，我說塔磚不是文物嗎，怎麼還允許買賣？難道是仿製品？？大姐說，哦我們這個是合法買賣，絕對是塔基元磚，辟邪護佑balabala😂是的，青磚不僅都有證書，而且有些還有燙金粉，最貴的298元？一塊？忘了拍照了，有點可惜😂
C1-5,814,_WeCh****322392,5,2020-04-14,最美爱情故事的象征，很浓的南越文化
C1-5,815,M28****0579,5,2020-04-12,风景不错！
C1-5,816,世外桃源89,5,2020-04-11,雷峰塔，应该是在西湖附近吧。景色不错哦。
C1-5,817,独孤雅剑,5,2020-04-11,说起雷峰塔，第一个想到的肯定就是白娘子和许仙的故事了，站在西湖边上就能看到雷峰塔景区了，这也是杭州比较热门的一个景点，到塔上可以看到西湖全景，美不胜收，雷峰塔的地理位置不错，在西湖边上，过了长桥再步行一会儿就能到了，对面是著名的净寺，可以说是游客比较多的一个景点了
C1-5,818,zjzysdp,4,2020-04-09,重建的雷峰塔流光溢彩，夜晚的灯光格外美丽。
C1-5,819,秦子想,4,2020-04-08,每次亲朋好友来杭州，西湖边逛一下，都会去雷峰塔，名气大，但是里面的建筑，电梯等等已经失去了想象中的韵味
C1-5,820,_WeCh****3752,5,2020-04-07,论雷峰塔倒掉，记忆里依稀记得那个年代背景
