TEXT,COUNT,SENTIMENT_KEYWORD_AGG_INDEX,ASPECT_CATEGORY_NAME,COVID_RELATED
地方,2800,1,,
上海,2089,2,,
孩子,1552,3,,
景点,1286,4,,
景色,1068,5,,
外滩,856,6,,
时间,841,7,,
感觉,830,8,,
东方明珠,806,9,,
一去,783,10,,
动物,698,11,,
下次,650,12,,
故宫,635,13,,
小朋友,601,14,,
门票,551,15,,
的时候,514,16,,
夜景,510,17,,
晚上,504,18,,
风景,488,19,,
现在,476,20,,
项目,457,21,,
建议,437,22,,
游客,412,23,,
东西,410,24,,
人太多,409,25,,
一天,396,26,,
西湖,366,27,,
好地方,361,28,,
北京,357,29,,
疫情,356,30,,
趣味,346,31,,
非常好,343,32,,
中国,338,33,,
南京路步行街,336,34,,
特色,332,35,,
地平线,332,36,,
第一次,325,37,,
熊猫,321,38,,
人多,316,39,,
以后,313,40,,
上海的地标,304,41,,
景区,296,42,,
排到,292,43,,
个项目,290,44,,
迪士尼,288,45,,
历史,285,46,,
价格,277,47,,
大熊猫,276,48,,
东方明珠塔,276,49,,
世界,270,50,,
交通,270,51,,
杭州,270,52,,
让人,260,53,,
成都,260,54,,
步行街,260,55,,
的人,257,56,,
个人,249,57,,
鼓浪屿,246,58,,
都是,244,59,,
动物园,243,60,,
朋友,239,61,,
上海野生动物园,238,62,,
好去处,237,63,,
地标,232,64,,
黄浦江,232,65,,
网上,228,66,,
上海地标,222,67,,
野生动物园,218,68,,
这次,217,69,,
上海外滩,217,70,,
多人,216,71,,
知识,215,72,,
小孩,215,73,,
环境,212,74,,
旅游,212,75,,
七个小矮人矿山车,208,76,,
上海科技馆,206,77,,
豫园,205,78,,
厦门,203,79,,
小孩子,203,80,,
公园,203,81,,
野生动物,200,82,,
今天,199,83,,
迪士尼乐园,199,84,,
地铁,196,85,,
电梯,194,86,,
城市,192,87,,
长城,192,88,,
今天刷,192,89,,
的很开心,189,90,,
大上海,187,91,,
景色宜人,183,92,,
设施,181,93,,
园区,179,94,,
乐园,172,95,,
一起,171,96,,
过去,166,97,,
酒店,166,98,,
美食,162,99,,
都会,161,100,,
小时,160,101,,
周末,158,102,,
科技馆,158,103,,
以前,156,104,,
网红,155,105,,
陈列馆,154,106,,
小动物,154,107,,
节假日,149,108,,
旅游景点,149,109,,
科技,148,110,,
国家,148,111,,
天气,147,112,,
导游,144,113,,
上海迪士尼度假区,142,114,,
玻璃,140,115,,
白天,140,116,,
走廊,140,117,,
颐和园,140,118,,
上海迪士尼,132,119,,
美景,131,120,,
人少,126,121,,
南京路,126,122,,
上海的标志性,124,123,,
最后,123,124,,
上海旅游,121,125,,
环境优美,120,126,,
也可以,120,127,,
也不,116,128,,
圆明园,115,129,,
春天,115,130,,
买票,114,131,,
一去的地方,114,132,,
家人,114,133,,
疫情期间,113,134,,
