TEXT,COUNT,SENTIMENT_KEYWORD_AGG_INDEX,ASPECT_CATEGORY_NAME,COVID_RELATED,SENTIMENT_KEYWORD_AGG_INDEX2
西湖,366,27,POI/Places,NA,1
杭州,270,52,POI/Places,NA,2
地方,2800,1,POI/Places,NA,3
杭州西湖,71,256,POI/Places,NA,4
景色,1068,5,Sightseeing,NA,5
西湖美景,45,415,POI/Places,NA,6
白堤,49,376,POI/Places,NA,7
景点,1286,4,POI/Places,NA,8
雷峰塔,63,296,POI/Places,NA,9
苏堤,69,267,POI/Places,NA,10
淡妆浓,34,525,Sightseeing,NA,11
西子,32,559,Sightseeing,NA,12
让人,260,53,Experience,NA,13
一去,783,10,NA,NA,14
的时候,514,16,NA,NA,15
平湖秋月,27,678,POI/Places,NA,16
残雪,24,743,POI/Places,NA,17
潭印月,29,623,POI/Places,NA,18
花港,27,679,POI/Places,NA,19
上有天堂,18,1009,Sightseeing,NA,20
下有苏杭,18,1027,Sightseeing,NA,21
中国,338,33,NA,NA,22
感觉,830,8,Experience,NA,23
杨公堤,18,1014,POI/Places,NA,24
柳浪,20,939,NA,NA,25
美景,131,120,Sightseeing,NA,26
上有天堂下有苏杭,16,1121,Sightseeing,NA,27
曲院风荷,21,867,Sightseeing,NA,28
赵公堤,16,1199,POI/Places,NA,29
门票,551,15,Transportation/Accessibility,NA,30
三面环山,16,1227,Sightseeing,NA,31
传说,22,827,Arts & Culture,NA,32
建议,437,22,Experience,NA,33
春天,115,130,NA,NA,34
景区,296,42,POI/Places,NA,35
湖面,32,566,Sightseeing,NA,36
湖面分割成若干水面,14,1305,Sightseeing,NA,37
西湖美景三月天,16,1136,Sightseeing,NA,38
风景,488,19,Sightseeing,NA,39
一天,396,26,NA,NA,40
人间天堂,13,1521,POI/Places,NA,41
四季,15,1268,NA,NA,42
城市,192,87,NA,NA,43
屏晚钟,12,1673,NA,NA,44
时间,841,7,NA,NA,45
晚上,504,18,NA,NA,46
步行,88,198,Transportation/Accessibility,NA,47
江南,53,353,NA,NA,48
游船,56,327,Activities,NA,49
第一次,325,37,NA,NA,50
都会,161,100,NA,NA,51
多处公园景点,10,1934,POI/Places,NA,52
多座博物馆,10,1992,POI/Places,NA,53
山色空,12,1680,Sightseeing,NA,54
山路,26,697,Transportation/Accessibility,NA,55
平方千米,19,974,NA,NA,56
杭州市区,14,1420,NA,NA,57
游客,412,23,NA,NA,58
湖南,10,2061,NA,NA,59
湖泊,18,1018,Sightseeing,NA,60
照片,89,196,Sightseeing,NA,61
的人,257,56,NA,NA,62
西湖景区,11,1780,POI/Places,NA,63
西湖的景色,11,1806,POI/Places,NA,64
西湖真的,11,1838,POI/Places,NA,65
雷峰夕照,12,1727,POI/Places,NA,66
雷锋塔,10,2115,POI/Places,NA,67
音乐喷泉,10,1988,Sightseeing,NA,68
一年四季,39,469,NA,NA,69
一种,65,285,NA,NA,70
上有天堂 下有苏杭,8,2564,Sightseeing,NA,71
傍晚,33,544,NA,NA,72
单车,13,1468,Transportation/Accessibility,NA,73
多处国家,8,2625,NA,NA,74
季节,80,222,NA,NA,75
孤山,11,1759,Sightseeing,NA,76
新西湖,8,2346,POI/Places,NA,77
杭州的名片,8,2331,POI/Places,NA,78
樱花,23,786,Sightseeing,NA,79
浓妆淡,8,2635,Sightseeing,NA,80
浙江省杭州市西湖区龙井路,8,2633,POI/Places,NA,81
湖底部,8,2672,NA,NA,82
环境,212,74,Environment and Ambiance,NA,83
疫情,356,30,Safety,1,84
白娘子,11,1816,Arts & Culture,NA,85
自行车,24,773,Transportation/Accessibility,NA,86
苏堤春晓,20,934,POI/Places,NA,87
荷花,18,1044,Sightseeing,NA,88
西湖景色,8,2649,POI/Places,NA,89
西湖的湖体轮廓,8,2267,POI/Places,NA,90
西湖边,16,1133,POI/Places,NA,91
许仙,12,1676,Arts & Culture,NA,92
趣味,346,31,Experience,NA,93
近椭圆形,8,2389,NA,NA,94
都是,244,59,NA,NA,95
重点文物,8,2282,Arts & Culture,NA,96
钱王祠,10,1927,POI/Places,NA,97
雷锋夕照,9,2259,POI/Places,NA,98
风景优美,96,165,Sightseeing,NA,99
风景名胜,13,1510,Sightseeing,NA,100
下次,650,12,NA,NA,101
世界,270,50,NA,NA,102
两天,83,208,NA,NA,103
个人,249,57,NA,NA,104
人多,316,39,Transportation/Accessibility,NA,105
以后,313,40,NA,NA,106
俶塔,8,2309,POI/Places,NA,107
单位,70,266,NA,NA,108
南宋时期,8,2539,Arts & Culture,NA,109
地表水源,6,3203,NA,NA,110
夏天,83,206,NA,NA,111
天堂,105,147,NA,NA,112
好去处,237,63,POI/Places,NA,113
孩子,1552,3,Family/ Friends,NA,114
它的,27,668,NA,NA,115
岳王庙,10,2104,POI/Places,NA,116
当年,29,632,NA,NA,117
微风,18,1049,Environment and Ambiance,NA,118
慢慢的,48,378,NA,NA,119
才能,83,204,NA,NA,120
新白娘子传奇,6,3617,Arts & Culture,NA,121
时光,39,468,NA,NA,122
景区总面积,6,3074,NA,NA,123
景色宜人,183,92,Sightseeing,NA,124
景象,25,720,Sightseeing,NA,125
晴天,17,1084,Environment and Ambiance,NA,126
杨柳依依,7,2731,Sightseeing,NA,127
杭州一定,8,2400,NA,NA,128
杭州市民,10,1943,NA,NA,129
杭州花圃,6,3204,Sightseeing,NA,130
桥烟柳,8,2417,Sightseeing,NA,131
水光,7,2841,NA,NA,132
水深,8,2629,NA,NA,133
汇水面积,6,3077,NA,NA,134
浙江省杭州市,18,1028,NA,NA,135
湖光山色,18,1021,Sightseeing,NA,136
