"POI_INDEX","CITY_NAME","POI_NAME","URL"
"C1-1","杭州","西湖","https://you.ctrip.com/sight/hangzhou14/49894.html"
"C1-2","杭州","灵隐寺","https://you.ctrip.com/sight/hangzhou14/2040.html"
"C1-3","杭州","西溪湿地","https://you.ctrip.com/sight/hangzhou14/25481.html"
"C1-4","杭州","杭州宋城","https://you.ctrip.com/sight/hangzhou14/4081.html"
"C1-5","杭州","雷峰塔","https://you.ctrip.com/sight/hangzhou14/2033.html"
"C1-6","杭州","苏堤","https://you.ctrip.com/sight/hangzhou14/2036.html"
"C1-7","杭州","千岛湖","https://you.ctrip.com/sight/qiandaohu17/135831.html"
"C1-8","杭州","白堤","https://you.ctrip.com/sight/hangzhou14/2044.html"
"C1-9","杭州","六合塔","https://you.ctrip.com/sight/hangzhou14/2039.html"
"C1-10","杭州","三潭映月","https://you.ctrip.com/sight/hangzhou14/2038.html"
"C2-1","上海","外滩","https://you.ctrip.com/sight/shanghai2/736.html"
"C2-2","上海","东方明珠电视塔","https://you.ctrip.com/sight/shanghai2/762.html"
"C2-3","上海","迪士尼度假区","https://you.ctrip.com/sight/shanghaidisneyresort1446916/1412255.html"
"C2-4","上海","上海野生动物园","https://you.ctrip.com/sight/shanghai2/758.html"
"C2-5","上海","豫园","https://you.ctrip.com/sight/shanghai2/740.html"
"C2-6","上海","南京路步行街","https://you.ctrip.com/sight/shanghai2/3739.html"
"C2-7","上海","上海科技馆","https://you.ctrip.com/sight/shanghai2/18308.html"
"C2-8","上海","上海欢乐谷","https://you.ctrip.com/sight/shanghai2/65957.html"
"C2-9","上海","人民广场","https://you.ctrip.com/sight/shanghai2/107864.html"
"C2-10","上海","上海海洋水族馆","https://you.ctrip.com/sight/shanghai2/18722.html"
"C3-1","成都","都江堰景区","https://you.ctrip.com/sight/dujiangyan911/4597.html"
"C3-2","成都","成都大熊猫繁育研究基地","https://you.ctrip.com/sight/chengdu104/4229.html"
"C3-3","成都","宽窄巷子","https://you.ctrip.com/sight/chengdu104/63456.html"
"C3-4","成都","锦里古街","https://you.ctrip.com/sight/chengdu104/48862.html"
"C3-5","成都","武侯祠","https://you.ctrip.com/sight/chengdu104/4227.html"
"C3-6","成都","青城山","https://you.ctrip.com/sight/qingchengshan143879/62960.html"
"C3-7","成都","杜甫草堂","https://you.ctrip.com/sight/chengdu104/4226.html"
"C3-8","成都","春熙路","https://you.ctrip.com/sight/chengdu104/138472.html"
"C3-9","成都","金沙遗址博物馆","https://you.ctrip.com/sight/chengdu104/48863.html"
"C3-10","成都","文殊院","https://you.ctrip.com/sight/chengdu104/4341.html"
"C4-1","厦门","鼓浪屿","https://you.ctrip.com/sight/gulangyu120058/57405.html"
"C4-2","厦门","厦门大学","https://you.ctrip.com/sight/xiamen21/14050.html"
"C4-3","厦门","曾厝垵","https://you.ctrip.com/sight/xiamen21/109999.html"
"C4-4","厦门","环岛路","https://you.ctrip.com/sight/xiamen21/8669.html"
"C4-5","厦门","日光岩","https://you.ctrip.com/sight/gulangyu120058/2345.html"
"C4-6","厦门","南普陀寺","https://you.ctrip.com/sight/xiamen21/2344.html"
"C4-7","厦门","胡里山炮台","https://you.ctrip.com/sight/xiamen21/2342.html"
"C4-8","厦门","菽庄花园","https://you.ctrip.com/sight/gulangyu120058/2346.html"
"C4-9","厦门","中山路步行街","https://you.ctrip.com/sight/xiamen21/137032.html"
"C4-10","厦门","厦门园林植物园","https://you.ctrip.com/sight/xiamen21/8625.html"
"C7-1","北京","故宫","https://you.ctrip.com/sight/beijing1/229.html"
"C7-2","北京","颐和园","https://you.ctrip.com/sight/beijing1/231.html"
"C7-3","北京","八达岭长城","https://you.ctrip.com/sight/beijing1/230.html"
"C7-4","北京","天坛","https://you.ctrip.com/sight/beijing1/233.html"
"C7-5","北京","圆明园","https://you.ctrip.com/sight/beijing1/5208.html"
"C7-6","北京","天安门广场","https://you.ctrip.com/sight/beijing1/228.html"
"C7-7","北京","恭王府","https://you.ctrip.com/sight/beijing1/5174.html"
"C7-8","北京","北海公园","https://you.ctrip.com/sight/beijing1/232.html"
"C7-9","北京","景山公园","https://you.ctrip.com/sight/beijing1/5170.html"
"C-10","北京","慕田峪长城","https://you.ctrip.com/sight/huairou120418/243.html"
