"TEXT","COUNT","SENTIMENT_KEYWORD_AGG_INDEX","ASPECT_CATEGORY_NAME","ASPECT_CATEGORY","REQUIRE_CONTEXT"
"新加坡",7380,1,"NA",,
"地方",4424,2,"Sightseeing",,
"孩子",3456,3,"Family/Children family/Friends",,
"晚上",2777,4,"NA",,
"时间",2633,5,"NA",,
"感觉",2582,6,"NA",,
"景点",2498,7,"Sightseeing",,
"动物",2125,8,"Sightseeing",,
"项目",2024,9,"Activities",,
"小朋友",1959,10,"Family/Children family/Friends",,
"建议",1631,11,"NA",,
"游客",1622,12,"NA",,
"特色",1510,13,"Arts and Culture",,
"门票",1473,14,"Transportation and Accessibility",,
"动物园",1365,15,"POI/Places",,
"环球影城",1329,16,"POI/Places",,
"一去",1314,17,"NA",,
"海洋馆",1298,18,"POI/Places",,
"摩天轮",1238,19,"POI/Places",,
"夜景",1227,20,"Sightseeing",,
"的时候",1173,21,"NA",,
"景色",1172,22,"Sightseeing",,
"公园",1164,23,"Sightseeing",,
"酒店",1164,24,"NA",,
"价格",1072,25,"Price",,
"个人",1040,26,"NA",,
"新币",1019,27,"Price",,
"一天",989,28,"NA",,
"地铁",961,29,"Transportation and Accessibility",,
"缆车",961,30,"Activities",,
"都是",944,31,"NA",,
"白天",929,32,"NA",,
"乌节路",859,33,"POI/Places",,
"鱼尾狮",859,34,"POI/Places",,
"风景",857,35,"Sightseeing",,
"环境",842,36,"Environment and Ambiance",,
"世界",840,37,"NA",,
"东西",824,38,"NA",,
"酒吧",811,39,"F&B",,
"牛车水",803,40,"POI/Places",,
"下次",800,41,"NA",,
"博物馆",792,42,"Sightseeing",,
"现场",770,43,"Activities",,1
"金沙酒店",746,44,"POI/Places",,
"设施",742,45,"Facilities",,
"的人",739,46,"NA",,
"国内",735,47,"NA",,
"小印度",678,48,"POI/Places",,
"非常好",678,49,"Experience",,
"第一次",674,50,"NA",,
"海滩",670,51,"Environment and Ambiance",,
"小火车",659,52,"Activities",,
"克拉码头",655,53,"POI/Places",,
"中文",652,54,"NA",,1
"灯光",650,55,"Facilities",,
"沙岛",637,56,"NA",,
"沙滩",635,57,"Environment and Ambiance",,
"教堂",627,58,"Sightseeing",,
"现在",627,59,"NA",,
"小孩",622,60,"Family/Children family/Friends",,
"交通",621,61,"Transportation and Accessibility",,
"鱼尾狮公园",620,62,"POI/Places",,
"岛上",616,63,"Sightseeing",,
"照片",613,64,"Sightseeing",,
"夜间动物园",604,65,"POI/Places",,
"海豚",599,66,"Sightseeing",,
"滨海湾",586,67,"POI/Places",,
"花园",584,68,"Sightseeing",,
"餐厅",581,69,"F&B",,
"朋友",577,70,"Family/Children family/Friends",,
"小时",573,71,"NA",,
"多人",571,72,"Transportation and Accessibility",,
"工作人员",570,73,"Service",,
"植物",540,74,"Sightseeing",,
"美食",533,75,"F&B",,
"步行",532,76,"Transportation and Accessibility",,
"门口",530,77,"Transportation and Accessibility",,
"变形金刚",526,78,"Activities",,
"金沙",519,79,"POI/Places",,
"风格",515,80,"Environment and Ambiance",,
"商场",514,81,"Shopping",,
"这次",514,82,"NA",,
"也可以",511,83,"NA",,
"最后",509,84,"NA",,
"近距离",508,85,"Transportation and Accessibility",,
"历史",504,86,"Arts and Culture",,
"附近",494,87,"Transportation and Accessibility",,
"小孩子",492,88,"Family/Children family/Friends",,
"园区",485,89,"Sightseeing",,
"下午",478,90,"NA",,
"让人",466,91,"NA",,
"乐园",458,92,"Sightseeing",,
"也不",447,93,"NA",,
"灯光秀",445,94,"Activities",,
"滨海湾花园",442,95,"POI/Places",,
"城市",439,96,"NA",,
"网上",438,97,"Transportation and Accessibility",,
"买票",437,98,"Transportation and Accessibility",,
"新加坡河",433,99,"POI/Places",,
"以后",432,100,"NA",,
"好地方",416,101,"Sightseeing",,
"的很开心",405,102,"Experience",,
"水上乐园",403,103,"POI/Places",,
"植物园",399,104,"POI/Places",,
"时光",392,105,"NA",,
"也有",391,106,"NA",,
"夜间",390,107,"NA",,
"夜晚",389,108,"NA",,
"一点",385,109,"NA",,
"位置",374,110,"NA",,1
"出票",370,111,"Transportation and Accessibility",,
"印度人",363,112,"NA",,
"水上",354,113,"NA",,1
"鸭子船",352,114,"Activities",,
"一起",347,115,"Family/Children family/Friends",,
"意思",344,116,"NA",,
"新加坡动物园",337,117,"POI/Places",,
"条街",337,118,"NA",,
"必要",333,119,"NA",,
"大人",329,120,"Family/Children family/Friends",,1
"印度",328,121,"NA",,
"码头",326,122,"Sightseeing",,
"快捷票",322,123,"Transportation and Accessibility",,
