"POI_INDEX","POI_CHINESE_NAME","URL","TOTAL_REVIEWS","POI_NAME","WEBSITE_INDEX"
1,"新加坡环球影城","/sight/sentosa776/75830.html",16364,"Universal Studios Singapore",2
2,"新加坡滨海湾花园","/sight/singapore53/132782.html",6378,"Singapore Gardens by",2
3,"圣淘沙岛","/sight/singapore53/47929.html",3992,"Sentosa Island",2
4,"乌节路","/sight/singapore53/108118.html",2103,"Orchard Road",2
5,"克拉码头","/sight/singapore53/3654.html",2461,"Clarke Quay",2
6,"新加坡动物园","/sight/singapore53/3678.html",6070,"Singapore Zoo",2
7,"小印度","/sight/singapore53/19944.html",1353,"Little India",2
8,"牛车水","/sight/singapore53/19942.html",1201,"Chinatown",2
9,"新加坡摩天观景轮","/sight/singapore53/61017.html",3626,"Singapore Flyer",2
10,"S.E.A.海洋馆","/sight/sentosa776/141369.html",6237,"SEA Aquarium",2
11,"鱼尾狮公园","/sight/singapore53/62748.html",1710,"Merlion Park",2
12,"夜间野生动物园","/sight/singapore53/25847.html",3405,"Night Safari",2
13,"滨海湾金沙","/sight/singapore53/30007.html",547,"Marina Bay Sands",2
14,"新加坡植物园","/sight/singapore53/3672.html",701,"Singapore Botanical Garden",2
15,"圣淘沙名胜世界","/sight/sentosa776/87411.html",572,"Resorts World Sentosa",2
16,"滨海艺术中心","/sight/singapore53/26705.html",429,"Esplanade",2
17,"圣淘沙天际线斜坡滑车","/sight/sentosa776/134468.html",3209,"Sentosa Skyline Slip",2
18,"新加坡国家博物馆","/sight/singapore53/3662.html",814,"National Museum of Singapore",2
19,"滨海湾","/sight/singapore53/1711506.html",414,"Marina Bay",2
20,"新加坡河","/sight/singapore53/25836.html",458,"Singapore River",2
21,"圣安德烈教堂","/sight/singapore53/3659.html",462,"St. Andrew's Church",2
22,"滨海湾金沙空中花园","/sight/singapore53/1484299.html",736,"Marina Bay Sands Sky Garden",2
23,"新加坡国家美术馆","/sight/singapore53/136896.html",573,"Singapore National Gallery",2
24,"河川生态园","/sight/singapore53/137344.html",1194,"River Ecological Park",2
25,"滨海湾金沙酒店无边泳池","/sight/singapore53/1407535.html",643,"Marina Bay Sands Hotel Infinity Pool",2
26,"时光之翼","/sight/singapore53/1411763.html",2570,"Wings of Time",2
27,"水上探险乐园","/sight/sentosa776/1486042.html",2034,"Water Adventure Park",2
28,"巴拉湾海滩","/sight/sentosa776/107848.html",405,"Barra Bay Beach",2
29,"哈芝巷","/sight/singapore53/108091.html",374,"Haji Lane",2
30,"苏丹清真寺","/sight/singapore53/3660.html",274,"Sultan Mosque",2
31,"裕廊飞禽公园","/sight/jurong21393/3679.html",888,"Jurong Bird Park",2
32,"赞美广场","/sight/singapore53/132423.html",210,"Praise Place",2
33,"西乐索海滩","/sight/sentosa776/107849.html",302,"Siloso Beach",2
34,"双螺旋桥","/sight/singapore53/137357.html",365,"Double Helix Bridge",2
35,"马里安曼兴都庙","/sight/singapore53/25841.html",394,"Mariamman Hindu Temple",2
36,"新加坡艺术科学博物馆","/sight/singapore53/1411252.html",604,"Singapore Art Museum",2
37,"新加坡缆车","/sight/singapore53/1407536.html",963,"Singapore Cable Car",2
38,"甘榜格南","/sight/singapore53/25840.html",254,"Kampong Glam",2
39,"东海岸公园","/sight/singapore53/7681.html",284,"East Coast Park",2
40,"花柏山公园","/sight/singapore53/7676.html",296,"Faber Park",2
41,"旧禧街警察局","/sight/singapore53/30010.html",196,"Old Jubilee Street Police Station",2
42,"新加坡佛牙寺龙华院","/sight/singapore53/145844.html",287,"Buddha Tooth Relic Temple in Singapore",2
43,"新加坡国立大学","/sight/singapore53/1409771.html",140,"National University of Singapore",2
44,"芽笼士乃","/sight/singapore53/7682.html",173,"Geylang Serai",2
45,"国家胡姬花园","/sight/singapore53/1674015.html",396,"National Orchid Garden",2
46,"新加坡艺术博物馆","/sight/singapore53/3661.html",209,"Singapore Art Museum",2
47,"海豚园","/sight/sentosa776/1703716.html",396,"Dolphin Garden",2
48,"新加坡南洋理工大学","/sight/singapore53/1409766.html",188,"Nanyang Technological University, Singapore",2
49,"武吉知马天然保护区","/sight/singapore53/7689.html",150,"Bukit Timah Natural Reserve",2
50,"乌敏岛","/sight/pulauubin21394/7684.html",151,"Umin Island",2
51,"红点设计博物馆","/sight/singapore53/147110.html",190,"Red Dot Design Museum",2
52,"维多利亚剧院与音乐厅","/sight/singapore53/3674.html",140,"Victoria Theatre & Concert Hall",2
53,"荷兰村","/sight/singapore53/30072.html",122,"Dutch Village",2
54,"旧国会大厦艺术之家","/sight/singapore53/25848.html",119,"Old Capitol Art House",2
55,"武吉士村","/sight/singapore53/7674.html",119,"Bugis Village",2
56,"CITY TOUR鸭子船","/sight/singapore53/2481730.html",380,"CITY TOUR Duck Boat",2
57,"福康宁公园","/sight/singapore53/1710111.html",156,"Fort Canning Park",2
58,"新加坡集邮博物馆","/sight/singapore53/1409537.html",112,"Singapore Philatelic Museum",2
59,"亚洲文明博物馆","/sight/singapore53/1710133.html",109,"Asian Civilisations Museum",2
60,"詹美回教堂","/sight/singapore53/1486529.html",117,"Jamey Muslim Church",2
61,"滨海步道","/sight/singapore53/1710078.html",94,"Coastal Trail",2
62,"迈佳探险乐园","/sight/sentosa776/134485.html",107,"Maijia Adventure Park",2
63,"ION天空","/sight/singapore53/1710137.html",112,"ION Sky",2
64,"特丽爱3D美术馆","/sight/sentosa776/1417685.html",181,"Trick Eye Museum",2
65,"榜鹅沙滩","/sight/singapore53/1476722.html",71,"Punggol Beach",2
66,"麦里芝水库","/sight/singapore53/1710191.html",62,"Macquarie Reservoir",2
67,"登布西山","/sight/singapore53/30050.html",69,"Dempsey Hill",2
68,"巴西立公园","/sight/singapore53/1710003.html",78,"Pasir Ris Park",2
69,"土生华人博物馆","/sight/singapore53/1711551.html",77,"Peranakan Museum",2
