POI_INDEX,ENG_NAME,TOTAL_REVIEWS,RANKING,RATINGS,ADDRESS,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
1,not available,16703,1,4.8,"8 Sentosa Gateway, Sentosa Island Singapore",全年  10:00-19:00；其他特殊日期开放时间如下： 1、开放时间为10:00-20:00的日期有3月15-20日、3月22日、4月4/25日；2、开放时间为10:00-21:00的日期有3月14/28日、4月10/11/18日；3、开放时间为10:00-17:00的日期有2月10-29日、3月1-12日；4、另外：如闭园时间在20点和21点的会分别有以下两项活动：（20点）好莱坞璀璨夜间巡游，（21点）印象好莱坞；5、以上开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准。,2020-02-16 10:28:04.864560
2,not available,6539,2,4.8,"18 Marina Gardens Dr, Singapore 018953",全年  09:00-21:00；云雾林+花穹+ocbc空中走道：9:00-21:00（最晚入园时间20:00）；室外花园开放时间：5:00am-2:00pm；远东儿童乐园：周二-周五10:00-19:00；周末及假期：9:00-21:00；。,2020-02-16 10:44:34.733806
3,not available,4002,3,4.7,Sentosa Island,以景区当天安排为准。,2020-02-16 11:00:44.872716
4,OrchardRoad,2112,4,4.5,"OrchardRd,Singapore",全天开放,2020-02-16 11:16:45.886544
5,not available,2471,5,4.6,"3E River Valley Rd, Singapore 179024",09:00 — 22:00。,2020-02-16 11:30:28.670274
6,not available,6187,6,4.7,80 Mandai Lake Road Singapore 729826,全年  08:30-18:00；8:30-18:00（周一-周日）（最晚入园时间17：30）。,2020-02-16 11:43:14.024620
7,LittleIndia,1358,7,4.3,"48SerangoonRoad,#02-16,LittleIndiaArcadeSingapore217959",全天开放,2020-02-16 11:59:24.311805
8,ChinatownSingapore,1207,8,4.3,",Chinatown,PagodaStreet,TrengganuStreet,SagoStreet,SmithStSingapore050005",全天开放,2020-02-16 12:08:13.816450
9,not available,3654,9,4.7,30 Raffles Avenue Singapore 039803,每天上午 8:30 至晚上 10:30 （售票处开放至晚上 10:00）。,2020-02-16 12:16:00.785226
10,not available,6338,10,4.7,"8 Sentosa Gateway, Sentosa Island",全年  10:00-19:00；1、其中SEA海洋馆特殊日期开放时间为10:00-17:00的日期2月10-29日、3月1-12日；2、海事博物馆特殊开放时间为10:00-18:00的日期：2月10日-3月1日；3、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准。,2020-02-16 12:32:12.567797
11,MerlionPark,1721,11,4.5,浮尔顿一号（浮尔顿酒店正前方）,全年  全天开放。,2020-02-16 12:48:14.537836
12,not available,3453,12,4.4,"80 Mandai Lake Rd, Singapore",全年  19:15-23:55；19:15-24:00（周一-周日）（最晚入园时间23:15）。,2020-02-16 12:59:17.952798
13,not available,556,13,4.6,10 Bayfront Avenue，Singapore 018956,全天开放,2020-02-16 13:15:32.416093
14,not available,708,14,4.6,"1 Cluny Rd, Singapore 259569",新加坡植物园5:00-24:00。国家胡姬花园8:30-19:00，最后进入时间为18:00。。,2020-02-16 13:18:41.795411
15,not available,579,15,4.7,"8 Sentosa Gateway, Sentosa Island, Singapore 098269",全天开放（餐厅营业时间各不相同，请参考具体产品的营业时间）,2020-02-16 13:22:24.834199
16,EsplanadeTheatresontheBay,429,16,4.4,"1EsplanadeDrive,Singapore038981",周一-周五10:00-20:00，周六11:00-20:00，周日关闭。,2020-02-16 13:25:50.547896
17,not available,3290,17,4.8,"Imbiah Lookout 51 Cable Car Road | 45 Siloso Beach Walk, Sentosa Island 099003",全年  10:00-21:30；最晚入园时间21:15。,2020-02-16 13:28:44.952655
18,not available,854,18,4.6,"93 Stanford Road, Singapore",10:00 AM - 19:00 PM。,2020-02-16 13:45:25.554478
19,MarinaBay,419,19,4.7,10BayfrontAvenueSingapore018956,全天开放 新加坡滨海湾Prudential嘉年华开放时间：至2018年4月1日，16:00至23:00（最后入场时间22:00）,2020-02-16 13:50:02.991124
20,not available,462,20,4.6,"Singapore River, Singapore",City Tours鸭子船：9:30-17:30。DUCKtours鸭子船：10：00至傍晚18：00。克拉码头：09:00 — 22:00。。,2020-02-16 13:52:45.927484
21,StAndrewsCathedral,463,21,4.4,11StAndrew'sRoad，Singapore178959,周一、周二、周四、周五、周六：9:00-17:00;周三：9:45-17:00;周日：9:00-13:30,2020-02-16 13:55:29.316926
22,not available,764,22,4.5,10 Bayfront Avenue，Singapore,周一-周四：9:30—22:00；	 周五-周日：9:30—23:00。,2020-02-16 13:58:39.597861
23,not available,593,23,4.6,1 St. Andrew’s Road Singapore 178957,10:00-19:00（周一至周四，周六周日）； 10:00-21:00（周五）。,2020-02-16 14:02:49.207403
24,not available,1232,24,4.7,80 Mandai Lake Road Singapore 729826,全年  10:00-19:00；10:00-19:00（周一-周日）最晚入园时间18点30分。,2020-02-16 14:06:14.516764
25,MarinaBaySandsHotelInfinityPool,650,25,4.8,"10BayfrontAve,Singapore018956",6:00-23:00，无边泳池（包括南花园和南花园）可能会因私人​​活动而关闭。,2020-02-16 14:13:19.101084
26,not available,2622,26,4.7,"10 Beach View, Sentosa Island 099538, Singapore",全年  13:00-20:40；13:00-20:40为可换票时间，一天有两个表演场次，分别是19:40和20:40。,2020-02-16 14:17:47.306683
27,not available,2076,27,4.8,"8 Sentosa Gateway, Resorts World Sentosa, Singapore 098269",全年  10:00-18:00；1、开放时间为10:00-17:00的日期：2月10日-3月1日；2、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准；3、探险水迷宫将从2020年2月7日停止运营，直至另行通知。,2020-02-16 14:32:31.113075
28,PalawanBeach,407,28,4.5,"85APalawanBeachWalkSentosa-SwimmingLagoonRest|SouthernmostPoint,SentosaIsland098521,Singapore",全天开放,2020-02-16 14:44:06.635654
29,HajiLane,376,29,4.4,"HajiLn,Singapore",全天开放,2020-02-16 14:46:48.749223
30,MasjidSultan,274,30,4.4,"3MuscatStreet,Singapore198833",周一-周四、周六、周日10:00-12:00、14:00-16:00，周五14:30-16:00。,2020-02-16 14:49:29.714132
31,not available,896,31,4.7,2 Jurong Hill Singapore 628925,8:30-18:00（周一-周日）（最晚入园时间是17:30）。,2020-02-16 14:51:30.479142
32,Chijmes,210,32,4.5,"30VictoriaStreet,Singapore187996",全天开放,2020-02-16 14:56:22.415853
33,SilosoBeach,302,33,4.4,"SilosoBeachWalk,Singapore",全天开放,2020-02-16 14:57:50.668729
34,HelixBridge,365,34,4.5,"LinkingbetweenMarinaBayandMarinaCentre,Singapore038981,Singapore",全天开放，无需门票。,2020-02-16 15:00:11.044726
35,SriMariammanTemple,397,35,4.3,"244SouthBridgeRd,Singapore058793","7:00-11:30,18:00-20:45",2020-02-16 15:02:54.052992
36,not available,632,36,4.6,"6 Bayfront Ave,Singapore 018956",10:00-19:00（最后入场时间为18:00）。,2020-02-16 15:05:38.346736
37,not available,976,37,4.8,"1 Harbourfront Ave, tower 2 Keppel Bay Tower , Singapore",全年  09:00-22:00；缆车最后登车时间为21:30。,2020-02-16 15:09:11.864669
38,KampongGlam,254,38,4.4,"385BeachRoad,Singapore199581",全天开放,2020-02-16 15:14:30.723178
39,EastCoastPark,284,39,4.5,AlongEastCoastParkwayandEastCoastParkServiceRoadSingapore449876,全天开放,2020-02-16 15:16:28.435257
40,not available,297,40,4.4,"109 Mount Faber Road, Faber Peak , Singapore 099203",8:45-22:00(周一-周日）（最后登车时间为21:30）,2020-02-16 15:18:34.207138
41,OldHillStreetPoliceStation,197,41,4.5,"140HillSt,Singapore179369",全天开放,2020-02-16 15:20:35.076784
42,BuddhaToothRelicTemple,287,42,4.5,"288,SouthBridgeRoad，Singapore058840",7:00-19:00（2020年1月24日山门将在11:00关闭，23:30开启）；博物馆和佛塔室9:00-18:00。,2020-02-16 15:22:07.575674
43,NationalUniversityofSingapore,140,43,4.6,21LowerKentRidgeRoad，Singapore119077,全天开放,2020-02-16 15:24:08.685065
44,GeylangSerai,173,44,4.3,1GeylangSerai,8:00-22:00,2020-02-16 15:25:10.816508
45,not available,402,45,4.6,1 Cluny Road Singapore 259569,10:00-19:00（周一-周日）（最晚入场时间18:00）,2020-02-16 15:26:31.707252
46,SingaporeArtMuseum,209,46,4.4,"8QueenStreet,Singapore188535.",暂停营业,2020-02-16 15:28:48.553193
47,not available,402,47,4.6,"8 Sentosa Gateway, Resorts World Sentosa",全年  10:00-18:00。,2020-02-16 15:30:35.701669
48,NanyangTechnologicalUniversity,190,48,4.7,"50NanyangAvenue,Singapore639798",全天开放,2020-02-16 15:32:56.557136
49,BukitTimahNatureReserve,150,49,4.5,"177HindhedeDriveBukitTimahVhfStation,Singapore589333,Singapore",周六、周日7:00-18:00,2020-02-16 15:34:15.573764
50,PulauUbin,151,50,4.4,"PulauUbin,PulauUbin000701",全天开放,2020-02-16 15:35:27.039037
51,not available,193,51,4.4,Red Dot Design Museum，11 Marina Boulevard. ，Singapore 018940.,全年  10:00-20:00；博物馆内展览&设计商店&咖啡吧&酒吧的开放时间以时令公告为准。。,2020-02-16 15:36:43.068895
52,VictoriaTheatreVictoriaConcertHall,141,52,4.4,"9EmpressPlace,Singapore179556",10:00-21:00,2020-02-16 15:37:54.719517
