WEBSITE_ID,REVIEW_ID,OVERVALL_SCORE,LABEL
2,63785,0.784611,positive
2,63786,0.525799,positive
2,63787,0.915481,positive
2,63788,0.992984,positive
2,63789,0.995916,positive
2,63790,-0.51282,negative
2,63791,0.988743,positive
2,63792,0,neutral
2,63793,0.933527,positive
2,63794,-0.473476,negative
2,63795,0.366069,positive
2,63796,0.922737,positive
2,63797,0.767449,positive
2,63798,-0.65929,negative
2,63799,-0.74563,negative
2,63800,0.99327,positive
2,63801,-0.379606,negative
2,63802,0.95237,positive
2,63803,0.992266,positive
2,63804,0.959479,positive
2,63805,0.959479,positive
2,63806,0.905563,positive
2,63807,0.907921,positive
2,63808,0.982616,positive
2,63809,0.773807,positive
2,63810,0.953497,positive
2,63811,0.953497,positive
2,63812,0.479857,positive
2,63813,0.704301,positive
2,63814,0.611909,positive
2,63815,-0.712666,negative
2,63816,0.945516,positive
2,63817,0.560283,positive
2,63818,0.55427,positive
2,63819,-0.685318,negative
2,63820,0.827036,positive
2,63821,0.812797,positive
2,63822,0.504593,positive
2,63823,0.926814,positive
2,63824,0.994397,positive
2,63825,0.777609,positive
2,63826,0.917478,positive
2,63827,0.8638,positive
2,63828,0.988743,positive
2,63829,0.517403,positive
2,63830,0.985819,positive
2,63831,0.988917,positive
2,63832,0.998507,positive
2,63833,0.999974,positive
2,63834,0.961232,positive
2,63835,0.779567,positive
2,63836,0,neutral
2,63837,-0.364984,negative
2,63838,0.931585,positive
2,63839,0.476393,positive
2,63840,0.909235,positive
2,63841,0.905563,positive
2,63842,0,neutral
2,63843,0.932136,positive
2,63844,0.988329,positive
2,63845,0.999284,positive
2,63846,-0.885507,negative
2,63847,0.974471,positive
2,63848,-0.233473,negative
2,63849,0.918707,positive
2,63850,0.97354,positive
2,63851,0.97642,positive
2,63852,0.582993,positive
2,63853,0.910437,positive
2,63854,0.869763,positive
2,63855,0,neutral
2,63856,0.920328,positive
2,63857,0.842822,positive
2,63858,0.940771,positive
2,63859,0,neutral
2,63860,0.391643,positive
2,63861,0.995995,positive
2,63862,0.994907,positive
2,63863,0.994907,positive
2,63864,0.977734,positive
2,63865,0.796717,positive
2,63866,0.971817,positive
2,63867,0.489435,positive
2,63868,0,neutral
2,63869,0,neutral
2,63870,0.722318,positive
2,63871,0.904057,positive
2,63872,0.875428,positive
2,63873,0.984611,positive
2,63874,0.527084,positive
2,63875,-0.726053,negative
2,63876,0,neutral
2,63877,0.988798,positive
2,63878,-0.631927,negative
2,63879,-0.355975,negative
2,63880,0.988675,positive
2,63881,-0.821619,negative
2,63882,0.693812,positive
2,63883,0.414741,positive
2,63884,0.99542,positive
