REVIEW_ID,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
57916,2,82,M48****413,5.0,2019-12-02,20:57,圣淘沙鱼尾狮塔位于圣淘沙岛的中心地带，这里是前往圣淘沙各个景点的中心位置。鱼尾狮塔非常的高大 大家可以登到狮子的嘴巴处。据说这座狮子是公的，显得非常的威武。在夜晚亮起灯光的时候看着有些诡异，有种怕怕的感觉。,2020-02-16 16:16:57.234219
57917,2,82,散香MKII,5.0,2019-10-11,19:41,听说马上要拆了，觉得好可惜啊，登顶可以欣赏圣淘沙全景，嘴巴那里可以让工作人员拍合影，还有纪念币，晚上的灯光秀也很艳丽，是个很棒的地标，希望下个项目更好，不然真遗憾,2020-02-16 16:16:57.249071
57918,2,82,M33****1136,5.0,2019-09-11,17:02,新加坡鱼尾狮踏位于圣淘沙岛上，搭乘圣淘沙捷运即可抵达。鱼尾狮塔中分享了新加坡的起源与鱼尾狮的故事，门票还可以免费兑换鱼尾狮金币，再登上鱼尾狮头顶360度看新加坡美景！推荐可以花安排1小时来这里逛逛呦！,2020-02-16 16:16:57.262220
57919,2,82,独孤雅剑,4.0,2019-11-29,15:30,新加坡的标志性建筑物不仅仅在市区里有，在圣淘沙也有，乘坐缆车去往圣淘沙游览，在缆车上就看到了鱼尾狮，下了缆车之后步行一段路就能到达鱼尾狮这边，这里的游客也挺多的，感觉晚上有灯光了之后样子应该会更加的漂亮，来这里拍照的人挺多的。,2020-02-16 16:16:57.269409
57920,2,82,M15****345,4.0,2019-10-21,23:21,听说圣淘沙这个鱼尾狮年底之前就要拆除了…感觉不来有些遗憾 所白天看完，晚上又看了个灯光秀（每天19:45、20:20左右，免费） 失去之前总想要珍惜一下感受一下最高鱼尾狮的魅力！,2020-02-16 16:16:57.274996
57921,2,82,M30****2342,5.0,2019-09-14,10:36,这是圣陶沙岛上的巨大海狮像，可以坐电梯上去。海狮像本身相当大，而且立在岛的山坡上，从上面看的风景还不错。参观后凭门票可以抽奖，我们拿到了小小的纪念品。,2020-02-16 16:16:57.279736
57922,2,82,M33****3005,5.0,2019-09-11,23:20,"必去景点 这个地方观光客很多,大家都跟他做出很多互动式得动作.可以说没跟它拍过像就不算来到新加坡,游客真的很多要小心扒手，推荐一下。",2020-02-16 16:16:57.283894
57923,2,82,M33****2987,5.0,2019-09-11,22:34,值得看一看！ 有故事背景！解释鱼尾狮的来源。利用升降机登上顶楼参观！风景秀丽！可以用门票换取金币一枚，代表给予祝福！值得一赞吧！,2020-02-16 16:16:57.287673
57924,2,82,旅游交友,5.0,2020-02-04,23:34,非常有名的鱼尾狮塔，可惜因为要改造圹建圣淘沙岛的未来，政府已经决定要拆掉这个鱼尾狮，真是可惜啊。很多本地人联合签名向政府递交要求保留这座鱼尾狮，可惜也没用啊。,2020-02-16 16:16:57.291040
57925,2,82,M30****5864,5.0,2019-09-14,10:22,门票偏贵，感觉有点不值，但鱼尾狮塔是圣淘沙的标志，也是新加坡的标志，所以还是进去了，晚上会更漂亮一点，白天看没什么意思，其实在外面拍拍照就可以了。,2020-02-16 16:16:57.294288
57926,2,82,whoisangel,5.0,2019-09-04,13:11,这已经是新加坡最最最最排名第一的标志性景点。今天大家去新加坡旅行，一定要记得去这里看一下，至少也是到此一游打一下卡。这里的景色还真的是特别的漂亮。,2020-02-16 16:17:01.295103
57927,2,82,M30****1190,5.0,2019-09-12,13:52,如果不下雨，也没有闪电的话，乘电梯到楼顶，然后走几步下来。在这里，你可以按铃祈求好运，在去礼品店之前拍张照片。这家礼品店有很好的收藏品，我很后悔没有买几件东西(我想可能会从另一家礼品店买到)。这是必须来的地方吗?我不会这么说，但它值得一看。,2020-02-16 16:17:01.298528
57928,2,82,M33****3611,5.0,2019-09-11,13:42,我的好朋友告诉我去参观鱼尾狮塔，好吧，我们作为游客去了这里。收到这样的消息，你总是会信任你的朋友。朝着这座巨大的纪念碑走去，立刻引起了你的注意，新加坡的骄傲和喜悦将使这里与众不同。那天我了解了很多关于这个美丽的塔的信息，让我立刻爱上了新加坡。,2020-02-16 16:17:01.301629
57929,2,82,hiluoling,3.0,2020-01-01,16:28,圣淘沙岛上第1个应该打卡的地标了，标志着这是进入了圣淘沙岛的范围，这个雕像比市里公园里面的那个要大很多，感觉这个更加的宏伟壮观一些。,2020-02-16 16:17:01.304658
57930,2,82,zhulei831230,3.0,2020-01-01,16:56,这是圣淘沙岛的象征，在岛公园的入口处就能够看到，前面是一个中型的喷泉，近看会觉得真的还非常的高大的，也是一个很明显的地标。,2020-02-16 16:17:01.307762
57931,2,82,M49****629,5.0,2020-01-28,09:31,圣淘沙的鱼尾狮塔，可以说是几乎每个游客来新加坡旅游，必须打卡的景点！这个也可以毫不夸张的说，这个是新加坡的标志性建筑了。,2020-02-16 16:17:01.310915
57932,2,82,q****ky,3.0,2020-01-01,16:02,这个鱼尾狮塔既算是圣淘沙岛上的地标，也算是一个他的守护神吧，还挺高大的，我觉得鱼尾狮公园的那个要壮观一些，一定要打个卡。,2020-02-16 16:17:01.314053
57933,2,82,M19****417,5.0,2019-09-11,16:41,"鱼尾狮塔位于岛上的中部位置, 可以坐电车前往. 鱼尾狮塔比起真的那个高大得很多. 也吸引不少人来拍照. 这个塔可以付费入内参观. 但除了这个塔之外, 附近的景点不多.",2020-02-16 16:17:01.317100
57934,2,82,M30****8811,5.0,2019-09-14,11:44,这个评论是为2011年时在我和朋友去新加坡三天游的时候评论的。其中一个地方就是在鱼尾狮塔。我们拍了很多自拍，纪念最好的时刻，当然和朋友一起拍照。玩耍之后我们在餐厅吃晚餐，离这里不远。,2020-02-16 16:17:01.320169
