,POI_INDEX,NUMBER_OF_REVIEW,NUM_POS_ASP,NUM_NEG_ASP,NUM_NEU_ASP,PER_POS_ASP,PER_NEG_ASP,PER_NEU_ASP
35,36,628,519,67,36,0.7921793820071097,0.09406617445993984,0.1137544435329505
4,5,2416,2109,155,151,0.7802358980627024,0.09393143066674815,0.12583267127054942
17,18,846,740,56,48,0.7779805352798054,0.08982157339821574,0.1321978913219789
25,26,2622,2312,245,51,0.777716643741403,0.1469050894085282,0.07537826685006878
8,9,3000,2645,213,127,0.7750588526824433,0.11894436872754306,0.10599677859001364
80,81,654,563,68,21,0.7746515908493294,0.14120431238495923,0.08414409676571127
13,14,683,620,34,29,0.7740122068743976,0.06504979119820109,0.1609380019274012
24,25,650,577,52,21,0.7718928043891117,0.11310403038615742,0.11500316522473096
12,13,528,462,33,33,0.7689888727624576,0.09313014029995162,0.1378809869375907
1,2,3000,2669,199,114,0.7666962243897886,0.09152004480328557,0.14178373080692583
9,10,3000,2550,301,131,0.7572727820273445,0.11600313196410288,0.12672408600855267
30,31,885,769,68,45,0.747122168585221,0.11956925362049758,0.13330857779428146
14,15,561,480,33,48,0.7462195923734385,0.0747315362699978,0.17904887135656367
21,22,764,642,84,34,0.7399582075690736,0.12723473415370326,0.13280705827722314
36,37,976,845,79,46,0.7365439093484419,0.1176726955763783,0.1457833950751798
2,3,3000,2519,214,266,0.728742034856733,0.0964257078955142,0.1748322572477529
74,75,1076,900,127,42,0.7286864251738017,0.15806805708013172,0.11324551774606659
22,23,593,505,42,44,0.7200174443959878,0.07740950719581334,0.20257304840819887
23,24,1230,1015,140,71,0.7190616659643209,0.13864306784660768,0.1422952661890715
5,6,3000,2491,322,176,0.7132717499086686,0.1499399822556234,0.13678826783570794
26,27,2075,1728,268,68,0.7126585555267927,0.19449477953231512,0.09284666494089222
10,11,1671,1348,138,185,0.7098756181627454,0.08961486587741646,0.20050951595983815
3,4,2064,1554,313,197,0.6613886358859384,0.16835984025782946,0.17025152385623205
6,7,1311,998,208,104,0.659821578858778,0.1555293721595691,0.1846490489816529
16,17,3000,2320,547,111,0.658447265625,0.23738606770833334,0.10416666666666667
0,1,3000,2308,518,150,0.6322023782195492,0.23052201459988064,0.13727560718057022
7,8,1151,866,155,128,0.6249078246620238,0.16747234739860714,0.20761982793936912
11,12,3000,2075,693,225,0.567977369165488,0.2695898161244696,0.16243281471004242
