,POI_INDEX,NUMBER_OF_REVIEW,SENTIMENT
1,2,3000,0.7368056073105271
13,14,683,0.7366914494875546
25,26,2622,0.7308720486963196
8,9,3000,0.7147953092127309
17,18,846,0.710110187203791
36,37,976,0.7048498907216493
30,31,885,0.6956842006802726
80,81,654,0.6825297377300609
4,5,2416,0.680911773913044
12,13,528,0.6790994905303028
14,15,561,0.6733568573975053
24,25,650,0.6731019692307689
9,10,3000,0.6721960197853787
22,23,593,0.6686818917089673
35,36,628,0.658969176848875
2,3,3000,0.6550058679559847
21,22,764,0.6374007605263159
5,6,3000,0.6364381769822688
74,75,1076,0.6308301796071089
23,24,1230,0.6277221500815655
26,27,2075,0.618954429263566
10,11,1671,0.584437095751047
0,1,3000,0.5239893377016129
16,17,3000,0.5183505376091331
6,7,1311,0.4879496221374037
3,4,2064,0.48303106201550305
7,8,1151,0.47405854308093975
11,12,3000,0.4018473093885738
