TEXT,COUNT,SENTIMENT_KEYWORD_AGG_INDEX,ASPECT_CATEGORY_NAME,ASPECT_CATEGORY,REQUIRE_CONTEXT,ASPECT_SUB_CATEGORY_NAME
新加坡,7380,1,NA,,,NA
地方,4424,2,POI/Places,,,NA
孩子,3456,3,Family/Children family/Friends,,,Children
晚上,2777,4,NA,,,NA
时间,2633,5,NA,,,NA
感觉,2582,6,NA,,,NA
景点,2498,7,POI/Places,,,NA
动物,2125,8,Sightseeing,,,Animals
项目,2024,9,Activities,,,NA
小朋友,1959,10,Family/Children family/Friends,,,Children
建议,1631,11,NA,,,NA
游客,1622,12,NA,,,NA
特色,1510,13,Arts and Culture,,,Culture
门票,1473,14,Transportation and Accessibility,,,Tickets
动物园,1365,15,POI/Places,,,NA
环球影城,1329,16,POI/Places,,,NA
一去,1314,17,NA,,,NA
海洋馆,1298,18,POI/Places,,,NA
摩天轮,1238,19,POI/Places,,,NA
夜景,1227,20,Sightseeing,,,View
的时候,1173,21,NA,,,NA
景色,1172,22,Sightseeing,,,View
公园,1164,23,Sightseeing,,,"Gardens, Parks"
酒店,1164,24,NA,,,NA
价格,1072,25,Price,,,NA
个人,1040,26,NA,,,NA
新币,1019,27,Price,,,NA
一天,989,28,NA,,,NA
地铁,961,29,Transportation and Accessibility,,,MRT
缆车,961,30,Transportation and Accessibility,,,Cable Car
都是,944,31,NA,,,NA
白天,929,32,NA,,,NA
乌节路,859,33,POI/Places,,,NA
鱼尾狮,859,34,POI/Places,,,NA
风景,857,35,Sightseeing,,,View
环境,842,36,Environment and Ambiance,,,NA
世界,840,37,NA,,,NA
东西,824,38,NA,,,NA
酒吧,811,39,F&B,,,"Bars, Pubs"
牛车水,803,40,POI/Places,,,NA
下次,800,41,NA,,,NA
博物馆,792,42,POI/Places,,,NA
现场,770,43,Activities,,1,Shows
金沙酒店,746,44,POI/Places,,,NA
设施,742,45,Facilities,,,NA
的人,739,46,NA,,,NA
国内,735,47,NA,,,NA
小印度,678,48,POI/Places,,,NA
非常好,678,49,Experience,,,NA
第一次,674,50,NA,,,NA
海滩,670,51,Environment and Ambiance,,,Beach
小火车,659,52,Transportation and Accessibility,,,NA
克拉码头,655,53,POI/Places,,,NA
中文,652,54,NA,,1,NA
灯光,650,55,Facilities,,,Lights
沙岛,637,56,NA,,,NA
沙滩,635,57,Environment and Ambiance,,,Beach
教堂,627,58,Arts and Culture,,,Culture
现在,627,59,NA,,,NA
小孩,622,60,Family/Children family/Friends,,,Children
交通,621,61,Transportation and Accessibility,,,NA
鱼尾狮公园,620,62,POI/Places,,,NA
岛上,616,63,Sightseeing,,,NA
照片,613,64,Sightseeing,,,Photography
夜间动物园,604,65,POI/Places,,,NA
海豚,599,66,Sightseeing,,,Animals
滨海湾,586,67,POI/Places,,,NA
花园,584,68,Sightseeing,,,"Gardens, Parks"
餐厅,581,69,F&B,,,NA
朋友,577,70,Family/Children family/Friends,,,Friends
小时,573,71,NA,,,NA
多人,571,72,Transportation and Accessibility,,,NA
工作人员,570,73,Service,,,Staff
植物,540,74,Sightseeing,,,Plants
美食,533,75,F&B,,,NA
步行,532,76,Transportation and Accessibility,,,Walk
门口,530,77,Transportation and Accessibility,,,Position
变形金刚,526,78,Activities,,,Ride
金沙,519,79,POI/Places,,,NA
风格,515,80,Environment and Ambiance,,,NA
商场,514,81,Shopping,,,NA
这次,514,82,NA,,,NA
也可以,511,83,NA,,,NA
最后,509,84,NA,,,NA
近距离,508,85,Transportation and Accessibility,,,Position
历史,504,86,Arts and Culture,,,History
附近,494,87,Transportation and Accessibility,,,Position
小孩子,492,88,Family/Children family/Friends,,,Children
园区,485,89,Sightseeing,,,NA
下午,478,90,NA,,,NA
让人,466,91,NA,,,NA
乐园,458,92,Sightseeing,,,NA
也不,447,93,NA,,,NA
灯光秀,445,94,Activities,,,Shows
滨海湾花园,442,95,POI/Places,,,NA
城市,439,96,NA,,,NA
网上,438,97,Transportation and Accessibility,,,Accessibility
买票,437,98,Transportation and Accessibility,,,Tickets
新加坡河,433,99,POI/Places,,,NA
以后,432,100,NA,,,NA
好地方,416,101,POI/Places,,,NA
的很开心,405,102,Experience,,,NA
水上乐园,403,103,POI/Places,,,NA
植物园,399,104,POI/Places,,,NA
时光,392,105,NA,,,NA
也有,391,106,NA,,,NA
夜间,390,107,NA,,,NA
夜晚,389,108,NA,,,NA
一点,385,109,NA,,,NA
位置,374,110,NA,,1,NA
出票,370,111,Transportation and Accessibility,,,Tickets
印度人,363,112,NA,,,NA
水上,354,113,NA,,1,NA
鸭子船,352,114,Activities,,,Tour
一起,347,115,Family/Children family/Friends,,,NA
意思,344,116,NA,,,NA
新加坡动物园,337,117,POI/Places,,,NA
条街,337,118,NA,,,NA
必要,333,119,NA,,,NA
大人,329,120,Family/Children family/Friends,,1,Family
印度,328,121,NA,,,NA
码头,326,122,Facilities,,,Accessibility
快捷票,322,123,Transportation and Accessibility,,,Tickets
艺术,319,124,Arts and Culture,,,Art
区域,318,125,NA,,,NA
地标,316,126,POI/Places,,,NA
滑车,316,127,Activities,,,Ride
亚洲,312,128,NA,,,NA
华人,312,129,NA,,,NA
寺庙,310,130,Arts and Culture,,,Culture
市区,310,131,Transportation and Accessibility,,,NA
园内,308,132,Sightseeing,,,NA
不少,307,133,NA,,,NA
国家,307,134,NA,,,NA
无边泳池,307,135,POI/Places,,,NA
海边,306,136,Environment and Ambiance,,,Beach
游船,305,137,Activities,,,Tour
过去,304,138,NA,,,NA
导游,303,139,Service,,,Tour
好去处,302,140,POI/Places,,,NA
花穹,295,141,POI/Places,,,NA
美景,294,142,Sightseeing,,,View
机场,291,143,POI/Places,,,NA
后来,290,144,NA,,,NA
玩得,289,145,NA,,1,NA
第二次,286,146,NA,,,NA
儿子,285,147,Family/Children family/Friends,,,Family
周围,285,148,NA,,,NA
当时,285,149,NA,,,NA
英文,284,150,NA,,,NA
天堂,281,151,NA,,1,NA
傍晚,275,152,NA,,,NA
街道,274,153,NA,,1,NA
人多,270,154,Transportation and Accessibility,,,Queue
小岛,270,155,Sightseeing,,,NA
效果,268,156,NA,,,NA
云雾林,267,157,POI/Places,,,NA
电影,267,158,NA,,,NA
空调,267,159,Environment and Ambiance,,,Air Conditioning
商店,266,160,Shopping,,,NA
地铁站,266,161,Transportation and Accessibility,,,MRT
问题,266,162,NA,,,NA
沙岛上,264,163,NA,,,NA
广场,263,164,Sightseeing,,,NA
地点,261,165,Transportation and Accessibility,,,NA
早上,261,166,NA,,,NA
音乐,260,167,NA,,,NA
味道,257,168,F&B,,1,NA
当天,257,169,NA,,,NA
票方便,256,170,Transportation and Accessibility,,,Tickets
海洋生物,254,171,Sightseeing,,,Animals
方式,252,172,NA,,,NA
景观,252,173,Environment and Ambiance,,,"Greenery, Nature"
过山车,251,174,Activities,,,Ride
一路,250,175,NA,,,NA
一种,249,176,NA,,,NA
新加坡环球影城,249,177,POI/Places,,,NA
都会,249,178,NA,,,NA
票价,246,179,Transportation and Accessibility,,,Tickets
人太多,245,180,Transportation and Accessibility,,,Queue
面积,245,181,NA,,,NA
外观,244,182,Environment and Ambiance,,,NA
瀑布,244,183,Sightseeing,,,"Greenery, Nature"
收费,243,184,Price,,,NA
泳池,242,185,Facilities,,,Pool
中午,240,186,NA,,,NA
南端,240,187,NA,,,NA
电梯,240,188,Facilities,,,Elevators
半天,239,189,NA,,,NA
旅游,239,190,Sightseeing,,,NA
总体,238,191,NA,,1,NA
手机,238,192,Facilities,,1,Accessibility
购物中心,238,193,Shopping,,,NA
唐人街,236,194,POI/Places,,,NA
海豚园,236,195,POI/Places,,,NA
人民币,235,196,Price,,,NA
文化,234,197,Arts and Culture,,,Culture
以前,229,198,NA,,,NA
展览,229,199,Activities,,,Exhibits
热情,229,200,Service,,,NA
坐在,228,201,NA,,,NA
全程,227,202,NA,,1,NA
半小时,227,203,NA,,,NA
尝试,227,204,NA,,,NA
巴士,226,205,Transportation and Accessibility,,,Bus
当地人,226,206,NA,,,NA
今天,225,207,NA,,,NA
木乃伊,225,208,Activities,,,Ride
了一圈,222,209,NA,,,NA
天气,222,210,Environment and Ambiance,,,Weather
美术馆,222,211,POI/Places,,,NA
人少,219,212,Transportation and Accessibility,,,Queue
喷泉,219,213,Sightseeing,,,NA
一个小时,218,214,NA,,1,NA
周末,218,215,NA,,,NA
内容,217,216,NA,,,NA
