KEYWORDS,FREQUENCY
,345212
的,161054
了,35561
是,32601
新加坡,22155
在,21933
很,21480
有,20409
可以,19574
去,19387
和,14504
也,14359
非常,12510
都,12453
就,11048
人,10568
不,10300
玩,10005
到,9999
这里,9545
一个,8881
值得,8294
很多,8153
我,7780
看,7545
就是,7301
地方,7180
上,7130
票,7026
不错,6743
还是,6706
多,6584
一,6578
我们,6202
来,5976
里面,5941
还有,5809
还,5702
比较,5521
这个,5417
要,5414
没有,5355
小,5351
时间,5305
感觉,5252
坐,5248
特别,5201
好,4981
这,4828
孩子,4806
买,4794
带,4592
景点,4578
但是,4569
着,4479
没,4450
晚上,4434
动物,4365
最,4360
看到,4335
都是,4275
之,4241
很好,4240
印度,4221
真,4140
但,4137
适合,4082
大,4058
建筑,4036
个,4007
体验,3988
会,3951
项目,3943
动物园,3855
排队,3782
你,3781
太,3597
表演,3470
喜欢,3440
方便,3411
从,3268
走,3268
美,3265
里,3225
也是,3201
挺,3148
而且,3144
推荐,3100
让,3075
不过,3003
比,3002
小朋友,2961
携程,2954
时候,2948
好玩,2888
如果,2865
水,2862
建议,2862
游客,2835
景色,2828
各种,2812
所以,2797
得,2729
与,2725
吃,2713
不是,2696
很方便,2649
等,2635
门票,2633
因为,2628
拍照,2595
在这里,2556
看看,2529
环境,2521
夜景,2484
中,2481
免费,2474
有点,2463
能,2408
什么,2397
哦,2386
一下,2372
觉得,2369
历史,2369
又,2344
吧,2297
下,2270
再,2241
圣淘沙,2226
鱼尾狮,2219
说,2216
车,2201
公园,2195
一些,2174
价格,2170
摩天轮,2161
风景,2157
啊,2118
换,2117
很不错,2106
一定要,2104
漂亮,2103
直接,2088
灯光,2058
后,2038
海洋馆,2030
虽然,2027
有很多,2015
游玩,2011
地,2010
便宜,1997
参观,1986
逛,1981
整个,1974
棒,1973
酒店,1964
特色,1950
给,1919
用,1909
世界,1908
其实,1883
夜间,1881
很大,1861
话,1851
拍,1840
它,1827
想,1821
需要,1818
进去,1796
国内,1794
被,1775
一次,1766
为,1755
选择,1723
乐园,1717
点,1713
过,1712
缆车,1685
不用,1680
中国,1678
取,1667
内,1665
设计,1643
海滩,1641
出来,1639
很好玩,1636
大家,1635
酒吧,1628
而,1625
白天,1624
对,1619
很漂亮,1605
很喜欢,1595
刺激,1587
自己,1585
可,1573
城市,1568
贵,1560
植物,1558
一般,1536
花园,1533
不大,1530
最大,1528
一天,1526
更,1523
像,1519
必,1511
高,1500
购物,1496
做,1495
超级,1489
不同,1489
才,1486
教堂,1484
位于,1482
著名,1457
中文,1457
附近,1425
时,1423
东西,1422
现场,1420
出,1419
水上,1405
美丽,1397
感受,1390
圣淘沙岛,1390
小火车,1389
旅游,1368
博物馆,1357
非常好,1344
两个,1336
餐厅,1336
美食,1334
乌节路,1334
沙滩,1331
欣赏,1328
设施,1317
跟,1307
那,1294
前,1283
提前,1273
照片,1258
其他,1249
小孩,1249
艺术,1248
主要,1243
地铁,1236
门口,1230
然后,1224
文化,1223
好多,1218
游,1218
游览,1217
牛,1216
开放,1215
当地,1215
站,1202
旁边,1200
把,1198
人员,1195
环球影城,1189
长,1185
