REVIEW_INDEX,OVERALL,ASPECTS,ASPECTS_POLARITIES,POLARITY_DIST: CONSUMPTION,POLARITY_DIST: ENVIRONMENT,POLARITY_DIST: F&B,POLARITY_DIST: HYGIENE,POLARITY_DIST: SAFETY,POLARITY_DIST: SERVICE,POLARITY_DIST: SHOPPING,POLARITY_DIST: SIGHTSEEING,POLARITY_DIST: TRANSPORTATION,ASP_NEG_RIO,ASP_NEU_RIO,ASP_POS_RIO,REV_NEG_RIO,REV_NEU_RIO,REV_POS_RIO,TOTAL_ASPECTS
0,,,,,,,,,,,,,,,,,,,
1,POS,"[""环境"",""随处的美景"",""美景"",""人""]","[""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,4]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4
2,POS,"[""景点"",""生态"",""兰花"",""草""]","[""POS"",""POS"",""NEG"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,2]","[0,0,0]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4
3,NEG,"[""休闲"",""周末休闲"",""周末休闲"",""免费的"",""景点"",""地方"",""晚上"",""人"",""人""]","[""POS"",""NEG"",""NEG"",""POS"",""POS"",""NEG"",""NEG"",""NEG"",""NEG""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","6,0,2]","[0,0,0]",0.6666592593415629,0.0,0.33332962967078145,0.9999000099990001,0.0,0.0,9
4,,,,,,,,,,,,,,,,,,,
5,POS,"[""胡姬花园"",""车"",""中"",""打到车"",""公交车"",""胡姬花"",""胡姬花"",""免费的"",""门票"",""散步"",""出来"",""冰室"",""地上"",""地上"",""地"",""草"",""草""]","[""POS"",""NEG"",""POS"",""NEU"",""NEG"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS""]","[1,0,0]","[0,0,2]","[0,0,0]","[1,0,3]","[0,0,0]","[0,0,1]","[0,0,0]","0,0,7]","[1,1,0]",0.17646955017911659,0.058823183393038866,0.7647013841095053,0.0,0.0,0.9999000099990001,17
6,POS,"[""植物"",""吃的"",""树木"",""非常""]","[""POS"",""POS"",""POS"",""POS""]","[0,0,1]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,2]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4
7,,,,,,,,,,,,,,,,,,,
8,POS,"[""交通"",""物"",""放松心情"",""胡姬花"",""户外""]","[""POS"",""POS"",""POS"",""NEG"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","1,0,2]","[0,0,0]",0.1999960000799984,0.0,0.7999840003199936,0.0,0.0,0.9999000099990001,5
9,POS,"[""拍照""]","[""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,1]","[0,0,0]",0.0,0.0,0.9999000099990001,0.0,0.0,0.9999000099990001,1
10,POS,"[""植物"",""特色花园"",""奇花异草"",""地""]","[""POS"",""NEG"",""NEG"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","2,0,1]","[0,0,0]",0.49998750031249223,0.0,0.49998750031249223,0.0,0.0,0.9999000099990001,4
11,POS,"[""环境"",""闲游玩"",""姬花"",""花卉"",""兰花"",""公共设施"",""负氧离子含量"",""参天大树"",""游玩""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""NEG"",""POS""]","[0,0,0]","[1,0,1]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,1]","[0,0,0]","1,0,4]","[0,0,0]",0.2222197531138543,0.0,0.7777691358984901,0.0,0.0,0.9999000099990001,9
