review_index,sentiment,aspect,adjective
0,POS,酒店,近
0,POS,花园,大
0,POS,灯光不错,
0,POS,气势磅礴,
0,POS,距离,近
0,POS,感觉,可爱
0,POS,视野不错,
0,POS,灯光不错,
1,POS,个人,喜欢
1,POS,植物,美
1,NEU,温室,一般
1,POS,温室,不错
1,POS,温度,宜人
6,POS,瀑布,壮观
6,POS,地方不错,
8,POS,景色,美丽
8,POS,植被,茂盛
8,POS,花园,大
8,POS,风景不错,
8,POS,地理位置,绝佳
8,POS,美食不错,
9,POS,感觉,值
9,POS,感觉,可爱
9,POS,拍照,不错
10,POS,灯光不错,
11,POS,植物,多
11,POS,灯光不错,
12,POS,夜景不错,
13,POS,灯光不错,
14,POS,地方,好
15,POS,感觉,值
16,POS,天气,热
16,POS,植物种类,多
16,POS,种类,多
17,POS,花,漂亮
17,POS,环境,环境不错
17,POS,表演,精彩
20,NEU,时间,不够
21,NEU,面积,小
21,POS,雨水,充沛
21,NEU,地方,地方一般
23,POS,环境,好
23,POS,园区,大
23,POS,景点不错,
26,POS,感觉,方便
26,NEU,温度,低
26,POS,空气,湿润
27,POS,景点不错,
27,POS,景点,美
27,POS,感觉,漂亮
27,POS,景色不错,
27,POS,感觉,赞
28,POS,城市,干净
28,POS,环境不错,
28,POS,景色,美
28,POS,地方,地方不错
31,NEU,整体,不大
31,POS,灯光,好
33,POS,世界,大
35,POS,地方不错,
36,POS,灯光不错,
36,POS,植物,美
37,POS,美景不错,
37,POS,灯光不错,
38,POS,美景不错,
38,POS,灯光不错,
39,POS,印象不错,
39,POS,门票便宜,
39,POS,地方,地方不错
39,POS,瀑布,高
39,NEU,气温,低
39,POS,灯光不错,
40,POS,酒店,近
40,NEU,天空,一般
40,POS,灯光不错,
40,NEU,电梯,一般
40,POS,总体不错,
41,POS,色彩不错,
41,POS,景色,美
42,POS,夜景,美
43,POS,森林不错,
43,POS,景色,美
45,POS,灯光,美丽
46,POS,地方不错,
46,POS,风格,喜欢
46,POS,灯光不错,
