KEYWORD,CAT_INDEX,CAT_NAME
新加坡,1,Facilities
地方,8,Service
孩子,9,Shopping
晚上,8,Service
时间,9,Shopping
感觉,9,Shopping
景点,9,Shopping
动物,9,Shopping
项目,9,Shopping
小朋友,5,F&B
建议,9,Shopping
游客,4,Experimentation
特色,4,Experimentation
门票,5,F&B
动物园,9,Shopping
环球影城,8,Service
一去,9,Shopping
海洋馆,9,Shopping
摩天轮,9,Shopping
夜景,8,Service
的时候,9,Shopping
景色,9,Shopping
公园,8,Service
酒店,8,Service
价格,3,Environment and Ambience
个人,9,Shopping
新币,4,Experimentation
一天,5,F&B
地铁,4,Experimentation
缆车,9,Shopping
都是,4,Experimentation
白天,1,Facilities
乌节路,4,Experimentation
鱼尾狮,8,Service
风景,8,Service
环境,1,Facilities
世界,8,Service
东西,4,Experimentation
酒吧,4,Experimentation
牛车水,4,Experimentation
下次,9,Shopping
博物馆,4,Experimentation
现场,3,Environment and Ambience
金沙酒店,9,Shopping
设施,8,Service
的人,1,Facilities
国内,8,Service
小印度,6,Family/Childre family/Friends
非常好,9,Shopping
第一次,9,Shopping
海滩,9,Shopping
小火车,9,Shopping
克拉码头,1,Facilities
中文,5,F&B
灯光,8,Service
沙岛,8,Service
沙滩,8,Service
教堂,7,Price
现在,4,Experimentation
小孩,5,F&B
交通,8,Service
鱼尾狮公园,6,Family/Childre family/Friends
岛上,8,Service
照片,9,Shopping
夜间动物园,9,Shopping
海豚,5,F&B
滨海湾,4,Experimentation
花园,4,Experimentation
餐厅,4,Experimentation
朋友,8,Service
小时,8,Service
多人,9,Shopping
工作人员,9,Shopping
植物,9,Shopping
美食,8,Service
步行,4,Experimentation
门口,5,F&B
变形金刚,5,F&B
金沙,8,Service
风格,7,Price
商场,4,Experimentation
这次,9,Shopping
也可以,4,Experimentation
最后,9,Shopping
近距离,5,F&B
历史,4,Experimentation
附近,4,Experimentation
小孩子,9,Shopping
园区,9,Shopping
下午,8,Service
让人,8,Service
乐园,9,Shopping
也不,4,Experimentation
灯光秀,9,Shopping
滨海湾花园,6,Family/Childre family/Friends
城市,1,Facilities
网上,9,Shopping
买票,9,Shopping
新加坡河,6,Family/Childre family/Friends
以后,9,Shopping
好地方,8,Service
的很开心,5,F&B
水上乐园,9,Shopping
植物园,4,Experimentation
时光,8,Service
也有,4,Experimentation
夜间,9,Shopping
夜晚,1,Facilities
一点,5,F&B
位置,9,Shopping
出票,5,F&B
