KEYWORD,CAT_INDEX,CAT_NAME
新加坡,10,Sightseeing/Place
地方,10,Sightseeing/Place
孩子,6,Family/Childre family/Friends
晚上,3,Environment and Ambience
时间,10,Sightseeing/Place
感觉,10,Sightseeing/Place
景点,10,Sightseeing/Place
动物,10,Sightseeing/Place
项目,10,Sightseeing/Place
小朋友,6,Family/Childre family/Friends
建议,10,Sightseeing/Place
游客,11,Transportation and Accessibility
特色,2,Activities
门票,7,Price
动物园,10,Sightseeing/Place
环球影城,10,Sightseeing/Place
一去,6,Family/Childre family/Friends
海洋馆,10,Sightseeing/Place
摩天轮,3,Environment and Ambience
夜景,5,F&B
的时候,3,Environment and Ambience
景色,3,Environment and Ambience
公园,11,Transportation and Accessibility
酒店,11,Transportation and Accessibility
价格,7,Price
个人,7,Price
新币,7,Price
一天,6,Family/Childre family/Friends
地铁,11,Transportation and Accessibility
缆车,4,Experimentation
都是,2,Activities
白天,3,Environment and Ambience
乌节路,9,Shopping
鱼尾狮,3,Environment and Ambience
风景,3,Environment and Ambience
环境,3,Environment and Ambience
世界,3,Environment and Ambience
东西,9,Shopping
酒吧,5,F&B
牛车水,9,Shopping
下次,6,Family/Childre family/Friends
博物馆,2,Activities
现场,7,Price
金沙酒店,3,Environment and Ambience
设施,1,Facilities
的人,3,Environment and Ambience
国内,2,Activities
小印度,9,Shopping
非常好,8,Service
第一次,4,Experimentation
海滩,4,Experimentation
小火车,11,Transportation and Accessibility
克拉码头,5,F&B
中文,8,Service
灯光,3,Environment and Ambience
沙岛,1,Facilities
沙滩,3,Environment and Ambience
教堂,3,Environment and Ambience
现在,2,Activities
小孩,6,Family/Childre family/Friends
交通,11,Transportation and Accessibility
鱼尾狮公园,3,Environment and Ambience
岛上,10,Sightseeing/Place
照片,8,Service
夜间动物园,4,Experimentation
海豚,6,Family/Childre family/Friends
滨海湾,3,Environment and Ambience
花园,3,Environment and Ambience
餐厅,5,F&B
朋友,2,Activities
小时,2,Activities
多人,3,Environment and Ambience
工作人员,8,Service
植物,3,Environment and Ambience
美食,5,F&B
步行,11,Transportation and Accessibility
门口,11,Transportation and Accessibility
变形金刚,4,Experimentation
金沙,3,Environment and Ambience
风格,3,Environment and Ambience
商场,9,Shopping
这次,2,Activities
也可以,11,Transportation and Accessibility
最后,11,Transportation and Accessibility
近距离,6,Family/Childre family/Friends
历史,2,Activities
附近,5,F&B
小孩子,6,Family/Childre family/Friends
园区,11,Transportation and Accessibility
下午,3,Environment and Ambience
让人,3,Environment and Ambience
乐园,6,Family/Childre family/Friends
也不,8,Service
灯光秀,4,Experimentation
滨海湾花园,7,Price
城市,3,Environment and Ambience
网上,7,Price
买票,7,Price
新加坡河,5,F&B
以后,1,Facilities
好地方,3,Environment and Ambience
的很开心,4,Experimentation
水上乐园,6,Family/Childre family/Friends
植物园,3,Environment and Ambience
时光,4,Experimentation
也有,9,Shopping
夜间,2,Activities
夜晚,5,F&B
一点,8,Service
位置,3,Environment and Ambience
出票,7,Price
印度人,9,Shopping
水上,4,Experimentation
鸭子船,8,Service
一起,6,Family/Childre family/Friends
意思,2,Activities
新加坡动物园,4,Experimentation
条街,5,F&B
必要,4,Experimentation
大人,6,Family/Childre family/Friends
印度,9,Shopping
码头,5,F&B
快捷票,4,Experimentation
艺术,2,Activities
区域,1,Facilities
地标,3,Environment and Ambience
滑车,4,Experimentation
亚洲,3,Environment and Ambience
华人,9,Shopping
寺庙,8,Service
市区,11,Transportation and Accessibility
园内,1,Facilities
不少,1,Facilities
国家,3,Environment and Ambience
无边泳池,4,Experimentation
海边,3,Environment and Ambience
游船,5,F&B
过去,3,Environment and Ambience
导游,8,Service
好去处,3,Environment and Ambience
花穹,1,Facilities
美景,2,Activities
机场,1,Facilities
后来,1,Facilities
玩得,6,Family/Childre family/Friends
第二次,4,Experimentation
儿子,4,Experimentation
周围,3,Environment and Ambience
当时,3,Environment and Ambience
英文,8,Service
天堂,9,Shopping
傍晚,3,Environment and Ambience
街道,9,Shopping
人多,4,Experimentation
小岛,1,Facilities
效果,2,Activities
云雾林,1,Facilities
电影,2,Activities
空调,3,Environment and Ambience
商店,9,Shopping
地铁站,11,Transportation and Accessibility
问题,8,Service
沙岛上,4,Experimentation
广场,3,Environment and Ambience
地点,1,Facilities
早上,4,Experimentation
音乐,3,Environment and Ambience
味道,9,Shopping
当天,1,Facilities
票方便,8,Service
海洋生物,4,Experimentation
方式,11,Transportation and Accessibility
景观,3,Environment and Ambience
过山车,4,Experimentation
一路,2,Activities
一种,3,Environment and Ambience
新加坡环球影城,1,Facilities
都会,8,Service
票价,1,Facilities
人太多,4,Experimentation
面积,1,Facilities
外观,3,Environment and Ambience
瀑布,3,Environment and Ambience
收费,1,Facilities
泳池,3,Environment and Ambience
中午,1,Facilities
南端,4,Experimentation
电梯,1,Facilities
半天,1,Facilities
旅游,3,Environment and Ambience
总体,4,Experimentation
手机,1,Facilities
购物中心,9,Shopping
唐人街,9,Shopping
海豚园,4,Experimentation
