KEYWORD,COUNT,SENTIMENT_KEYWORD_AGG_INDEX,CAT_NAME,ASPECT_CATEGORY,REQUIRE_CONTEXT
新加坡,7380,1,NA,,
地方,4424,2,Sightseeing/Place,,
孩子,3456,3,Family/Childre family/Friends,,
晚上,2777,4,NA,,
时间,2633,5,NA,,
感觉,2582,6,NA,,
景点,2498,7,Sightseeing/Place,,
动物,2125,8,Sightseeing/Place,,
项目,2024,9,Sightseeing/Place,,
小朋友,1959,10,Family/Childre family/Friends,,
建议,1631,11,NA,,
游客,1622,12,NA,,
特色,1510,13,Activities,,
门票,1473,14,Price,,
动物园,1365,15,Sightseeing/Place,,
环球影城,1329,16,Sightseeing/Place,,
一去,1314,17,NA,,
海洋馆,1298,18,Sightseeing/Place,,
摩天轮,1238,19,Sightseeing/Place,,
夜景,1227,20,Sightseeing/Place,,
的时候,1173,21,NA,,
景色,1172,22,Sightseeing/Place,,
公园,1164,23,Sightseeing/Place,,
酒店,1164,24,NA,,
价格,1072,25,Price,,
个人,1040,26,NA,,
新币,1019,27,Price,,
一天,989,28,NA,,
地铁,961,29,Transportation and Accessibility,,
缆车,961,30,Sightseeing/Place,,
都是,944,31,NA,,
白天,929,32,NA,,
乌节路,859,33,Sightseeing/Place,,
鱼尾狮,859,34,Sightseeing/Place,,
风景,857,35,Sightseeing/Place,,
环境,842,36,Environment and Ambience,,
世界,840,37,NA,,
东西,824,38,NA,,
酒吧,811,39,F&B,,
牛车水,803,40,Sightseeing/Place,,
下次,800,41,NA,,
博物馆,792,42,Sightseeing/Place,,
现场,770,43,Activities,,
金沙酒店,746,44,Sightseeing/Place,,
设施,742,45,Facilities,,
的人,739,46,NA,,
国内,735,47,NA,,
小印度,678,48,Sightseeing/Place,,
非常好,678,49,NA,,1
第一次,674,50,NA,,
海滩,670,51,Sightseeing/Place,,
小火车,659,52,Sightseeing/Place,,
克拉码头,655,53,Sightseeing/Place,,
中文,652,54,NA,,1
灯光,650,55,Environment and Ambience,,
沙岛,637,56,Sightseeing/Place,,
沙滩,635,57,Sightseeing/Place,,
教堂,627,58,Sightseeing/Place,,
现在,627,59,NA,,
小孩,622,60,Family/Childre family/Friends,,
