REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,2,240,coldwar,3.0,2017-10-19,Not Available,国泰画廊这个地方完全被遗弃了，可以四处看看，一个画廊的电影纪念品为当地媒体书籍和海报。显然摄影是不允许的。洛克家族和国泰电影院的有趣历史。国泰画廊位于上层的国泰电影院，在乌节路的南端。,2020-02-16 18:01:36.582231
,2,240,sunnycccc,5.0,2018-03-03,Not Available,画廊还是有挺多的人来参观的啦。,2020-02-16 18:01:36.588681
,2,240,cd****ei,4.0,2015-08-30,Not Available,The Cathay Gallery算作小博物馆，可以看到电影的发展，座椅、放映机都是非常怀旧的。部分电影海报似乎就是老上海的在线。,2020-02-16 18:01:36.596884
,2,240,M15****577,5.0,2017-09-19,Not Available,地理位置很好，紧挨摩天轮和小狮子喷泉,2020-02-16 18:01:36.603301
,2,240,爱爱李,4.0,2016-01-20,Not Available,国泰画廊是这里的一个很大的艺术品展示区，好多中国人的水墨画作在这里可以看得到，画作的价格在十万以内，很多大作都是很抢手的。,2020-02-16 18:01:36.612196
,2,240,爱爱李,4.0,2016-01-19,Not Available,国泰画廊是这里的一个很大型的艺术品展示区，画廊的四周有着很多的作品，这里的画报非常的精致，很多博物馆内部的展览区都是可以在这里看得到的，画廊也对外销售作品。,2020-02-16 18:01:36.618988
,2,240,打起背包去旅行,4.0,2018-02-12,Not Available,这里的空调真的是太冷了，记得要带外套。,2020-02-16 18:01:36.627053
,2,240,_ceai****5795,4.0,2018-01-21,Not Available,画廊展品不少，质量也不差，布置很好。,2020-02-16 18:01:36.633511
,2,240,游在这方天地,5.0,2015-10-07,Not Available,国泰画廊在国泰电影院上层，展示着电影的发展过程，老电影老用具，很有怀旧感。,2020-02-16 18:01:36.642191
,2,240,牛牛jack,5.0,2015-09-15,Not Available,这里有不少新加坡电影史的发展记录，也有不少人文和创意性的画作，可看性挺强的,2020-02-16 18:01:36.648639
,2,240,Katrina,5.0,2017-01-14,Not Available,这个艺术廊好有气氛 是我最喜欢的,2020-02-16 18:01:41.646798
,2,240,望天树宝贝,4.0,2018-05-25,Not Available,画廊环境很好，干净整洁，那里参观的人都很安静，不错,2020-02-16 18:01:41.651532
,2,240,tai****000,5.0,2016-10-17,Not Available,国泰画廊就在国泰电影院的大楼里面，这里有很多新加坡出版的的各种书籍、电影海报，以及一些纪念品，尤其是突出的展示了跟新加坡电影事业发展相关的一些物品。,2020-02-16 18:01:41.656197
,2,240,_CFT01****7726071,4.0,2016-03-23,Not Available,这个小博物馆见证了新加坡电影的历史，国泰画廊位于电影院和商场的上层，在乌节路的南端。可看性挺强的,2020-02-16 18:01:41.660650
