REVIEW_ID,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
1,2,2,谢大人,5,2019-10-06,17:06,新加坡被誉为“花园城市”果然名副其实，这次旅行深有体会，而对滨海湾花园尤为印象深刻。 地理位置离金沙酒店很近，也可从bayfront站出来根据标示很容易找到。 整个花园很大，远远就能看到宛若阿凡达世界里的supertree，到了晚上，这些“参天大树”会亮起映衬夜色的灯光，并且在指定时间开始震撼的音乐灯光秀。 另外，我们去了两个室内冷气玻璃花园，分别叫cloud forest 和flower dome，室内冷气十足，一边感受着阳光透过玻璃落下来，一边吹着强冷气，很特别的体验。 cloud forest主要亮点是从人造山和植物间倾泻而下的巨大瀑布，据说是世界最高的室内瀑布，很有气势。室内两条空中走廊，可以近距离观赏瀑布和拍照。 flower dome 是以热带花卉和植物为主，其中不乏可爱的元素点缀，适合拍照。 在supertree周围有一条空中走廊，需要另买票，分批放行游客乘电梯上去体验。走上去能感觉到轻微晃动，但视野很棒，能看到摩天轮和金沙。 到了晚上，大量游客会选择supertree周围的空地上坐下等待灯光秀，第一场是七点四十五开始。灯光和音乐相互衬托制造了一场非常浪漫的show，好像到了童话世界。,2020-02-16 10:44:40.251701
2,2,2,spencerS,4,2018-12-23,17:32,滨海湾这个地方是来新加坡怎么都绕不开的地方了，不论是去景点打卡，金沙购物吃饭还是乘车经过都看到那些经常出现在风景照片里巨大的钢铁树，没错就是滨海湾花园的标志了，当然这些摩天树区域是免费开放的，真正售票的是那两大温室，个人更喜欢那个有瀑布的，里面的植物更漂亮状态更好，也更有特色，另外那个平面温室感觉一般，虽然也还不错，但是并没惊艳感觉，温室里面的温度很宜人，对比外面三四十度的高温，简直太舒服了，值得多花些时间,2020-02-16 10:44:40.255176
3,2,2,BetTerDAY,5,2020-02-04,22:04,滨海湾花园内有两个植物温室，以钢铁和玻璃为主要结构，最大程度上优化了观景视野，并加强了陆地和海洋之间的连系。这两个节能的建筑使用了最新的可持续性建筑技术，配备水流收集和过滤系统。温室内培育有22.6万个植物，来自全球各个大洲(南极洲除外)，温室穹顶是建筑、环境和园艺文化三者的结合。,2020-02-16 10:44:40.258510
4,2,2,西门吹水1,5,2019-12-31,13:28,海湾花园是新加坡的最新地标，也是城市花园和节能设计的典型代表。前一天晚上，住在金沙酒店，欣赏了花园美轮美奂的夜景，第二天上午，就来到了花园里头。据说，逾25万棵珍稀植物，特别是18棵超级大的树，小朋友叫他“树屋”，站在树顶可以鸟瞰整个花园景色。,2020-02-16 10:44:40.261642
5,2,2,linazhu,5,2019-12-20,20:36,这个公园平时是不要门票的，但12月12号到圣诞节期间的晚上，由于有圣诞夜市所以需要单独购买门票。 说是夜市，也就几个摊位买小吃的，主要还是来看这个灯光秀吧，每天晚上两场亮灯仪式，第一场7：45分，还是挺值得看的。热带人民对雪的期盼只能用肥皂泡泡来满足了,2020-02-16 10:44:40.264759
6,2,2,BetTerDAY,5,2019-12-17,13:32,滨海湾花园是新加坡市中心的超级花园，是新加坡最新的地标。园区共分成三个部分： 滨海南花园、滨海东花园，以及衔接二者的滨海中花园。游客可在花园中巨大的半球形温室里观赏到超过25万棵奇花异草，和全球最大的室内瀑布。,2020-02-16 10:44:40.267866
7,2,2,M48****413,5,2019-12-04,21:08,新加坡滨海湾花园是新加坡的新地标，这里位于金沙大酒店的后方，有着十几棵高大的人造大树。另外还有三个拱形的温室 你连种植着来自寒带热带等各个地区的植物，甚至还有一处有着一个人造瀑布，非常的壮观，绝对是来新加坡旅游必来的地方，千万不要错过。,2020-02-16 10:44:40.271072
8,2,2,M30****1190,5,2019-09-10,22:30,已抵达花园就可以看到赚饱眼球的天空步道 来的时候可以先去登记登塔的时间 游客都很多 先安排好行程接下来也比较轻松 旁边的两个大贝壳 一个是热带雨林 另一边是花园 两个巨大温室里面的冷气都非常强劲 可以让你扫去室外的黏腻感 但旅客人数很多,2020-02-16 10:44:40.274293
9,2,2,考拉羊洋,5,2019-08-12,03:46,新加坡美丽的滨海花园是著名的网红打卡地之一，在这里植被茂盛，繁花似锦，无处不充满着浓郁的东南亚风情。而SuperTree by IndoChine餐吧就位于滨海花园中最大的天空之树顶层，在这个不大的露天餐吧里，可以把新加坡的城市风景尽收眼底。一边是金沙酒店在城市skyline的衬托下高耸入云，一边是花园景观连着海岸线郁郁葱葱，可谓是拥有绝佳的地理位置。不仅如此，这里也提供许多东南亚菜系的美食，有新加坡、马来西亚，泰国和越南等地的融合菜，让你一边欣赏美景，一边品尝东南亚美食，体验觉对棒棒的！光临了2次IndoChine都是在夜晚，如果不想吃正餐，顶楼有一个小型的吧台，20新币的入门券，包含一杯酒水饮料，在露天的树顶喝着小酒，吹着海风，欣赏着新加坡的无敌夜景，也是美不胜收。,2020-02-16 10:44:40.277441
10,2,2,妞神之神,5,2019-01-01,16:15,这个去的真的很值，一定要买空中走廊！ 两个馆感觉很一般，其中有个馆都是多肉。。而且都是普货，我家阳台的品种都比他们丰富。。好在还有可爱的迪士尼娃娃拯救了，拍照留念一下。另一个馆感觉没有想象中的震撼，不过拍照还是不错的，也是感觉一般般。室内馆没有想象中的那么冷，每个人的体感温度不一样，当天中午去的，我穿着防晒衣感觉要热死了。 一开始到了超级树那边真的超级失望，和网图不一样啊？？？十脸懵逼，大下午的的也不能去中央走廊上晒太阳吧，于是跟麻麻吃了个附近的麦当劳正好有圣诞节园内还有很多那种玩游戏得娃娃的那种小摊（感觉在中国都不常见了。。）竟然有很多在玩的外国人。。还有造雪的机器，好多人玩的不亦乐乎，身为一个刚从冬天逃过来的北方人觉得自己好幸运。。可以见到真的雪。。。于是这么多废话中终于等到了傍晚，跟妈妈一起去空中走廊看落日，真的超美，还看了表演，（照片拍不出来，实景真的太美啦）这波不亏,2020-02-16 10:44:40.280573
