,POI,link
0,新加坡滨海湾花园,/poi/5422487.html
1,新加坡动物园,/poi/10462.html
2,牛车水,/poi/10460.html
3,乌节路,/poi/11057.html
4,小印度,/poi/10459.html
5,克拉码头,/poi/10962.html
6,鱼尾狮公园,/poi/22851.html
7,滨海湾,/poi/6018015.html
8,新加坡植物园,/poi/10852.html
9,S.E.A. 海洋馆,/poi/7382073.html
10,圣淘沙岛,/poi/10785.html
11,Candylicious(圣淘沙店),/poi/5423106.html
12,巴拉湾海滩,/poi/10469.html
13,新加坡环球影城,/poi/10982.html
14,夜间野生动物园,/poi/10463.html
15,圣安德烈教堂,/poi/10916.html
16,新加坡国家博物馆,/poi/11010.html
17,甘榜格南,/poi/92941.html
18,新加坡国家美术馆,/poi/11018.html
19,滨海湾金沙艺术科学博物馆,/poi/11053.html
20,新加坡国立大学,/poi/20891.html
21,圣淘沙名胜世界,/poi/5978902.html
22,双螺旋桥,/poi/185999.html
23,云雾林,/poi/29278354.html
24,滨海艺术中心音乐厅,/poi/20711.html
25,苏丹回教堂,/poi/207193.html
26,1-Altitude 画廊与酒吧,/poi/5542921.html
27,马里安曼兴都庙,/poi/186337.html
28,河川生态园,/poi/7007293.html
29,亚洲大陆最南端,/poi/8475036.html
30,佛牙寺龙华院博物馆,/poi/10935.html
31,新加坡科学中心,/poi/186284.html
32,裕廊飞禽公园,/poi/11103.html
33,鱼尾狮塔,/poi/7928187.html
34,新加坡摩天观景轮,/poi/10857.html
35,金沙天空公园,/poi/8536262.html
36,哈芝巷,/poi/20900.html
37,赞美广场,/poi/11019.html
38,新加坡南洋理工大学,/poi/186248.html
39,花穹,/poi/29278350.html
40,海豚园,/poi/8546354.html
41,旧禧街警察局,/poi/20883.html
42,新加坡河,/poi/10940.html
43,武吉士街,/poi/6042413.html
44,滨海湾金沙无边泳池,/poi/34939164.html
45,花柏山公园,/poi/7399344.html
46,东海岸公园,/poi/11002.html
47,西乐索海滩,/poi/11036.html
48,国立胡姬花园,/poi/10985.html
49,亚洲文明博物馆,/poi/11029.html
50,擎天大树林,/poi/33182972.html
51,乌敏岛,/poi/11098.html
52,海事博物馆,/poi/186035.html
53,空中走廊,/poi/34030324.html
54,牛车水原貌馆,/poi/10929.html
55,新加坡红点设计博物馆,/poi/5423020.html
56,福康宁公园,/poi/5424263.html
57,新加坡玩具博物館,/poi/186331.html
58,跨海步行道,/poi/8079155.html
59,亨德森波浪桥,/poi/10955.html
60,Wild Wild Wet水上乐园,/poi/22040.html
61,新加坡总统府,/poi/11017.html
62,斯里-维拉玛卡里雅曼兴都庙,/poi/10920.html
63,南部山脊,/poi/7646143.html
64,新加坡维多利亚剧院,/poi/11013.html
65,新加坡国家图书馆,/poi/20705.html
66,安详山,/poi/6030466.html
67,安德逊桥,/poi/11067.html
68,旧议会大厦,/poi/92950.html
69,新加坡集邮馆,/poi/20885.html
70,蝴蝶园与昆虫王国,/poi/10470.html
71,新加坡市政厅,/poi/20878.html
72,麦里芝水库,/poi/6023414.html
73,新加坡特丽爱3D美术馆,/poi/13269069.html
74,裕华园,/poi/5422431.html
75,土生华人博物馆,/poi/186307.html
76,滨海公园,/poi/6017931.html
77,花园狂想曲,/poi/9961383.html
78,圣淘沙梦之湖,/poi/6034033.html
79,阿都卡夫清真寺,/poi/5422949.html
80,新加坡城市规划展览馆,/poi/6027825.html
81,科学艺术博物馆,/poi/69409596.html
82,拉萨尔设计学院,/poi/5422419.html
83,ION观景台,/poi/33799196.html
84,木乃伊复仇记,/poi/59242092.html
85,丹戎海滩,/poi/11034.html
86,新加坡芽笼,/poi/69409588.html
87,亚美尼亚教堂,/poi/11011.html
88,圣淘沙海滩,/poi/34061732.html
89,马来传统文化馆,/poi/185989.html
90,星耀樟宜,/poi/74047984.html
91,双溪布洛湿地保护区,/poi/10936.html
92,消防博物馆,/poi/6018050.html
93,詹美回教堂,/poi/6018002.html
94,天福宫,/poi/7645710.html
95,旧高等法院,/poi/20879.html
96,亚拉街,/poi/5422958.html
97,陈东龄故居,/poi/6027819.html
98,新加坡杜莎夫人蜡像馆,/poi/15528342.html
99,平民战争纪念碑,/poi/10971.html
100,西罗索炮台,/poi/11037.html
101,财富之源广场,/poi/10859.html
102,麦里芝蓄水池公园,/poi/5422499.html
103,滨海堤坝,/poi/20903.html
104,加纳文桥,/poi/10915.html
105,四马路观音堂,/poi/10995.html
106,奇幻乐园,/poi/5426166.html
107,丹戎巴葛保留区,/poi/6033958.html
108,新加坡管理大学,/poi/6030769.html
109,新加坡万象馆,/poi/11038.html
110,露德圣母教堂,/poi/6027880.html
111,巴西立公园,/poi/6027832.html
112,老虎天空塔,/poi/5538178.html
113,爱琴桥,/poi/8464022.html
114,圣约翰教堂,/poi/5541973.html
115,鞋猫剑客历险记,/poi/34061588.html
116,新加坡艺术学院,/poi/5424270.html
117,虎豹别墅,/poi/186206.html
118,里尼维沙伯鲁玛兴都庙,/poi/11123.html
119,驳船码头,/poi/5543825.html
120,肯特岗公园,/poi/6017968.html
121,滨海湾浮动舞台,/poi/5542950.html
122,马来文化村,/poi/5422963.html
123,新加坡莱佛士酒店,/poi/28805438.html
124,园艺园林,/poi/11054.html
125,莱佛士登陆遗址,/poi/6018025.html
126,圣淘沙蜡像馆,/poi/10972.html
127,客纳街,/poi/5422530.html
128,晚晴园/孙中山故居,/poi/11060.html
129,The Hive NTU,/poi/34171964.html
130,宝莱坞蔬菜农场,/poi/7646193.html
131,新加坡国大博物馆,/poi/7644799.html
132,英比奥山风景区,/poi/6024797.html
133,新加坡国会大厦,/poi/29277942.html
134,西海岸公园,/poi/10930.html
135,碧山公园,/poi/6027836.html
136,圣约翰岛,/poi/6027870.html
137,樟宜海滨公园,/poi/15476079.html
138,维达帕提雅卡雅曼兴都庙,/poi/5540039.html
139,花拉公园,/poi/10917.html
140,龟屿岛,/poi/6027872.html
141,直落布兰雅山公园,/poi/6017967.html
142,土生华人坊,/poi/6034072.html
143,翡翠山,/poi/33182952.html
144,拉柏多自然保护区,/poi/5544824.html
145,新加坡科技设计大学,/poi/34101816.html
146,娘惹博物馆,/poi/33181912.html
147,善牧主教座堂,/poi/5541968.html
148,幻光雨林之夜,/poi/66466304.html
149,三巴旺公园,/poi/5544971.html
150,新生水展览馆,/poi/7646674.html
151,中央集水区自然保护区,/poi/6033983.html
152,Dempsey Hill,/poi/7433562.html
153,武吉巴督自然公园,/poi/11082.html
154,中央消防局,/poi/33182896.html
155,新加坡植物园遗产博物馆,/poi/34809568.html
156,仙人掌花园,/poi/34939400.html
157,Palawan Pirate Ship - 停业,/poi/59099464.html
158,滨海湾城市规划展览馆,/poi/6028784.html
159,萤火虫健康蔬菜农场,/poi/7646180.html
160,仄爪哇湿地,/poi/7864552.html
161,南洋艺术学院,/poi/6027857.html
162,滨海步道,/poi/50229796.html
163,Joo Chiat/Katong,/poi/50229792.html
164,光明山普觉寺,/poi/10939.html
165,新加坡国家体育场,/poi/52978332.html
166,新加坡市区重建局,/poi/9421533.html
167,慕达发购物中心,/poi/50228776.html
168,空军博物馆,/poi/186022.html
169,榜鹅水道公园,/poi/5536079.html
170,Maxwell Food Centre,/poi/33182956.html
171,OCBC Skyway,/poi/50229120.html
172,巴拉湾岛,/poi/74039520.html
173,旧国会大厦艺术之家,/poi/33181856.html
174,星和园,/poi/74039452.html
175,魟鱼湾,/poi/34031504.html
176,达豪施纪念碑,/poi/6042301.html
177,洛阳大伯公宫,/poi/9431159.html
178,艺术、设计与媒体学院,/poi/38277336.html
179,NUS Museum,/poi/33181796.html
180,圣伯多禄圣保禄教堂,/poi/186321.html
181,Spectra,/poi/33750760.html
