POI_INDEX,POI_NAME,URL
1,Gardens by the Bay,/Attraction_Review-g294265-d2149128-Reviews-Gardens_by_the_Bay-Singapore.html
2,Singapore Botanic Gardens,/Attraction_Review-g294265-d310900-Reviews-Singapore_Botanic_Gardens-Singapore.html
3,Singapore Zoo,/Attraction_Review-g294265-d324542-Reviews-Singapore_Zoo-Singapore.html
4,National Orchid Garden,/Attraction_Review-g294265-d317453-Reviews-National_Orchid_Garden-Singapore.html
5,Cloud Forest,/Attraction_Review-g294265-d4400781-Reviews-Cloud_Forest-Singapore.html
6,Marina Bay Sands Skypark,/Attraction_Review-g294265-d1837767-Reviews-Marina_Bay_Sands_Skypark-Singapore.html
7,Singapore Flyer,/Attraction_Review-g294265-d678639-Reviews-Singapore_Flyer-Singapore.html
8,Singapore Mass Rapid Transit (SMRT),/Attraction_Review-g294265-d8016698-Reviews-Singapore_Mass_Rapid_Transit_SMRT-Singapore.html
9,Jurong Bird Park,/Attraction_Review-g294265-d315466-Reviews-Jurong_Bird_Park-Singapore.html
10,Supertree Grove,/Attraction_Review-g294265-d8634325-Reviews-Supertree_Grove-Singapore.html
11,Singapore Cable Car,/Attraction_Review-g294265-d315470-Reviews-Singapore_Cable_Car-Singapore.html
12,National Museum of Singapore,/Attraction_Review-g294265-d324550-Reviews-National_Museum_of_Singapore-Singapore.html
13,Chinatown,/Attraction_Review-g294265-d317415-Reviews-Chinatown-Singapore.html
14,Jewel Changi Airport,/Attraction_Review-g294265-d17237163-Reviews-Jewel_Changi_Airport-Singapore.html
15,Marina Bay,/Attraction_Review-g294265-d1177497-Reviews-Marina_Bay-Singapore.html
16,MacRitchie Nature Trail,/Attraction_Review-g294265-d386880-Reviews-MacRitchie_Nature_Trail-Singapore.html
17,Buddha Tooth Relic Temple and Museum,/Attraction_Review-g294265-d1438273-Reviews-Buddha_Tooth_Relic_Temple_and_Museum-Singapore.html
18,Flower Dome,/Attraction_Review-g294265-d4400784-Reviews-Flower_Dome-Singapore.html
19,Clarke Quay,/Attraction_Review-g294265-d324756-Reviews-Clarke_Quay-Singapore.html
20,Merlion Park,/Attraction_Review-g294265-d644919-Reviews-Merlion_Park-Singapore.html
21,Orchard Road,/Attraction_Review-g294265-d317454-Reviews-Orchard_Road-Singapore.html
22,River Safari,/Attraction_Review-g294265-d4089881-Reviews-River_Safari-Singapore.html
23,Haji Lane,/Attraction_Review-g294265-d3512383-Reviews-Haji_Lane-Singapore.html
