,Unnamed: 0,POI,link,num_reviews
0,0,爱雍·乌节,https://you.ctrip.com/shopping/singapore53/1355920.html,247
1,1,滨海湾金沙购物广场,https://you.ctrip.com/shopping/singapore53/108082.html,431
2,2,义安城,https://you.ctrip.com/shopping/singapore53/108133.html,100
3,3,武吉士街,https://you.ctrip.com/shopping/singapore53/1355883.html,78
4,4,圣淘沙名胜世界荟萃廊免税店,https://you.ctrip.com/shopping/singapore53/1362991.html,232
5,5,福南数码广场,https://you.ctrip.com/shopping/singapore53/108087.html,22
6,6,Pedro（滨海湾金沙购物广场）,https://you.ctrip.com/shopping/singapore53/1452411.html,7
7,7,iStudio（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413537.html,7
8,8,Nex Shopping Mall,https://you.ctrip.com/shopping/singapore53/1375561.html,6
9,9,樟宜机场购物中心,https://you.ctrip.com/shopping/singapore53/1455185.html,11
10,10,Bath & BodyWorks（金沙购物中心）,https://you.ctrip.com/shopping/singapore53/1453967.html,8
11,11,Tampines Mall,https://you.ctrip.com/shopping/singapore53/2290458.html,4
12,12,DFS旗下T广场（新加坡店）,https://you.ctrip.com/shopping/singapore53/108076.html,428
13,13,VivoCity,https://you.ctrip.com/shopping/singapore53/108132.html,225
14,14,乌节路,https://you.ctrip.com/shopping/singapore53/1355874.html,231
19,19,牛车水,https://you.ctrip.com/shopping/singapore53/1355887.html,191
20,20,哈芝巷,https://you.ctrip.com/shopping/singapore53/108091.html,54
21,21,牛车水夜市,https://you.ctrip.com/shopping/singapore53/1447433.html,68
22,22,圣淘沙名胜世界,https://you.ctrip.com/shopping/singapore53/108109.html,49
23,23,新罗免税店（樟宜机场T2离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413463.html,31
24,24,DFS免税店（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/110027.html,718
25,25,杰尼亚（新加坡滨海湾金沙酒店）,https://you.ctrip.com/shopping/singapore53/1361058.html,29
26,26,新达城购物中心,https://you.ctrip.com/shopping/singapore53/108126.html,75
27,27,慕达发中心,https://you.ctrip.com/shopping/singapore53/108103.html,35
28,28,珑骧（樟宜机场T1店）,https://you.ctrip.com/shopping/singapore53/1413404.html,17
29,29,甘榜格南阿拉伯街,https://you.ctrip.com/shopping/singapore53/108088.html,46
30,30,萨瓦托•菲拉格慕 （樟宜机场T1店）,https://you.ctrip.com/shopping/singapore53/1413417.html,11
31,31,So Chocolate（樟宜机场二号候机大厅过境E区）,https://you.ctrip.com/shopping/singapore53/1446512.html,8
32,32,白沙浮商业城,https://you.ctrip.com/shopping/singapore53/108078.html,31
33,33,周大福（新加坡 ION Orchard 珠宝店）,https://you.ctrip.com/shopping/singapore53/1447531.html,15
38,38,乌节中央城,https://you.ctrip.com/shopping/singapore53/108120.html,26
39,39,莱佛士城购物中心,https://you.ctrip.com/shopping/singapore53/108098.html,37
40,40,竹脚市场,https://you.ctrip.com/shopping/singapore53/1356009.html,23
41,41,安详山,https://you.ctrip.com/shopping/singapore53/1362659.html,26
42,42,313@Somerset,https://you.ctrip.com/shopping/singapore53/108075.html,27
43,43,Calvin Klein Jeans（樟宜机场Jewel）,https://you.ctrip.com/shopping/singapore53/1446521.html,20
44,44,滨海广场,https://you.ctrip.com/shopping/singapore53/108080.html,23
45,45,荷兰村,https://you.ctrip.com/shopping/singapore53/1447440.html,49
46,46,百利宫,https://you.ctrip.com/shopping/singapore53/132426.html,30
47,47,节庆大道,https://you.ctrip.com/shopping/singapore53/108096.html,25
48,48,小印度,https://you.ctrip.com/shopping/singapore53/108125.html,49
49,49,Candylicious糖果店,https://you.ctrip.com/shopping/singapore53/1356017.html,195
50,50,荷兰路购物中心,https://you.ctrip.com/shopping/singapore53/108093.html,20
51,51,威士马广场,https://you.ctrip.com/shopping/singapore53/108115.html,21
52,52,The Chocolatier（樟宜机场二号候机大厅过境F区）,https://you.ctrip.com/shopping/singapore53/1446531.html,18
57,57,皇家雪兰莪（新加坡金沙购物商场店）,https://you.ctrip.com/shopping/singapore53/1441921.html,10
58,58,玛莎百货,https://you.ctrip.com/shopping/singapore53/1364237.html,18
59,59,樟宜坊,https://you.ctrip.com/shopping/singapore53/1356020.html,15
60,60,珍珠坊,https://you.ctrip.com/shopping/singapore53/108135.html,23
61,61,邵氏楼,https://you.ctrip.com/shopping/singapore53/132431.html,16
62,62,林志源猪肉干（乌节路店）,https://you.ctrip.com/shopping/singapore53/1447441.html,64
63,63,林志源猪肉干（牛车水店）,https://you.ctrip.com/shopping/singapore53/108100.html,87
64,64,IMM奥特莱斯,https://you.ctrip.com/shopping/singapore53/1362638.html,53
65,65,路易·威登旗舰店,https://you.ctrip.com/shopping/singapore53/1447439.html,32
66,66,The TinTin Shop,https://you.ctrip.com/shopping/singapore53/1375470.html,13
67,67,Candylicious,https://you.ctrip.com/shopping/singapore53/5309914.html,4
68,68,Risis（樟宜机场店）,https://you.ctrip.com/shopping/singapore53/1413561.html,11
69,69,Charles & Keith（樟宜机场T2店）,https://you.ctrip.com/shopping/singapore53/1413501.html,15
70,70,雨果博斯（樟宜机场T3店）,https://you.ctrip.com/shopping/singapore53/1413402.html,13
71,71,Charles & Keith（樟宜机场T3店）,https://you.ctrip.com/shopping/singapore53/1413502.html,11
76,76,冯满记,https://you.ctrip.com/shopping/singapore53/1439326.html,14
77,77,TWG 茶沙龙和精品屋(樟宜机场T1),https://you.ctrip.com/shopping/singapore53/1413489.html,19
78,78,Charles & Keith（樟宜机场T1店）,https://you.ctrip.com/shopping/singapore53/1413500.html,16
79,79,Chomel（樟宜机场T2店）,https://you.ctrip.com/shopping/singapore53/1413503.html,7
80,80,DFS免税店（邮轮中心店）,https://you.ctrip.com/shopping/singapore53/1439330.html,7
81,81,余仁生（樟宜机场T1店）,https://you.ctrip.com/shopping/singapore53/1413474.html,11
82,82,Books Actually书店,https://you.ctrip.com/shopping/singapore53/1356025.html,4
83,83,The Fashion Gallery免税店（新加坡樟宜机场2号航站楼中部）,https://you.ctrip.com/shopping/singapore53/1413421.html,7
84,84,新加坡樟宜机场新罗免税店（4号航站楼离境大厅中央）,https://you.ctrip.com/shopping/singapore53/2915256.html,6
85,85,新加坡高岛屋百货,https://you.ctrip.com/shopping/singapore53/108089.html,39
86,86,克拉码头,https://you.ctrip.com/shopping/singapore53/108097.html,36
87,87,杰尼亚（新加坡ION Orchard购物中心店）,https://you.ctrip.com/shopping/singapore53/1361061.html,26
88,88,狮城大厦,https://you.ctrip.com/shopping/singapore53/108110.html,28
89,89,诗家董百货公司,https://you.ctrip.com/shopping/singapore53/132428.html,29
90,90,文华购物廊,https://you.ctrip.com/shopping/singapore53/108116.html,12
95,95,Pandora（樟宜机场T2离境转机大厅）,https://you.ctrip.com/shopping/singapore53/1413450.html,5
96,96,莱佛士酒店名店廊,https://you.ctrip.com/shopping/singapore53/1379841.html,7
