,POI,link,num_reviews
0,Universal Studios Singapore ,/sight/sentosa776/75830.html,"
                                (16364 reviews)"
1,Singapore Gardens by ,/sight/singapore53/132782.html,"
                                (16364 reviews)"
2,Sentosa Island ,/sight/singapore53/47929.html,"
                                (16364 reviews)"
3,Orchard Road ,/sight/singapore53/108118.html,"
                                (2103 reviews)"
4,Clarke Quay ,/sight/singapore53/3654.html,"
                                (2461 reviews)"
5,Singapore Zoo,/sight/singapore53/3678.html,"
                                (6070 reviews)"
6,Little India ,/sight/singapore53/19944.html,"
                                (1353 reviews)"
7,Chinatown,/sight/singapore53/19942.html,"
                                (1201 reviews)"
8,Singapore Flyer ,/sight/singapore53/61017.html,"
                                (3626 reviews)"
9,SEA Aquarium ,/sight/sentosa776/141369.html,"
                                (6237 reviews)"
10,Merlion Park,/sight/singapore53/62748.html,"
                                (1710 reviews)"
11,Night Safari ,/sight/singapore53/25847.html,"
                                (3405 reviews)"
12,Marina Bay Sands,/sight/singapore53/30007.html,"
                                (547 reviews)"
13,Singapore Botanical Garden,/sight/singapore53/3672.html,"
                                (701 reviews)"
14,Resorts World Sentosa,/sight/sentosa776/87411.html,"
                                (572 reviews)"
15,Esplanade ,/sight/singapore53/26705.html,"
                                (429 reviews)"
16,Sentosa Skyline Slip ,/sight/sentosa776/134468.html,"
                                (429 reviews)"
17,National Museum of Singapore ,/sight/singapore53/3662.html,"
                                (429 reviews)"
18,Marina Bay,/sight/singapore53/1711506.html,"
                                (414 reviews)"
19,Singapore River ,/sight/singapore53/25836.html,"
                                (458 reviews)"
20,St. Andrew's Church ,/sight/singapore53/3659.html,"
                                (462 reviews)"
21,Marina Bay Sands Sky Garden ,/sight/singapore53/1484299.html,"
                                (736 reviews)"
22,Singapore National Gallery,/sight/singapore53/136896.html,"
                                (573 reviews)"
23,River Ecological Park ,/sight/singapore53/137344.html,"
                                (1194 reviews)"
24,Marina Bay Sands Hotel Infinity Pool ,/sight/singapore53/1407535.html,"
                                (643 reviews)"
25,Wings of Time ,/sight/singapore53/1411763.html,"
                                (2570 reviews)"
26,Water Adventure Park ,/sight/sentosa776/1486042.html,"
                                (2034 reviews)"
27,Barra Bay Beach,/sight/sentosa776/107848.html,"
                                (405 reviews)"
28,Haji Lane ,/sight/singapore53/108091.html,"
                                (374 reviews)"
29,Sultan Mosque ,/sight/singapore53/3660.html,"
                                (274 reviews)"
30,Jurong Bird Park ,/sight/jurong21393/3679.html,"
                                (888 reviews)"
31,Praise Place ,/sight/singapore53/132423.html,"
                                (888 reviews)"
32,Siloso Beach ,/sight/sentosa776/107849.html,"
                                (888 reviews)"
33,Double Helix Bridge ,/sight/singapore53/137357.html,"
                                (365 reviews)"
34,Mariamman Hindu Temple ,/sight/singapore53/25841.html,"
                                (394 reviews)"
35,Singapore Art Museum ,/sight/singapore53/1411252.html,"
                                (604 reviews)"
36,Singapore Cable Car ,/sight/singapore53/1407536.html,"
                                (963 reviews)"
37,Kampong Glam ,/sight/singapore53/25840.html,"
                                (254 reviews)"
38,East Coast Park ,/sight/singapore53/7681.html,"
                                (284 reviews)"
39,Faber Park ,/sight/singapore53/7676.html,"
                                (296 reviews)"
40,Old Jubilee Street Police Station,/sight/singapore53/30010.html,"
                                (196 reviews)"
41,Buddha Tooth Relic Temple in Singapore ,/sight/singapore53/145844.html,"
                                (287 reviews)"
42,National University of Singapore ,/sight/singapore53/1409771.html,"
                                (140 reviews)"
43,Geylang Serai ,/sight/singapore53/7682.html,"
                                (173 reviews)"
