"POI_INDEX","WEBSITE_INDEX","POI_NAME","URL","POI_GOOGLE_TRANSLATE_ENGLISH_NAME","POI_CHINESE_NAME","ENG_NAME_SPACE"
1,2,"Universal Studios Singapore","/sight/sentosa776/75830.html","Universal Studios Singapore","新加坡环球影城",NA
2,2,"Singapore Gardens by","/sight/singapore53/132782.html","Singapore Gardens by","新加坡滨海湾花园",NA
3,2,"Sentosa Island","/sight/singapore53/47929.html","Sentosa Island","圣淘沙岛",NA
4,2,"Orchard Road","/sight/singapore53/108118.html","Orchard Road","乌节路","Orchard Road"
5,2,"Clarke Quay","/sight/singapore53/3654.html","Clarke Quay","克拉码头",NA
6,2,"Singapore Zoo","/sight/singapore53/3678.html","Singapore Zoo","新加坡动物园",NA
7,2,"Little India","/sight/singapore53/19944.html","Little India","小印度","Little India"
8,2,"Chinatown Singapore","/sight/singapore53/19942.html","Chinatown","牛车水","Chinatown Singapore"
9,2,"Singapore Flyer","/sight/singapore53/61017.html","Singapore Flyer","新加坡摩天观景轮","Singapore Flyer"
10,2,"SEA Aquarium","/sight/sentosa776/141369.html","SEA Aquarium","S.E.A.海洋馆",NA
11,2,"Merlion Park","/sight/singapore53/62748.html","Merlion Park","鱼尾狮公园","Merlion Park"
12,2,"Night Safari","/sight/singapore53/25847.html","Night Safari","夜间野生动物园",NA
13,2,"Marina Bay Sands","/sight/singapore53/30007.html","Marina Bay Sands","滨海湾金沙",NA
14,2,"Singapore Botanical Garden","/sight/singapore53/3672.html","Singapore Botanical Garden","新加坡植物园",NA
15,2,"Resorts World Sentosa","/sight/sentosa776/87411.html","Resorts World Sentosa","圣淘沙名胜世界",NA
16,2,"Esplanade Theatresonthe Bay","/sight/singapore53/26705.html","Esplanade","滨海艺术中心","Esplanade Theatresonthe Bay"
17,2,"Sentosa Skyline Slip","/sight/sentosa776/134468.html","Sentosa Skyline Slip","圣淘沙天际线斜坡滑车",NA
18,2,"National Museum of Singapore","/sight/singapore53/3662.html","National Museum of Singapore","新加坡国家博物馆",NA
19,2,"Marina Bay","/sight/singapore53/1711506.html","Marina Bay","滨海湾","Marina Bay"
20,2,"Singapore River","/sight/singapore53/25836.html","Singapore River","新加坡河",NA
21,2,"St Andrews Cathedral","/sight/singapore53/3659.html","St. Andrew's Church","圣安德烈教堂","St Andrews Cathedral"
22,2,"Marina Bay Sands Sky Garden","/sight/singapore53/1484299.html","Marina Bay Sands Sky Garden","滨海湾金沙空中花园",NA
23,2,"Singapore National Gallery","/sight/singapore53/136896.html","Singapore National Gallery","新加坡国家美术馆",NA
24,2,"River Ecological Park","/sight/singapore53/137344.html","River Ecological Park","河川生态园",NA
25,2,"Marina Bay Sands Hotel Infinity Pool","/sight/singapore53/1407535.html","Marina Bay Sands Hotel Infinity Pool","滨海湾金沙酒店无边泳池","Marina Bay Sands Hotel Infinity Pool"
26,2,"Wings of Time","/sight/singapore53/1411763.html","Wings of Time","时光之翼",NA
27,2,"Water Adventure Park","/sight/sentosa776/1486042.html","Water Adventure Park","水上探险乐园",NA
28,2,"Palawan Beach","/sight/sentosa776/107848.html","Barra Bay Beach","巴拉湾海滩","Palawan Beach"
29,2,"Haji Lane","/sight/singapore53/108091.html","Haji Lane","哈芝巷","Haji Lane"
30,2,"Masjid Sultan","/sight/singapore53/3660.html","Sultan Mosque","苏丹清真寺","Masjid Sultan"
31,2,"Jurong Bird Park","/sight/jurong21393/3679.html","Jurong Bird Park","裕廊飞禽公园",NA
32,2,"Chijmes","/sight/singapore53/132423.html","Praise Place","赞美广场","Chijmes"
33,2,"Siloso Beach","/sight/sentosa776/107849.html","Siloso Beach","西乐索海滩","Siloso Beach"
34,2,"Helix Bridge","/sight/singapore53/137357.html","Double Helix Bridge","双螺旋桥","Helix Bridge"
35,2,"Sri Mariamman Temple","/sight/singapore53/25841.html","Mariamman Hindu Temple","马里安曼兴都庙","Sri Mariamman Temple"
36,2,"Singapore Art Museum","/sight/singapore53/1411252.html","Singapore Art Museum","新加坡艺术科学博物馆",NA
37,2,"Singapore Cable Car","/sight/singapore53/1407536.html","Singapore Cable Car","新加坡缆车",NA
38,2,"Kampong Glam","/sight/singapore53/25840.html","Kampong Glam","甘榜格南","Kampong Glam"
39,2,"East Coast Park","/sight/singapore53/7681.html","East Coast Park","东海岸公园","East Coast Park"
40,2,"Faber Park","/sight/singapore53/7676.html","Faber Park","花柏山公园",NA
41,2,"Old Hill Street Police Station","/sight/singapore53/30010.html","Old Jubilee Street Police Station","旧禧街警察局","Old Hill Street Police Station"
42,2,"Buddha Tooth Relic Temple","/sight/singapore53/145844.html","Buddha Tooth Relic Temple in Singapore","新加坡佛牙寺龙华院","Buddha Tooth Relic Temple"
43,2,"National Universityof Singapore","/sight/singapore53/1409771.html","National University of Singapore","新加坡国立大学","National Universityof Singapore"
44,2,"Geylang Serai","/sight/singapore53/7682.html","Geylang Serai","芽笼士乃","Geylang Serai"
45,2,"National Orchid Garden","/sight/singapore53/1674015.html","National Orchid Garden","国家胡姬花园",NA
46,2,"Singapore Art Museum","/sight/singapore53/3661.html","Singapore Art Museum","新加坡艺术博物馆","Singapore Art Museum"
47,2,"Dolphin Garden","/sight/sentosa776/1703716.html","Dolphin Garden","海豚园",NA
48,2,"Nanyang Technological University","/sight/singapore53/1409766.html","Nanyang Technological University, Singapore","新加坡南洋理工大学","Nanyang Technological University"
49,2,"Bukit Timah Nature Reserve","/sight/singapore53/7689.html","Bukit Timah Natural Reserve","武吉知马天然保护区","Bukit Timah Nature Reserve"
50,2,"Pulau Ubin","/sight/pulauubin21394/7684.html","Umin Island","乌敏岛","Pulau Ubin"
51,2,"Red Dot Design Museum","/sight/singapore53/147110.html","Red Dot Design Museum","红点设计博物馆",NA
52,2,"Victoria Theatre Victoria Concert Hall","/sight/singapore53/3674.html","Victoria Theatre & Concert Hall","维多利亚剧院与音乐厅","Victoria Theatre Victoria Concert Hall"
53,2,"Holland Village","/sight/singapore53/30072.html","Dutch Village","荷兰村","Holland Village"
54,2,"The Arts House","/sight/singapore53/25848.html","Old Capitol Art House","旧国会大厦艺术之家","The Arts House"
55,2,"Bugis Village","/sight/singapore53/7674.html","Bugis Village","武吉士村","Bugis Village"
56,2,"CITY TOUR Duck Boat","/sight/singapore53/2481730.html","CITY TOUR Duck Boat","CITY TOUR鸭子船",NA
57,2,"Fort Canning Park","/sight/singapore53/1710111.html","Fort Canning Park","福康宁公园","Fort Canning Park"
58,2,"Singapore Philatelic Museum","/sight/singapore53/1409537.html","Singapore Philatelic Museum","新加坡集邮博物馆","Singapore Philatelic Museum"
59,2,"Asian Civilisations Museum","/sight/singapore53/1710133.html","Asian Civilisations Museum","亚洲文明博物馆",NA
60,2,"Jamae Mosque","/sight/singapore53/1486529.html","Jamey Muslim Church","詹美回教堂","Jamae Mosque"
61,2,"Waterfront Promenade","/sight/singapore53/1710078.html","Coastal Trail","滨海步道","Waterfront Promenade"
62,2,"Maijia Adventure Park","/sight/sentosa776/134485.html","Maijia Adventure Park","迈佳探险乐园",NA
63,2,"IONSky","/sight/singapore53/1710137.html","ION Sky","ION天空","IONSky"
64,2,"Trick Eye Museum","/sight/sentosa776/1417685.html","Trick Eye Museum","特丽爱3D美术馆",NA
65,2,"Punggol Beach","/sight/singapore53/1476722.html","Punggol Beach","榜鹅沙滩","Punggol Beach"
66,2,"Mac Ritchie Reservoir","/sight/singapore53/1710191.html","Macquarie Reservoir","麦里芝水库","Mac Ritchie Reservoir"
67,2,"Dempsey Hill","/sight/singapore53/30050.html","Dempsey Hill","登布西山","Dempsey Hill"
