INDEX,POI,link,num_reviews
0,新加坡环球影城,/sight/sentosa776/75830.html,"
                                (16364条点评)"
1,新加坡滨海湾花园,/sight/singapore53/132782.html,"
                                (6378条点评)"
2,圣淘沙岛,/sight/singapore53/47929.html,"
                                (3992条点评)"
3,乌节路,/sight/singapore53/108118.html,"
                                (2103条点评)"
4,克拉码头,/sight/singapore53/3654.html,"
                                (2461条点评)"
5,新加坡动物园,/sight/singapore53/3678.html,"
                                (6070条点评)"
6,小印度,/sight/singapore53/19944.html,"
                                (1353条点评)"
7,牛车水,/sight/singapore53/19942.html,"
                                (1201条点评)"
8,新加坡摩天观景轮,/sight/singapore53/61017.html,"
                                (3626条点评)"
9,S.E.A.海洋馆,/sight/sentosa776/141369.html,"
                                (6237条点评)"
10,鱼尾狮公园,/sight/singapore53/62748.html,"
                                (1710条点评)"
11,夜间野生动物园,/sight/singapore53/25847.html,"
                                (3405条点评)"
12,滨海湾金沙,/sight/singapore53/30007.html,"
                                (547条点评)"
13,新加坡植物园,/sight/singapore53/3672.html,"
                                (701条点评)"
14,圣淘沙名胜世界,/sight/sentosa776/87411.html,"
                                (572条点评)"
15,滨海艺术中心,/sight/singapore53/26705.html,"
                                (429条点评)"
16,圣淘沙天际线斜坡滑车,/sight/sentosa776/134468.html,"
                                (3209条点评)"
17,新加坡国家博物馆,/sight/singapore53/3662.html,"
                                (814条点评)"
18,滨海湾,/sight/singapore53/1711506.html,"
                                (414条点评)"
19,新加坡河,/sight/singapore53/25836.html,"
                                (458条点评)"
20,圣安德烈教堂,/sight/singapore53/3659.html,"
                                (462条点评)"
21,滨海湾金沙空中花园,/sight/singapore53/1484299.html,"
                                (736条点评)"
22,新加坡国家美术馆,/sight/singapore53/136896.html,"
                                (573条点评)"
23,河川生态园,/sight/singapore53/137344.html,"
                                (1194条点评)"
24,滨海湾金沙酒店无边泳池,/sight/singapore53/1407535.html,"
                                (643条点评)"
25,时光之翼,/sight/singapore53/1411763.html,"
                                (2570条点评)"
26,水上探险乐园,/sight/sentosa776/1486042.html,"
                                (2034条点评)"
27,巴拉湾海滩,/sight/sentosa776/107848.html,"
                                (405条点评)"
28,哈芝巷,/sight/singapore53/108091.html,"
                                (374条点评)"
