,POI_INDEX,WEBSITE_INDEX,POI_NAME,URL,POI_GOOGLE_TRANSLATE_ENGLISH_NAME,POI_CHINESE_NAME,ENG_NAME_SPACE,INDEX,POI,link,num_reviews,IS_PRIORITIZED
0,1,2,Universal Studios Singapore,/sight/sentosa776/75830.html,Universal Studios Singapore,新加坡环球影城,,0.0,新加坡环球影城,/sight/sentosa776/75830.html,"
                                (16364条点评)",0
1,2,2,Singapore Gardens by,/sight/singapore53/132782.html,Singapore Gardens by,新加坡滨海湾花园,,1.0,新加坡滨海湾花园,/sight/singapore53/132782.html,"
                                (6378条点评)",0
2,3,2,Sentosa Island,/sight/singapore53/47929.html,Sentosa Island,圣淘沙岛,,2.0,圣淘沙岛,/sight/singapore53/47929.html,"
                                (3992条点评)",0
3,4,2,Orchard Road,/sight/singapore53/108118.html,Orchard Road,乌节路,Orchard Road,3.0,乌节路,/sight/singapore53/108118.html,"
                                (2103条点评)",0
4,5,2,Clarke Quay,/sight/singapore53/3654.html,Clarke Quay,克拉码头,,4.0,克拉码头,/sight/singapore53/3654.html,"
                                (2461条点评)",0
5,6,2,Singapore Zoo,/sight/singapore53/3678.html,Singapore Zoo,新加坡动物园,,5.0,新加坡动物园,/sight/singapore53/3678.html,"
                                (6070条点评)",0
6,7,2,Little India,/sight/singapore53/19944.html,Little India,小印度,Little India,6.0,小印度,/sight/singapore53/19944.html,"
                                (1353条点评)",0
7,8,2,Chinatown Singapore,/sight/singapore53/19942.html,Chinatown,牛车水,Chinatown Singapore,7.0,牛车水,/sight/singapore53/19942.html,"
                                (1201条点评)",0
8,9,2,Singapore Flyer,/sight/singapore53/61017.html,Singapore Flyer,新加坡摩天观景轮,Singapore Flyer,8.0,新加坡摩天观景轮,/sight/singapore53/61017.html,"
                                (3626条点评)",0
9,10,2,SEA Aquarium,/sight/sentosa776/141369.html,SEA Aquarium,S.E.A.海洋馆,,9.0,S.E.A.海洋馆,/sight/sentosa776/141369.html,"
                                (6237条点评)",0
10,11,2,Merlion Park,/sight/singapore53/62748.html,Merlion Park,鱼尾狮公园,Merlion Park,10.0,鱼尾狮公园,/sight/singapore53/62748.html,"
                                (1710条点评)",0
11,12,2,Night Safari,/sight/singapore53/25847.html,Night Safari,夜间野生动物园,,11.0,夜间野生动物园,/sight/singapore53/25847.html,"
                                (3405条点评)",0
