,POI,link,num_reviews,address
0,爱雍·乌节,https://you.ctrip.com/shopping/singapore53/1355920.html,247,"
                            2 Orchard Turn Singapore 238801
                        "
1,滨海湾金沙购物广场,https://you.ctrip.com/shopping/singapore53/108082.html,431,"
                            10 Bayfront Ave, Singapore 018956
                        "
2,义安城,https://you.ctrip.com/shopping/singapore53/108133.html,100,"
                            391 Orchard Rd, Singapore 238873
                        "
3,武吉士街,https://you.ctrip.com/shopping/singapore53/1355883.html,78,"
                            3 New Bugis Street, #03-01,  Singapore 188867
                        "
4,圣淘沙名胜世界荟萃廊免税店,https://you.ctrip.com/shopping/singapore53/1362991.html,232,"
                            8 Sentosa Gateway, Sentosa Island, Singapore 098269
                        "
5,福南数码广场,https://you.ctrip.com/shopping/singapore53/108087.html,22,"
                            109 North Bridge Road Singapore 179097
                        "
6,Pedro（滨海湾金沙购物广场）,https://you.ctrip.com/shopping/singapore53/1452411.html,7,"
                            2 Bayfront Avenue, #B2-100 Marina Bay Sands, 新加坡 018972
                        "
7,iStudio（樟宜机场T3）,https://you.ctrip.com/shopping/singapore53/1413537.html,7,"
                            樟宜机场3号航站楼离境转机大厅
                        "
8,Nex Shopping Mall,https://you.ctrip.com/shopping/singapore53/1375561.html,6,"
                            23 Serangoon, Singapore 556083, Singapore
                        "
9,樟宜机场购物中心,https://you.ctrip.com/shopping/singapore53/1455185.html,11,"
                            机场大道60-80(Changi Coast Rd)
                        "
10,Bath & BodyWorks（金沙购物中心）,https://you.ctrip.com/shopping/singapore53/1453967.html,8,"
                            
                        "
11,Tampines Mall,https://you.ctrip.com/shopping/singapore53/2290458.html,4,"
                            4 Tampines Central 5(近Tampines Ave4)
                        "
12,DFS旗下T广场（新加坡店）,https://you.ctrip.com/shopping/singapore53/108076.html,428,"
                            史格士路25号
                        "
13,VivoCity,https://you.ctrip.com/shopping/singapore53/108132.html,225,"
                            1 Harbourfront Walk, Singapore 098585
                        "
14,乌节路,https://you.ctrip.com/shopping/singapore53/1355874.html,231,"
                            

                        "
15,牛车水,https://you.ctrip.com/shopping/singapore53/1355887.html,191,"
                            No 2 Banda Street Singapore 059962
                        "
