,POI,link,num_reviews
0,Universal Studios Singapore,/sight/sentosa776/75830.html,
1,"Gardens by the Bay, Singapore",/sight/singapore53/132782.html,新加坡旅行资讯
2,Sentosa Island,/sight/singapore53/47929.html,榜鹅沙滩
3,WuJie Road,/sight/singapore53/108118.html,张北旅游攻略
4,Clarke Quay,/sight/singapore53/3654.html,"
                                (2454条点评)"
5,Singapore Zoo,/sight/singapore53/3678.html,"
                                (6062条点评)"
6,Singapore Flyer,/sight/singapore53/61017.html,"
                                (3623条点评)"
7,Little India,/sight/singapore53/19944.html,"
                                (1348条点评)"
8,Chinatown,/sight/singapore53/19942.html,"
                                (1195条点评)"
9,Merlion Park,/sight/singapore53/62748.html,"
                                (1702条点评)"
10,SEA Aquarium,/sight/sentosa776/141369.html,"
                                (6218条点评)"
11,Night safari,/sight/singapore53/25847.html,"
                                (3402条点评)"
12,Marina Bay Sands,/sight/singapore53/30007.html,"
                                (544条点评)"
13,Singapore Botanical Garden,/sight/singapore53/3672.html,"
                                (698条点评)"
14,Resorts World Sentosa,/sight/sentosa776/87411.html,"
                                (570条点评)"
15,Esplanade,/sight/singapore53/26705.html,
16,National Museum of Singapore,/sight/singapore53/3662.html,
17,Sentosa Skyline Slope Pulley,/sight/sentosa776/134468.html,
18,Marina bay,/sight/singapore53/1711506.html,荔波旅游攻略
19,Singapore River,/sight/singapore53/25836.html,绥中旅游攻略
20,St. Andrew's Church,/sight/singapore53/3659.html,
21,National Gallery of Singapore,/sight/singapore53/136896.html,
22,River Ecological Park,/sight/singapore53/137344.html,"
                                (1190条点评)"
23,Marina Bay Sands Sky Garden,/sight/singapore53/1484299.html,"
                                (730条点评)"
24,Haji Lane,/sight/singapore53/108091.html,"
                                (369条点评)"
25,Wings of Time,/sight/singapore53/1411763.html,"
                                (2567条点评)"
26,Aquaventure,/sight/sentosa776/1486042.html,"
                                (2032条点评)"
27,Infinity Pool at Marina Bay Sands,/sight/singapore53/1407535.html,"
                                (638条点评)"
28,Bara Bay Beach,/sight/sentosa776/107848.html,"
                                (402条点评)"
29,Sultan mosque,/sight/singapore53/3660.html,"
                                (274条点评)"
30,Jurong Bird Park,/sight/jurong21393/3679.html,
31,Praise Square,/sight/singapore53/132423.html,
32,Singapore Art and Science Museum,/sight/singapore53/1411252.html,
33,Siloso Beach,/sight/sentosa776/107849.html,若羌旅游攻略
34,Singapore Cable Car,/sight/singapore53/1407536.html,九寨沟旅游攻略
35,Double helix bridge,/sight/singapore53/137357.html,
36,Mariamman Hindu Temple,/sight/singapore53/25841.html,
37,Buddha Tooth Relic Temple,/sight/singapore53/145844.html,
38,Kampong glam,/sight/singapore53/25840.html,"
                                (252条点评)"
39,East Coast Park,/sight/singapore53/7681.html,"
                                (283条点评)"
40,Faber Park,/sight/singapore53/7676.html,"
                                (296条点评)"
41,Old Jubilee Street Police Station,/sight/singapore53/30010.html,"
                                (194条点评)"
42,National University of Singapore,/sight/singapore53/1409771.html,"
                                (140条点评)"
43,Dolphin Garden,/sight/sentosa776/1703716.html,"
                                (394条点评)"
44,Geylang Serai,/sight/singapore53/7682.html,"
                                (172条点评)"
45,National Orchid Garden,/sight/singapore53/1674015.html,
46,Singapore Art Museum,/sight/singapore53/3661.html,新加坡旅行资讯
47,Nanyang Technological University,/sight/singapore53/1409766.html,榜鹅沙滩
48,Bukit Timah Nature Reserve,/sight/singapore53/7689.html,天堂岛旅游攻略
49,Umin Island,/sight/pulauubin21394/7684.html,南非旅游攻略
50,Red Dot Design Museum,/sight/singapore53/147110.html,
51,Victoria Theatre and Concert Hall,/sight/singapore53/3674.html,新加坡资讯 
52,Holland Village,/sight/singapore53/30072.html,"
                                (122条点评)"
53,CITY TOUR duck boat,/sight/singapore53/2481730.html,"
                                (379条点评)"
54,Old Capitol Art House,/sight/singapore53/25848.html,"
                                (119条点评)"
55,Bugis village,/sight/singapore53/7674.html,"
                                (119条点评)"
56,Singapore Philatelic Museum,/sight/singapore53/1409537.html,"
                                (112条点评)"
57,Fort Canning Park,/sight/singapore53/1710111.html,"
                                (154条点评)"
58,Asian Civilisations Museum,/sight/singapore53/1710133.html,"
                                (109条点评)"
59,Coastal walk,/sight/singapore53/1710078.html,"
                                (94条点评)"
