REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,2,32,ElaineHello,5.0,2017-02-16,N,"西乐索海滩位于圣淘沙岛上，有环线巴士到达silosobeach和silosopoint,沿海滩边上有多种运动项目和餐厅，小吃，可以在海滩边上晒太阳看日落，可以美美呆上一整天！",2020-02-04 18:07:26.281375
,2,32,M15****345,3.0,2019-11-23,o,圣淘沙岛上的三个海滩之一，岛上的免费小轻轨很方便，因为要来鱼尾狮拆掉前打卡纪念一下。西乐索边正好在做维修工程所以海滩完全没有人，没想到闲逛海滩居然偶然发现了一条大蜥蜴。,2020-02-04 18:07:26.292504
,2,32,M48****413,5.0,2019-11-30,t,圣淘沙上的西乐索海滩被誉为是亚洲大陆的最南端，其实根本就不是。不过这座海滩上有着吊桥，可以来到一处离岸最近的小岛上，登上这里的瞭望楼眺望海面，还是很漂亮的。,2020-02-04 18:07:26.299661
,2,32,小木**,5.0,2017-02-15, ,西乐索海滩：是新加坡圣淘沙三座海滩中的最受欢迎的，可以从圣淘沙坐捷运，然后转巴士或者火车直接到西乐索海滩，西乐索海滩的沙滩是细白的，海水是浅绿色的，在这里享受个日光浴是极好的。,2020-02-04 18:07:26.306120
,2,32,M30****5232,5.0,2019-09-14,A,自我上次来这里之后，海滩改变了许多，不过上次来都是二十几年前的事儿了！现在海滩上的活动项目丰富多样，设施也有了很大的改善。不过我确实很怀念以前的样子，现在这样我也没啥可抱怨的。,2020-02-04 18:07:26.312698
,2,32,M30****4954,5.0,2019-09-14,v,阳光明媚的日子里，这是一个值得一游的好地方。带上你的泳衣和毛巾。这里有很多商店和餐馆。可以在公共汽车路线上拿一张地图，有其他很多有趣的地方可以游玩。,2020-02-04 18:07:26.318959
,2,32,M30****9258,5.0,2019-09-15,a,我们选择巴拉湾沙滩是因为trip advisor的评论说这里人比较少－而且他们来过这里。这真的是一个很可爱的沙滩。干净，人少，有充足的公共空间。而且这里真的是位于最南端的亚洲大陆，还有超棒的绳索桥和暸望塔。我们对于这次沙滩游玩体验非常开心。,2020-02-04 18:07:26.324918
,2,32,M30****6151,5.0,2019-09-14,i,这是一片风景优美、干净的人造海滩，设施很好，能看见繁忙的新加坡海峡（不知道繁忙的水运对水质有什么影响）。这里有菜品和饮料，还有滑索和游乐区。这片海滩真的整洁无瑕，非常安静、宁静。坐缆车坐到西罗索站过来最方便。,2020-02-04 18:07:26.330793
,2,32,东张西望望东西,4.0,2019-10-18,l,西乐索海滩是圣淘沙几个海滩中人气最好的，这里有不少的水上活动的项目的，很适合一家人过来玩的，风景也是不错的，周围配套也是很好的喔。,2020-02-04 18:07:26.335827
,2,32,_WeCh****052107,4.0,2019-12-24,a,这个海滩不是很大，来这里的游客也不是特别多，可能我们来的时候，其他游客没来这里，。这个沙滩。建筑不是特别多，但是风景很好，或许是因为游客不是特别多，所以风景才显得那么美吧。,2020-02-04 18:07:26.340006
,2,32,juki235,5.0,2019-06-05,N,西乐索海滩被誉为亚洲大陆的最南端，海滩其实非常的小，有一座吊索桥可以到达最南端的海滩。在这里有一座亚洲最南端的纪念碑，绝对是一处到此一游的景点。,2020-02-04 18:07:29.509182
,2,32,西芹辣吵小百合,4.0,2017-08-30,o,圣淘沙西侧的海滩piloso beach，游人很多，这里的海浪要大些，而且beach坡度有些陡，不太适合游泳，适合冲浪。走在沙滩，可以听到阵阵波涛声，在这阳光下，在沙滩上温度很高，简直就是在做足部热砂浴，不一样的感觉,2020-02-04 18:07:29.515315
,2,32,素素77,5.0,2019-07-28,t,来到圣淘沙，最难忘的就是西乐索海滩，因为这是圣淘沙捷运最后一站下车后看到的第一个海滩。海滩上人气很旺，海水很清澈，蓝绿色的海水衬托着蓝天，非常美丽。,2020-02-04 18:07:29.522993
,2,32,素素77,4.0,2019-06-05, ,西乐索海滩是圣淘沙岛上可以看到的第一个海滩，也是圣淘沙捷运的最后一站下车即可到达的海滩。西乐索海滩上玩水的年轻人非常多，除了沙滩排球还是独木舟等等。,2020-02-04 18:07:29.529924
,2,32,齐步走123,5.0,2019-06-10,A,西东索海滩其实不止可以玩水，还有很多游乐项目可以玩的，如果单纯是海滩而言是不能跟泰国还有菲律宾的海滩比的，但这里风景也是很漂亮而且玩的项目很多,2020-02-04 18:07:29.536282
,2,32,热爱生活0618,5.0,2019-02-09,v,西罗索海滩位于南中国海畔，白天和夜间都有其独特的风景。犹如月牙形的一个海滩，而且游人相对来说，去的时候比较少，这阳光非常的惬意。,2020-02-04 18:07:29.542388
,2,32,刘小小小夏,0.0,2019-08-08,a,"宽阔无垠的大海，我来了在这个炎热的假期里，谁不想去一场海边之旅呢，这不我的小伙伴和我一起来到了新加坡的一个岛屿，这里有一座海滩，特别出名，那就是西乐索海滩了。这里交通特别方便，我们乘坐出租车15分钟就可以到达这里。来到这里之后，映入眼帘的就是一片洁白无瑕的沙滩，走近我们看到了一个巨大的石头上面雕刻的这海滩的名字，并且旁边有几颗椰树做衬托。然后我们换好衣服，便下到海里游泳了，这里海水特别干净，人也不会太多，玩的非常开心。在游玩的过程中，我发现了，身后有1大片的椰树林，虽然我们猜不到，但我们选择去商店里购买。只见着老板身手敏捷的爬到树上摘了两个椰子下来，价格实惠又好喝。到了晚上，我们选择在海滩后面的酒店居住，房间干净整洁，并且在阳台还可以看到这一览无余的大海。这个海滩我特别喜欢，不仅干净而且人也少，推荐大家来游玩。tips1:西乐索海滩全天开放。2:不需要门票。景点地址：Siloso Beach Walk, Singapore",2020-02-04 18:07:29.548439
,2,32,M49****970,5.0,2019-07-28,i,西罗索海滩位于南中国海畔，白天和夜间都有其独特的风景。白天可以游泳、沙滩排球、晒日光浴；夜晚可以在酒吧、餐厅聊天、畅饮、享受音乐。西罗索沙滩还经常有一些活动，比如音乐节、马拉松、Party，如果恰巧赶上，也是独特的体验。,2020-02-04 18:07:29.554421
,2,32,M30****6151,5.0,2019-03-13,l,水幕电影《时光之翼》的表演场地就设在Siloso海滩上，是一个半开放式的剧场，由几个三角形的频幕组成大屏幕，当机器将水抽上来喷向天空，分散成细碎的小水滴后，镭射光便可以打在这面由水形成的幕墙上面，并散射出耀眼的光。运用这样的方法，屏幕上出现了连续不断的动画式剧情，通过水和光，营造出如此生动美妙的画面。,2020-02-04 18:07:29.560203
,2,32,Rain小雨点,3.0,2019-12-30,a,海水不大干净沙滩一般，稀稀拉拉几个老外在泡着，沙滩游玩的项目真不少，很棒,2020-02-04 18:07:29.565202
,2,32,M51****565,5.0,2019-04-26,N,最近回到这里与孩子们一起游泳。 新加坡的海滩一般都不是很脏的地方，西罗索海滩也不例外。 我们玩了大约一个小时，建了几个沙堡，游了一小会儿泳。 这附近停车相当贵。,2020-02-04 18:07:32.165254
,2,32,yi****214,5.0,2019-04-26,o,这可能不是个很适合游泳的地方，却是个很好的参观景点，好看的沙滩，很多好的景点、酒吧和咖啡厅。我有一个桨，但是不确定水是否是原始的，因为附近有一些船。,2020-02-04 18:07:32.174101
,2,32,M30****8293,5.0,2019-03-13,t,西罗索海滩算是人比较多的一个海滩，娱乐的项目也比较多。看时光之翼的沙滩，早点去占位，可以看到落日。配合如真似幻的灯光、激光、立体投影、火焰、喷泉等特效，与自然环境融合一体，震撼华丽的表演。,2020-02-04 18:07:32.180769
,2,32,M30****1190,5.0,2019-04-26, ,西乐索海滩度假村马路对面，是这个美丽的棕榈湾，有救生员，干净的水，温度是合适的22摄氏度，防护网，轻音乐，白色的沙滩，所有的一切使得体验美丽宁静。,2020-02-04 18:07:32.187893
,2,32,M31****5916,5.0,2019-04-26,A,这是一个风景优美的海滩，在公休假期里有很多当地人，我的孩子们正试着找一些贝壳作为纪念品，但是这海滩上到处都是垃圾，我们找不到。附近有一个完整的卫生间，非常方便，在前哨站有2个警卫。,2020-02-04 18:07:32.195463
,2,32,320****987,5.0,2019-04-26,v,我们用一日通票从缆车景点来到这里，沙滩有一个陡峭的梯度，水面上漂浮着肮脏的浮游生物和其他海草叶子等……没什么事情做，最好去巴拉望海滩。,2020-02-04 18:07:32.202096
,2,32,诗意情节,5.0,2019-04-16,a,西乐索海滩踏浪~ 风景美如画~ 街对面的孔雀自由溜达着，很恬静的感觉！傍晚，在西乐索海滩等日落；入夜，海滩上观看“时光之翼”海上秀。圣淘沙的夜，美美哒,2020-02-04 18:07:32.207713
,2,32,belle_Ivy,5.0,2018-01-31,i,海滩是小朋友的最爱，浪花沙滩，不用任何游戏设施，就可以玩一个上午。尽管没有备课，但是对你想冲海浪，都可以玩很久，附近还有很多，游乐设施，例如天际滑车。还看到野生动物孔雀。,2020-02-04 18:07:32.212706
,2,32,Kevin,4.0,2018-01-29,l,离轻轨站有段距离，所以人比较少，海滩的后面有一排餐饮店，还有么麦当劳，性价比不错，这里让孩子踩踩沙子，玩玩海水不错，最好下午五点左右，太阳不大了。,2020-02-04 18:07:32.216871
,2,32,candydogg,5.0,2016-12-12,a,西乐索海滩在圣淘沙岛上，我是坐缆车到达的，在缆车上就可以欣赏到海滩的全景，然后从索道站出来可以看见一家卖椰子雪糕的甜品店，里面卖的椰子雪糕非常好吃，推荐大家试一试。沙滩和海水都比较干净，我是将近傍晚时分过去逛的，几乎没什么人了，可以尽情的拍照和逛逛，在这里还可以玩滑索哦！,2020-02-04 18:07:32.220864
