,REVIEW_INDEX,OVERALL,POLARITY_DIST: CONSUMPTION,POLARITY_DIST: ENVIRONMENT,POLARITY_DIST: F&B,POLARITY_DIST: HYGIENE,POLARITY_DIST: SAFETY,POLARITY_DIST: SERVICE,POLARITY_DIST: SHOPPING,POLARITY_DIST: SIGHTSEEING,POLARITY_DIST: TRANSPORTATION,ASP_NEG_RIO,ASP_NEU_RIO,ASP_POS_RIO,REV_NEG_RIO,REV_NEU_RIO,REV_POS_RIO,TOTAL_ASPECTS,ASPECT,POLARITY
0,1,POS,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,4]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4,环境,POS
1,1,POS,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,4]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4,随处的美景,POS
2,1,POS,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,4]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4,美景,POS
3,1,POS,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,4]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4,人,POS
4,2,POS,"[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,2]","[0,0,0]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4,草,POS
5,2,POS,"[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,2]","[0,0,0]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4,景点,POS
6,2,POS,"[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,2]","[0,0,0]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4,兰花,NEG
7,2,POS,"[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","1,0,2]","[0,0,0]",0.24999375015624611,0.0,0.7499812504687383,0.0,0.0,0.9999000099990001,4,生态,POS
8,3,NEG,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","6,0,2]","[0,0,0]",0.6666592593415629,0.0,0.33332962967078145,0.9999000099990001,0.0,0.0,9,周末休闲,NEG
9,3,NEG,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","6,0,2]","[0,0,0]",0.6666592593415629,0.0,0.33332962967078145,0.9999000099990001,0.0,0.0,9,晚上,NEG
10,3,NEG,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","6,0,2]","[0,0,0]",0.6666592593415629,0.0,0.33332962967078145,0.9999000099990001,0.0,0.0,9,免费的,POS
11,3,NEG,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","6,0,2]","[0,0,0]",0.6666592593415629,0.0,0.33332962967078145,0.9999000099990001,0.0,0.0,9,休闲,POS
12,3,NEG,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","6,0,2]","[0,0,0]",0.6666592593415629,0.0,0.33332962967078145,0.9999000099990001,0.0,0.0,9,人,NEG
13,3,NEG,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","6,0,2]","[0,0,0]",0.6666592593415629,0.0,0.33332962967078145,0.9999000099990001,0.0,0.0,9,周末休闲,NEG
14,3,NEG,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","6,0,2]","[0,0,0]",0.6666592593415629,0.0,0.33332962967078145,0.9999000099990001,0.0,0.0,9,人,NEG
15,3,NEG,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","6,0,2]","[0,0,0]",0.6666592593415629,0.0,0.33332962967078145,0.9999000099990001,0.0,0.0,9,景点,POS
16,3,NEG,"[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","6,0,2]","[0,0,0]",0.6666592593415629,0.0,0.33332962967078145,0.9999000099990001,0.0,0.0,9,地方,NEG
17,5,POS,"[1,0,0]","[0,0,2]","[0,0,0]","[1,0,3]","[0,0,0]","[0,0,1]","[0,0,0]","0,0,7]","[1,1,0]",0.17646955017911659,0.058823183393038866,0.7647013841095053,0.0,0.0,0.9999000099990001,17,胡姬花,POS
18,5,POS,"[1,0,0]","[0,0,2]","[0,0,0]","[1,0,3]","[0,0,0]","[0,0,1]","[0,0,0]","0,0,7]","[1,1,0]",0.17646955017911659,0.058823183393038866,0.7647013841095053,0.0,0.0,0.9999000099990001,17,地上,POS
19,5,POS,"[1,0,0]","[0,0,2]","[0,0,0]","[1,0,3]","[0,0,0]","[0,0,1]","[0,0,0]","0,0,7]","[1,1,0]",0.17646955017911659,0.058823183393038866,0.7647013841095053,0.0,0.0,0.9999000099990001,17,中,POS
20,5,POS,"[1,0,0]","[0,0,2]","[0,0,0]","[1,0,3]","[0,0,0]","[0,0,1]","[0,0,0]","0,0,7]","[1,1,0]",0.17646955017911659,0.058823183393038866,0.7647013841095053,0.0,0.0,0.9999000099990001,17,车,NEG
21,5,POS,"[1,0,0]","[0,0,2]","[0,0,0]","[1,0,3]","[0,0,0]","[0,0,1]","[0,0,0]","0,0,7]","[1,1,0]",0.17646955017911659,0.058823183393038866,0.7647013841095053,0.0,0.0,0.9999000099990001,17,冰室,POS
