,REVIEW_INDEX,ASPECT,POLARITY
0,GBB_0,滨海湾花园,POS
1,GBB_0,flowerdome,NEG
2,GBB_0,玻璃花园,POS
3,GBB_0,室内冷气,POS
4,GBB_0,非常,NEU
5,GBB_0,花园城市,POS
6,GBB_0,买票,POS
7,GBB_0,感觉,NEG
8,GBB_0,整个花园,NEG
9,GBB_0,话,POS
10,GBB_0,音乐灯光秀,POS
11,GBB_0,冷气,POS
12,GBB_0,气,POS
13,GBB_0,show,POS
14,GBB_0,flower,POS
15,GBB_0,拍照,POS
16,GBB_0,视野,POS
17,GBB_0,室内瀑布,POS
18,GBB_0,元素,POS
19,GBB_0,flowerdome,NEG
20,GBB_1,的植物,POS
21,GBB_1,平面温室,POS
22,GBB_1,温度,POS
23,GBB_1,有瀑布的,POS
24,GBB_1,滨海湾花园,POS
25,GBB_1,景点,POS
26,GBB_1,植物,POS
27,GBB_1,售票,POS
28,GBB_1,花,NEG
29,GBB_2,滨海湾花园,POS
30,GBB_2,各个,POS
31,GBB_3,鸟瞰整个花园景色,NEU
32,GBB_3,海湾花园,POS
33,GBB_3,城市花园,POS
34,GBB_3,夜景,POS
35,GBB_3,花园,POS
36,GBB_3,花园里,POS
37,GBB_4,看的,POS
38,GBB_4,看的,POS
39,GBB_4,亮灯,POS
40,GBB_4,看的,POS
41,GBB_4,亮灯仪式,POS
42,GBB_4,门票,POS
43,GBB_5,南花园,POS
44,GBB_5,奇花异草,POS
45,GBB_5,奇花异草,POS
46,GBB_5,滨海湾花园,POS
47,GBB_5,超级花园,POS
48,GBB_5,花园,POS
49,GBB_5,滨海东花园,POS
50,GBB_6,滨海湾花园,POS
51,GBB_6,地方,POS
52,GBB_6,瀑布,POS
53,GBB_7,非常,POS
54,GBB_7,天空步道,POS
55,GBB_7,非常,POS
56,GBB_7,花园,POS
57,GBB_7,安排,NEG
58,GBB_7,非常,POS
59,GBB_7,看,NEU
60,GBB_7,比较,NEG
61,GBB_7,下来,POS
62,GBB_7,花园,POS
63,GBB_7,冷气,POS
64,GBB_8,体验,POS
65,GBB_8,美丽,POS
66,GBB_8,这里,POS
67,GBB_8,花园景观,POS
68,GBB_8,滨海花园,POS
69,GBB_8,美景,NEG
70,GBB_8,夜景,POS
71,GBB_8,这个,NEG
72,GBB_8,植被,POS
73,GBB_8,地理位置,POS
74,GBB_8,东南亚菜,NEG
75,GBB_8,花,POS
76,GBB_9,太阳,NEG
77,GBB_9,空,NEG
78,GBB_9,超级树,NEG
79,GBB_9,拍照,POS
80,GBB_9,麦当劳,NEG
81,GBB_9,两个馆感,NEG
82,GBB_9,实景,POS
83,GBB_9,多肉,NEG
84,GBB_9,个馆,POS
85,GBB_9,室内馆,NEG
86,GBB_9,过来,POS
87,GBB_9,空中走廊看落日,POS
88,GBB_9,话,NEG
89,GBB_9,迪士尼娃娃拯救了,POS
90,GBB_9,迪士尼,POS
91,GBB_9,走廊,NEG
92,GBB_10,晚上,POS
93,GBB_10,光秀,POS
94,GBB_10,晚上,POS
95,GBB_10,滨海湾花园,POS
96,GBB_11,非常,NEG
97,GBB_11,植物,NEG
98,GBB_11,灯饰,NEG
99,GBB_11,天大树,POS
100,GBB_11,滨海湾花园,POS
101,GBB_11,灯光,POS
102,GBB_12,花园的夜景,POS
103,GBB_12,新加坡滨海花园,POS
104,GBB_12,滨,POS
105,GBB_13,非常,POS
106,GBB_13,植物,NEG
107,GBB_13,花园,POS
108,GBB_13,外面,POS
109,GBB_13,花穹,NEG
110,GBB_13,景点,POS
111,GBB_13,凉,POS
112,GBB_13,逛,POS
113,GBB_13,灯光秀,POS
114,GBB_13,讲解,POS
115,GBB_13,滨海湾花园,POS
116,GBB_14,地方,NEG
117,GBB_16,凉,POS
118,GBB_16,想观光,POS
119,GBB_16,观光,NEG
120,GBB_16,植物,POS
121,GBB_16,植物种类,NEG
122,GBB_16,购票,POS
123,GBB_17,感觉,NEG
124,GBB_17,看,NEG
125,GBB_17,馆,POS
126,GBB_17,环境,POS
127,GBB_17,晚上的表演,POS
128,GBB_17,花园,POS
129,GBB_17,品种,POS
130,GBB_17,花,POS
131,GBB_18,白天,POS
132,GBB_18,接驳车的资讯,NEG
133,GBB_18,晚上,NEG
134,GBB_18,非常,POS
135,GBB_18,接驳车,NEG
136,GBB_18,非常,POS
137,GBB_18,大太阳,POS
138,GBB_19,人,NEG
139,GBB_19,干净,POS
140,GBB_19,滨海湾花园,POS
141,GBB_19,里面,POS
142,GBB_19,集,POS
143,GBB_19,草坪,POS
144,GBB_20,空中花园,POS
145,GBB_20,花园,POS
146,GBB_20,花园夜景,POS
147,GBB_20,滨海湾花园,POS
148,GBB_20,看,NEU
149,GBB_20,俯瞰花园夜景,POS
150,GBB_22,带着小孩一起,POS
151,GBB_22,两个花园,POS
152,GBB_22,天,NEG
153,GBB_22,带着小孩一起,POS
154,GBB_22,逛,NEG
155,GBB_23,环境,NEG
156,GBB_23,非常,POS
157,GBB_23,非常,POS
158,GBB_23,景点,POS
159,GBB_23,亲子,POS
160,GBB_23,购票,POS
161,GBB_23,白天夜晚,POS
162,GBB_23,生态,NEG
163,GBB_23,之景点,POS
164,GBB_23,境,POS
165,GBB_23,亲子,POS
166,GBB_24,上午,NEU
167,GBB_24,空中花园,POS
168,GBB_24,打卡,POS
169,GBB_24,滨海湾花园,POS
170,GBB_24,景点,POS
171,GBB_25,以来,NEU
172,GBB_25,滨海湾花园,POS
173,GBB_25,人,NEG
174,GBB_26,奇花异草,POS
175,GBB_26,纸质票,POS
176,GBB_26,处,POS
177,GBB_26,花的,POS
178,GBB_26,馆内温度,NEG
179,GBB_26,馆内温度,NEG
180,GBB_26,花的,POS
181,GBB_26,进入,POS
182,GBB_26,凉,POS
183,GBB_26,售票,POS
184,GBB_26,奇花异草,POS
185,GBB_26,门票,POS
186,GBB_26,异,POS
187,GBB_26,空气,POS
188,GBB_28,别的地方,POS
189,GBB_28,感受,POS
190,GBB_28,外面的景色,POS
191,GBB_28,看,POS
192,GBB_28,花园,POS
193,GBB_28,空调环境,POS
194,GBB_28,秩序,POS
195,GBB_28,的景色,POS
196,GBB_29,滨海花园,POS
197,GBB_29,实体票,POS
198,GBB_29,换票,POS
199,GBB_29,出票,POS
200,GBB_29,换票地点,POS
201,GBB_29,出票,POS
202,GBB_29,滨海花园,POS
203,GBB_29,花园,POS
204,GBB_29,票,POS
205,GBB_29,售票,POS
206,GBB_29,出票,POS
207,GBB_29,服看下花,POS
208,GBB_29,空调,POS
209,GBB_30,灯光秀,NEG
210,GBB_30,瀑布,POS
211,GBB_30,远处看,NEG
212,GBB_30,花穹,NEG
213,GBB_30,云雾林,POS
214,GBB_31,花园,POS
215,GBB_31,滨海湾花园,POS
216,GBB_31,角度,NEG
217,GBB_31,灯光,NEG
218,GBB_31,南花园,POS
219,GBB_31,灯光秀,POS
220,GBB_32,草,POS
221,GBB_32,地上,POS
222,GBB_32,自然景观,POS
223,GBB_32,下面,POS
224,GBB_32,人造景观,NEG
225,GBB_32,网上买票,POS
226,GBB_32,买票,POS
227,GBB_32,滨海湾花园,POS
228,GBB_32,灯光音乐秀,POS
229,GBB_33,奇花异草,POS
230,GBB_33,色彩,POS
231,GBB_33,滨海湾花园,POS
232,GBB_33,湾花园,POS
233,GBB_33,奇花异草,POS
234,GBB_33,美景,POS
235,GBB_33,观赏,NEU
236,GBB_33,这里,NEU
237,GBB_35,郁金香,POS
238,GBB_35,花的,NEG
239,GBB_35,人,POS
240,GBB_35,花园,POS
241,GBB_35,郁金香花主题展,POS
242,GBB_35,白天,POS
243,GBB_35,凉,POS
244,GBB_35,花穹,POS
245,GBB_36,音乐,NEG
246,GBB_36,植物,POS
247,GBB_36,躺在树下看,POS
248,GBB_36,体验,POS
249,GBB_36,超级树的灯光秀,POS
250,GBB_36,里面,NEG
251,GBB_36,音乐,NEG
252,GBB_36,没有见过的植物,NEG
253,GBB_36,灯光秀,POS
254,GBB_36,云雾林,NEG
255,GBB_36,花穹,NEG
256,GBB_39,票子,NEU
257,GBB_39,不行当场买,POS
258,GBB_39,可以点评购买,POS
259,GBB_39,练习摄影的,POS
260,GBB_39,馆内,NEG
261,GBB_39,看,POS
262,GBB_39,门票,POS
263,GBB_39,淘宝,POS
264,GBB_39,气温,NEG
265,GBB_39,练习摄影,POS
266,GBB_39,当场买,NEG
267,GBB_39,拍,NEU
268,GBB_39,花穹和云雾林,POS
269,GBB_39,点评购买,NEU
270,GBB_39,拍照,NEU
271,GBB_39,构图,NEG
272,GBB_39,两个馆,NEG
273,GBB_40,看,NEG
274,GBB_40,晚上,NEG
275,GBB_40,色彩,POS
276,GBB_40,看,NEG
277,GBB_40,灯光秀,NEG
278,GBB_40,花园,POS
279,GBB_40,冷气,POS
280,GBB_40,FlowerDome,NEG
281,GBB_40,滨海湾花园,POS
282,GBB_40,色彩,POS
283,GBB_41,仙人掌,NEG
284,GBB_41,植物,NEG
285,GBB_41,还是很,NEU
286,GBB_41,人,POS
287,GBB_41,室外花园,POS
288,GBB_41,景色,POS
289,GBB_41,地,NEG
290,GBB_41,雕像,POS
291,GBB_41,比较,NEG
292,GBB_41,比较,NEG
293,GBB_41,多肉植物,NEG
294,GBB_41,郁金香,POS
295,GBB_41,花园,POS
296,GBB_41,瀑布,POS
297,GBB_41,猪笼草,POS
298,GBB_41,人造瀑布,POS
299,GBB_42,瀑布,POS
300,GBB_42,室内花园,POS
301,GBB_42,票,POS
302,GBB_42,夜景,POS
303,GBB_42,表示,NEG
304,GBB_42,夜景,POS
305,GBB_42,打卡,POS
306,GBB_43,超级树,POS
307,GBB_43,中走廊,POS
308,GBB_43,在里面,NEU
309,GBB_43,空中长廊,POS
310,GBB_43,用餐,NEU
311,GBB_43,滨海湾花园,POS
312,GBB_43,猴面包树,POS
313,GBB_43,关闭,POS
314,GBB_43,多肉,NEG
315,GBB_43,植物名牌,NEG
316,GBB_43,景色,POS
317,GBB_44,还是很,NEG
318,GBB_44,非常,POS
319,GBB_44,人,NEG
320,GBB_44,景色,POS
321,GBB_44,玻璃屋,NEG
322,GBB_44,院子,NEG
323,GBB_44,非常,POS
324,GBB_45,擎天树的灯光,POS
325,GBB_45,人,POS
326,GBB_45,晚上,POS
327,GBB_45,人,POS
328,GBB_45,音乐,POS
329,GBB_45,滨海湾花园,POS
330,GBB_46,白天,POS
331,GBB_46,白,POS
332,GBB_46,灯光秀,POS
333,GBB_46,风格,POS
334,GBB_46,看的,POS
335,GBB_46,地方,POS
336,GBB_46,看的,POS
337,GBB_47,非常,NEG
338,GBB_47,人,NEG
339,GBB_47,把树,POS
340,GBB_47,滨海湾花园,POS
341,GBB_47,看,NEG
342,GBB_47,园区,NEG
343,GBB_49,热带的植物,NEG
344,GBB_49,冷气,POS
345,GBB_51,雕,POS
346,GBB_51,水狮子,POS
347,GBB_51,打卡,POS
348,GBB_51,管理,POS
349,GBB_52,票价,POS
350,GBB_52,慢跑,NEU
351,GBB_52,非常,POS
352,GBB_52,票价,POS
353,GBB_52,票价,POS
354,GBB_52,滨海湾花园,POS
355,GBB_52,非常,POS
356,GBB_52,价,POS
357,GBB_53,新加坡滨海花园,POS
358,GBB_53,观赏,NEU
359,GBB_53,付费,NEU
360,GBB_54,tree下面,POS
361,GBB_54,感觉,NEG
362,GBB_58,近看,POS
363,GBB_58,傍晚去,NEG
364,GBB_58,桥上看,POS
365,GBB_58,连廊,POS
366,GBB_58,滨海湾花园,POS
367,GBB_58,滨海湾花园,POS
368,GBB_58,特色植物,NEG
369,GBB_58,人造树,NEG
370,GBB_58,音乐灯光秀,POS
371,GBB_58,站在连廊桥上看,POS
372,GBB_58,远,POS
373,GBB_58,打卡,POS
374,GBB_58,景点,POS
375,GBB_58,购票,POS
376,GBB_58,远看,NEG
377,GBB_59,景点,POS
378,GBB_59,亮灯后,POS
379,GBB_59,酒店,POS
380,GBB_59,打卡,POS
381,GBB_59,远看,NEG
382,GBB_59,金,POS
383,GBB_59,乐,POS
384,GBB_59,看,NEU
385,GBB_59,买票,POS
386,GBB_59,滨海湾花园,NEG
387,GBB_59,灯光秀,POS
388,GBB_59,打卡,POS
389,GBB_59,地方,NEG
390,GBB_60,滨海湾从早到晚,POS
391,GBB_60,美景,POS
392,GBB_60,日出时,POS
393,GBB_60,灯光秀,POS
394,GBB_60,夜晚的灯光秀,POS
395,GBB_60,白天的气温,POS
396,GBB_60,太阳,POS
397,GBB_60,看,NEG
398,GBB_60,清早,POS
399,GBB_60,酒店,NEU
400,GBB_60,看的,NEG
401,GBB_60,人,POS
402,GBB_60,清早,POS
403,GBB_60,美食,POS
404,GBB_60,天气,NEU
405,GBB_61,滨海湾花园,POS
406,GBB_61,花园,POS
407,GBB_61,树,POS
408,GBB_61,看,POS
409,GBB_61,环保理念,POS
410,GBB_61,看,POS
411,GBB_62,室内馆,POS
412,GBB_62,天气,NEG
413,GBB_62,晚上开灯后,POS
414,GBB_62,天气里,POS
415,GBB_62,景,POS
416,GBB_62,白天,NEG
417,GBB_62,生态,POS
418,GBB_63,瀑布,POS
419,GBB_63,晚上去看看,POS
420,GBB_63,圣诞树,POS
421,GBB_64,晚上的时候,POS
422,GBB_64,美景,NEG
423,GBB_64,造型,POS
424,GBB_64,花园,POS
425,GBB_64,树做的造型,POS
426,GBB_65,照片,NEG
427,GBB_65,热带植物,NEG
428,GBB_65,滨海湾花园,POS
429,GBB_65,孩子,NEG
430,GBB_65,拍,NEG
431,GBB_65,照片,NEG
432,GBB_65,滨海湾花园,POS
433,GBB_66,晚上过来,NEU
434,GBB_66,灯光,POS
435,GBB_66,灯光亮了之后,POS
436,GBB_66,景点,POS
437,GBB_66,景点,POS
438,GBB_66,景点,POS
439,GBB_66,滨海湾花园,POS
440,GBB_67,白天,POS
441,GBB_68,非常,POS
442,GBB_68,滨海湾花园,POS
443,GBB_68,工作人员,NEG
444,GBB_68,非常,POS
445,GBB_68,非常,POS
446,GBB_68,海湾花园,POS
447,GBB_69,热带雨林的效果,POS
448,GBB_69,出来,POS
449,GBB_69,人,NEG
450,GBB_69,热带雨林,POS
451,GBB_69,室内瀑布,POS
452,GBB_70,景观设置,POS
453,GBB_70,园,POS
454,GBB_70,非常,POS
455,GBB_70,地方,NEG
456,GBB_70,景观,POS
457,GBB_70,花园,POS
458,GBB_70,有一个,NEG
459,GBB_71,景,POS
460,GBB_71,非常,POS
461,GBB_71,景观,POS
462,GBB_71,花园,POS
463,GBB_72,位置,POS
464,GBB_72,非常,POS
465,GBB_72,非常,POS
466,GBB_72,公园,POS
467,GBB_72,两个公园,POS
468,GBB_72,天空之桥,POS
469,GBB_73,风,POS
