REVIEW_INDEX,OVERALL,ASPECTS,ASPECTS_POLARITIES,POLARITY_DIST: CONSUMPTION,POLARITY_DIST: ENVIRONMENT,POLARITY_DIST: F&B,POLARITY_DIST: HYGIENE,POLARITY_DIST: SAFETY,POLARITY_DIST: SERVICE,POLARITY_DIST: SHOPPING,POLARITY_DIST: SIGHTSEEING,POLARITY_DIST: TRANSPORTATION,ASP_NEG_RIO,ASP_NEU_RIO,ASP_POS_RIO,REV_NEG_RIO,REV_NEU_RIO,REV_POS_RIO,TOTAL_ASPECTS
0,POS,"[""滨海湾花园"",""音乐灯光秀"",""冷气"",""气"",""室内瀑布"",""flower"",""拍照"",""视野"",""show"",""flower+dome+"",""flower+dome"",""玻璃花园"",""室内冷气"",""整个花园"",""花园城市"",""买票"",""感觉"",""元素"",""非常"",""话""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""NEG"",""POS"",""POS"",""NEG"",""POS"",""POS"",""NEG"",""POS"",""NEU"",""POS""]","[0,0,0]","[2,1,2]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","2,0,13]","[0,0,0]",0.19999900000499998,0.049999750001249996,0.7499962500187499,0.0,0.0,0.9999000099990001,20
1,POS,"[""有瀑布的"",""的植物"",""平面温室"",""温度"",""滨海湾花园"",""景点"",""植物"",""售票"",""花""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,1]","1,0,6]","[0,0,0]",0.11110987655692715,0.0,0.8888790124554172,0.0,0.0,0.9999000099990001,9
2,POS,"[""滨海湾花园"",""各个""]","[""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,2]","[0,0,0]",0.0,0.0,0.9999500024998749,0.0,0.0,0.9999000099990001,2
3,POS,"[""夜景"",""鸟瞰整个花园景色"",""城市花园"",""海湾花园"",""花园里"",""花园""]","[""POS"",""NEU"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,4]","[0,0,0]",0.0,0.1666638889351844,0.8333194446759221,0.0,0.0,0.9999000099990001,6
4,POS,"[""亮灯仪式"",""门票"",""亮灯"",""看的"",""看的"",""看的""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,5]","[0,0,0]",0.0,0.0,0.9999833336111065,0.0,0.0,0.9999000099990001,6
5,POS,"[""滨海湾花园"",""滨海东花园"",""超级花园"",""奇花异草"",""奇花异草"",""南花园"",""花园""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,7]","[0,0,0]",0.0,0.0,0.999985714489793,0.0,0.0,0.9999000099990001,7
6,POS,"[""瀑布"",""滨海湾花园"",""地方""]","[""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,3]","[0,0,0]",0.0,0.0,0.9999666677777407,0.0,0.0,0.9999000099990001,3
7,NEU,"[""天空步道"",""下来"",""冷气"",""花园+"",""花园"",""比较"",""非常"",""非常"",""非常"",""安排"",""看""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""POS"",""POS"",""POS"",""NEG"",""NEU""]","[0,0,0]","[2,0,3]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,1,4]","[0,0,1]",0.181816528940646,0.090908264470323,0.727266115762584,0.0,0.9999000099990001,0.0,11
8,POS,"[""滨海花园"",""花"",""体验"",""夜景"",""地理位置"",""花园景观"",""东南亚菜"",""这个"",""植被"",""这里"",""美丽"",""美景""]","[""POS"",""POS"",""POS"",""POS"",""POS"",""POS"",""NEG"",""NEG"",""POS"",""POS"",""POS"",""NEG""]","[0,0,0]","[0,0,1]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","2,0,7]","[0,0,1]",0.24999791668402763,0.0,0.7499937500520829,0.0,0.0,0.9999000099990001,12
9,NEG,"[""空"",""走廊"",""两个馆感"",""迪士尼娃娃拯救了"",""个馆"",""拍照"",""室内馆"",""超级树"",""空中走廊看落日"",""实景"",""迪士尼"",""麦当劳"",""过来"",""多肉"",""太阳"",""话""]","[""NEG"",""NEG"",""NEG"",""POS"",""POS"",""POS"",""NEG"",""NEG"",""POS"",""POS"",""POS"",""NEG"",""POS"",""NEG"",""NEG"",""NEG""]","[0,0,0]","[3,0,1]","[0,0,0]","[0,0,0]","[1,0,1]","[0,0,1]","[0,0,0]","5,0,3]","[0,0,1]",0.5624964843969725,0.0,0.43749726564208974,0.9999000099990001,0.0,0.0,16
10,POS,"[""光秀"",""滨海湾花园"",""晚上"",""晚上""]","[""POS"",""POS"",""POS"",""POS""]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","[0,0,0]","0,0,4]","[0,0,0]",0.0,0.0,0.9999750006249845,0.0,0.0,0.9999000099990001,4
