POI_INDEX,ENG_NAME,TOTAL_REVIEWS,RANKING,RATINGS,ADDRESS,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
0,not available,16695,0,4.8,"8 Sentosa Gateway, Sentosa Island Singapore",全年  10:00-19:00；其他特殊日期开放时间如下： 1、开放时间为10:00-20:00的日期有3月15-20日、3月22日、4月4/25日；2、开放时间为10:00-21:00的日期有3月14/28日、4月10/11/18日；3、开放时间为10:00-17:00的日期有2月10-29日、3月1-12日；4、另外：如闭园时间在20点和21点的会分别有以下两项活动：（20点）好莱坞璀璨夜间巡游，（21点）印象好莱坞；5、以上开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准。,2020-02-12 20:10:21.705868
1,not available,6538,1,4.8,"18 Marina Gardens Dr, Singapore 018953",全年  09:00-21:00；云雾林+花穹+ocbc空中走道：9:00-21:00（最晚入园时间20:00）；室外花园开放时间：5:00am-2:00pm；远东儿童乐园：周二-周五10:00-19:00；周末及假期：9:00-21:00；。,2020-02-12 20:26:48.866889
2,not available,4001,2,4.7,Sentosa Island,以景区当天安排为准。,2020-02-12 20:43:34.160804
3,OrchardRoad,2112,3,4.5,"OrchardRd,Singapore",全天开放,2020-02-12 20:59:50.607129
4,not available,2471,4,4.6,"3E River Valley Rd, Singapore 179024",09:00 — 22:00。,2020-02-12 21:12:25.749819
5,not available,6187,5,4.7,80 Mandai Lake Road Singapore 729826,全年  08:30-18:00；8:30-18:00（周一-周日）（最晚入园时间17：30）。,2020-02-12 21:25:34.513363
6,LittleIndia,1358,6,4.3,"48SerangoonRoad,#02-16,LittleIndiaArcadeSingapore217959",全天开放,2020-02-12 21:41:42.750476
7,ChinatownSingapore,1207,7,4.3,",Chinatown,PagodaStreet,TrengganuStreet,SagoStreet,SmithStSingapore050005",全天开放,2020-02-12 21:50:19.126026
8,not available,3653,8,4.7,30 Raffles Avenue Singapore 039803,每天上午 8:30 至晚上 10:30 （售票处开放至晚上 10:00）。,2020-02-12 21:57:30.975806
9,not available,6338,9,4.7,"8 Sentosa Gateway, Sentosa Island",全年  10:00-19:00；1、其中SEA海洋馆特殊日期开放时间为10:00-17:00的日期2月10-29日、3月1-12日；2、海事博物馆特殊开放时间为10:00-18:00的日期：2月10日-3月1日；3、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准。,2020-02-12 22:14:26.918267
10,MerlionPark,1722,10,4.5,浮尔顿一号（浮尔顿酒店正前方）,全年  全天开放。,2020-02-12 22:30:54.770748
11,not available,3452,11,4.4,"80 Mandai Lake Rd, Singapore",全年  19:15-23:55；19:15-24:00（周一-周日）（最晚入园时间23:15）。,2020-02-12 22:41:31.810839
12,not available,555,12,4.6,10 Bayfront Avenue，Singapore 018956,全天开放,2020-02-12 22:57:33.997751
13,not available,708,13,4.6,"1 Cluny Rd, Singapore 259569",新加坡植物园5:00-24:00。国家胡姬花园8:30-19:00，最后进入时间为18:00。。,2020-02-12 23:00:48.076866
14,not available,579,14,4.7,"8 Sentosa Gateway, Sentosa Island, Singapore 098269",全天开放（餐厅营业时间各不相同，请参考具体产品的营业时间）,2020-02-12 23:04:33.367433
15,EsplanadeTheatresontheBay,429,15,4.4,"1EsplanadeDrive,Singapore038981",周一-周五10:00-20:00，周六11:00-20:00，周日关闭。,2020-02-12 23:07:53.268151
16,not available,3287,16,4.8,"Imbiah Lookout 51 Cable Car Road | 45 Siloso Beach Walk, Sentosa Island 099003",全年  10:00-21:30；最晚入园时间21:15。,2020-02-12 23:10:36.780518
17,not available,853,17,4.6,"93 Stanford Road, Singapore",10:00 AM - 19:00 PM。,2020-02-12 23:27:18.502753
