REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,2,244,M49****970,5.0,2019-08-01,Not Available,是新加坡最古老的道教寺庙，名字的含义是风平浪静的寺庙。粤海清庙建于1826年，最初由潮州籍人士合资创建，以潮州建筑的风格和传统形式建成。经历了超过185年的历史，该庙已发展成今天新加坡著名庙宇之一。,2020-02-16 18:03:02.562252
,2,244,khcc,4.0,2017-09-04,Not Available,这间中国式庙宇位于商业中心内，其中一个大殿是供奉妈祖，去的时候是周末，入去上香的善信不是很多，但里面打理得井井有条，十分干净。,2020-02-16 18:03:02.566976
,2,244,M515shunyi1618,5.0,2019-07-03,Not Available,粤海清庙在新加坡市中心的一座中式的寺庙，主要供奉海上的守护神妈祖。,2020-02-16 18:03:02.571615
,2,244,一米q,5.0,2017-01-27,Not Available,粤海清庙，位于新加坡市区，是新加坡最古老的道教文化庙宇，香火很旺盛，在新加坡人心目中有着重要的地位，庙宇精致的装饰，古朴典雅,2020-02-16 18:03:02.576312
,2,244,煊煊煊煊,4.0,2017-12-06,Not Available,粤海清庙 （Yueh Hai Ching Temple），坐落于菲利普街，是新加坡最古老的道教寺庙之一。,2020-02-16 18:03:02.580544
,2,244,莎莎莎叶,0.0,2018-08-08,Not Available,这个夏天，让我们一起来到这座香火旺盛的寺庙 说起寺庙，大家也是不陌生的。我上一次去寺庙还是跟着我的外婆去我们老家那边的寺庙，那个寺庙不是很大，但是来的人可是不少哦。今天和朋友一起旅游，我们来到了新加坡，这一次我们的打卡之地是粤海清庙。 这是我第二次来到寺庙，进入这里，人也是好多啊，而且这个寺庙可是比我上次去的那个寺庙大多了，这座寺庙很朴实，它的装饰也十分符合它的气息。感觉一进入这里，我们都被感化了一样，哈哈，好像有点夸张哦！这个地方环境到处都很好，空气清新，而且这里的花草香伴随着香火的味道，很好闻哦。 这里面被打扫得很干净，来这里点燃香火的人也是很多，我和朋友既然都来到了这里，那么我们也是一定要去的。这里的人虽然很多，但是大家都井井有条，来参拜的人都很好，大家都不会大声说话，对这个地方很是尊敬。我来到这里，也是对这里都肃然起敬哦。 【地址】Singapore 【开放时间】全天开放的 【门票价格】不需要门票的哦,2020-02-16 18:03:02.584385
,2,244,爱爱李,3.0,2016-01-19,Not Available,粤海清庙据说是来自国内的广东商人捐资修建的的一个寺庙，这里的很多供奉都是传统的中国神灵，每天的香火都是非常的旺盛的，来这里的游客很多，一些雕刻都是手工完成的。,2020-02-16 18:03:02.588101
,2,244,tai****000,3.0,2016-10-19,Not Available,粤海清庙是在一片菲利普街的的商业区，它建立至今已经有接近两百年的历史了，同时它也是当地最古老的道观之一，至今依然香火旺盛，有很多的人到此祈福，值得推荐一游。,2020-02-16 18:03:02.591650
,2,244,_ceai****5795,3.0,2018-01-21,Not Available,中国元素的寺庙，香火一直很旺。,2020-02-16 18:03:02.595253
,2,244,虎哥jkc,3.0,2017-07-11,Not Available,在这里难得见到一个寺庙，人多。,2020-02-16 18:03:02.598920
,2,244,cd****ei,4.0,2015-08-30,Not Available,粤海清庙是19世纪初中国移民南来的第一站，粤海清庙被潮人称为“大老爷宫”。庙前围墙筑有一门亭，门额书“粤海清庙”。前面有这个景点，建议携程删除这一个。,2020-02-16 18:03:07.784848
,2,244,cd****ei,4.0,2015-08-30,Not Available,粤海清庙是一个道教寺庙，以潮州建筑的传统形式与风格建成，用潮州嵌瓷与木雕艺术点缀，造型优美，颇具特色的屋顶上装饰有七彩精美的古装小塑像和楼阁。,2020-02-16 18:03:07.790089
,2,244,_cs33****3071,4.0,2016-01-05,Not Available,很大，东西比较便宜，可以来淘点便宜货。但还是觉得很不方便，尤其想用网的时候总觉得贵的肉,2020-02-16 18:03:07.796906
,2,244,janeliu2019,4.0,2017-11-10,Not Available,海神保佑 大家一起来祈祷吧 灵验哦,2020-02-16 18:03:07.804029
,2,244,游在这方天地,5.0,2015-10-09,Not Available,粤海淸庙是新加坡最古老的道教寺庙，小小的寺庙景点不错，来朝拜的人很多。,2020-02-16 18:03:07.808584
,2,244,猫111,4.0,2015-08-02,Not Available,粤海清庙是新加坡最古老的道教寺庙，有些年头了，彩塑、彩绘比较漂亮，屋顶上装饰豪华。,2020-02-16 18:03:07.815290
,2,244,SISISIY,5.0,2017-08-31,Not Available,这里是从中国传来的建筑特色，早期移民上了岸后第一件事就是来这里拜神明的保佑，所以一直是香火鼎盛,2020-02-16 18:03:07.821439
,2,244,sunnycccc,5.0,2017-10-23,Not Available,新加坡城市很现代 但是里面都会带一点中式的东西,2020-02-16 18:03:07.824877
,2,244,M11****150,5.0,2017-09-05,Not Available,景色很不错，是当地很有特色的旅游景点,2020-02-16 18:03:07.828851
