,X,url,eng_name,cn_names,num_reviews,poi_is_english
1,0,https://www.mafengwo.cn/poi/5422487.html,Gardens by the Bay,新加坡滨海湾花园,（2018条）,
2,1,https://www.mafengwo.cn/poi/10462.html,Singapore Zoo,新加坡动物园,（1349条）,
3,2,https://www.mafengwo.cn/poi/10460.html,Chinatown,牛车水,（1957条）,
4,3,https://www.mafengwo.cn/poi/11057.html,Orchard Road,乌节路,（1558条）,
5,4,https://www.mafengwo.cn/poi/10459.html,Little India,小印度,（1800条）,
6,5,https://www.mafengwo.cn/poi/10962.html,Clarke Quay,克拉码头,（1661条）,
7,6,https://www.mafengwo.cn/poi/22851.html,Merlion Park,鱼尾狮公园,（3139条）,
8,7,https://www.mafengwo.cn/poi/6018015.html,Marina Bay,滨海湾,（1179条）,
9,8,https://www.mafengwo.cn/poi/10852.html,Singapore Botanic Gardens,新加坡植物园,（642条）,
10,9,https://www.mafengwo.cn/poi/7382073.html,S.E.A. Aquarium,S.E.A. 海洋馆,（1271条）,
11,10,https://www.mafengwo.cn/poi/10785.html,Sentosa,圣淘沙岛,（2135条）,
12,11,https://www.mafengwo.cn/poi/5423106.html,Candylicious,Candylicious(圣淘沙店),（760条）,
13,12,https://www.mafengwo.cn/poi/10469.html,Palawan Beach,巴拉湾海滩,（346条）,
14,13,https://www.mafengwo.cn/poi/10982.html,Universal Studios Singapore,新加坡环球影城,（3719条）,
15,14,https://www.mafengwo.cn/poi/10463.html,Night Safari,夜间野生动物园,（1074条）,
16,15,https://www.mafengwo.cn/poi/10916.html,St. Andrew's Cathedral,圣安德烈教堂,（668条）,
17,16,https://www.mafengwo.cn/poi/11010.html,National Museum of Singapore,新加坡国家博物馆,（383条）,
18,17,https://www.mafengwo.cn/poi/92941.html,Kampong Glam,甘榜格南,（183条）,
19,18,https://www.mafengwo.cn/poi/11018.html,National Gallery Singapore,新加坡国家美术馆,（213条）,
20,19,https://www.mafengwo.cn/poi/11053.html,ArtScience Museum,滨海湾金沙艺术科学博物馆,（206条）,
21,20,https://www.mafengwo.cn/poi/20891.html,National University of Singapore,新加坡国立大学,（188条）,
22,21,https://www.mafengwo.cn/poi/5978902.html,Resorts World Sentosa,圣淘沙名胜世界,（304条）,
23,22,https://www.mafengwo.cn/poi/185999.html,Helix Bridge,双螺旋桥,（468条）,
24,23,https://www.mafengwo.cn/poi/29278354.html,Cloud Forest,云雾林,（235条）,
25,24,https://www.mafengwo.cn/poi/20711.html,EsplanadeTheatres on the Bay,滨海艺术中心音乐厅,（433条）,
26,25,https://www.mafengwo.cn/poi/207193.html,Masjid Sultan,苏丹回教堂,（332条）,
27,26,https://www.mafengwo.cn/poi/5542921.html,1-Altitude,1-Altitude 画廊与酒吧 （1-Altitude),23,
28,27,https://www.mafengwo.cn/poi/186337.html,Sri Mariamman Temple,马里安曼兴都庙,（605条）,
29,28,https://www.mafengwo.cn/poi/7007293.html,River Safari,河川生态园,（165条）,
30,29,https://www.mafengwo.cn/poi/8475036.html,The Southern Most Point of Continental Asia,亚洲大陆最南端,（171条）,
31,30,https://www.mafengwo.cn/poi/10935.html,Buddha Tooth Relic Temple and Museum,佛牙寺龙华院博物馆,（344条）,
32,31,https://www.mafengwo.cn/poi/186284.html,Science Centre Singapore,新加坡科学中心,（70条）,
33,32,https://www.mafengwo.cn/poi/11103.html,Jurong Bird Park,裕廊飞禽公园,（294条）,
34,33,https://www.mafengwo.cn/poi/7928187.html,,鱼尾狮塔,（429条）,
35,34,https://www.mafengwo.cn/poi/10857.html,Singapore Flyer,新加坡摩天观景轮,（1600条）,
36,35,https://www.mafengwo.cn/poi/8536262.html,Sands Sky Park,金沙天空公园,（204条）,
37,36,https://www.mafengwo.cn/poi/20900.html,Haji Lane,哈芝巷,（605条）,
38,37,https://www.mafengwo.cn/poi/11019.html,Chijmes,赞美广场,（152条）,
39,38,https://www.mafengwo.cn/poi/186248.html,Nanyang Technological University,新加坡南洋理工大学,（156条）,
40,39,https://www.mafengwo.cn/poi/29278350.html,Flower Dome,花穹,（174条）,
41,40,https://www.mafengwo.cn/poi/8546354.html,Dolphin Island,海豚园,（91条）,
42,41,https://www.mafengwo.cn/poi/20883.html,Old Hill Street Police Station,旧禧街警察局,（191条）,
43,42,https://www.mafengwo.cn/poi/10940.html,Singapore River,新加坡河,（526条）,
44,43,https://www.mafengwo.cn/poi/6042413.html,Bugis Street,武吉士街,（192条）,
45,44,https://www.mafengwo.cn/poi/34939164.html,,滨海湾金沙无边泳池,（54条）,
46,45,https://www.mafengwo.cn/poi/7399344.html,Mount Faber Park,花柏山公园,（221条）,
47,46,https://www.mafengwo.cn/poi/11002.html,East Coast Park,东海岸公园,（176条）,
48,47,https://www.mafengwo.cn/poi/11036.html,Siloso Beach,西乐索海滩,（216条）,
49,48,https://www.mafengwo.cn/poi/10985.html,National Orchid Garden,国立胡姬花园,（128条）,
50,49,https://www.mafengwo.cn/poi/11029.html,Asian Civilisations Museum,亚洲文明博物馆,（61条）,
51,50,https://www.mafengwo.cn/poi/33182972.html,Supertree Grove,擎天大树林,（67条）,
52,51,https://www.mafengwo.cn/poi/11098.html,Pulau Ubin,乌敏岛,（82条）,
53,52,https://www.mafengwo.cn/poi/186035.html,The Maritime Experiential Museum,海事博物馆,（116条）,
54,53,https://www.mafengwo.cn/poi/34030324.html,,空中走廊,（61条）,
55,54,https://www.mafengwo.cn/poi/10929.html,Chinatown Heritage Centre,牛车水原貌馆,（107条）,
56,55,https://www.mafengwo.cn/poi/5423020.html,Red Dot Design Museum,新加坡红点设计博物馆,（104条）,
57,56,https://www.mafengwo.cn/poi/5424263.html,Fort Canning Park,福康宁公园,（79条）,
58,57,https://www.mafengwo.cn/poi/186331.html,Mint Museum of Toys,新加坡玩具博物館,（50条）,
59,58,https://www.mafengwo.cn/poi/8079155.html,Sentosa Boardwalk,跨海步行道,（132条）,
60,59,https://www.mafengwo.cn/poi/10955.html,Henderson Waves,亨德森波浪桥,（70条）,
61,60,https://www.mafengwo.cn/poi/22040.html,Wild Wild Wet @ Downtown East,Wild Wild Wet水上乐园,（32条）,
62,61,https://www.mafengwo.cn/poi/11017.html,Istana,新加坡总统府,（85条）,
63,62,https://www.mafengwo.cn/poi/10920.html,Sri Veeramakaliamman Temple,斯里-维拉玛卡里雅曼兴都庙,（114条）,
64,63,https://www.mafengwo.cn/poi/7646143.html,The Southern Ridges,南部山脊,（13条）,
65,64,https://www.mafengwo.cn/poi/11013.html,Victoria Theatre & Victoria Concert Hall,新加坡维多利亚剧院,（42条）,
66,65,https://www.mafengwo.cn/poi/20705.html,National Library of Singapore,新加坡国家图书馆,（62条）,
67,66,https://www.mafengwo.cn/poi/6030466.html,Ann Siang Hill,安详山,（60条）,
68,67,https://www.mafengwo.cn/poi/11067.html,Anderson Bridge,安德逊桥,（113条）,
69,68,https://www.mafengwo.cn/poi/92950.html,Old Art House at the Old Parliament,旧议会大厦,（37条）,
70,69,https://www.mafengwo.cn/poi/20885.html,Singapore Philatelic Museum,新加坡集邮馆,（105条）,
71,70,https://www.mafengwo.cn/poi/10470.html,Butterfly Park and Insect Kingdom,蝴蝶园与昆虫王国,（26条）,
72,71,https://www.mafengwo.cn/poi/20878.html,City Hall,新加坡市政厅,（66条）,
73,72,https://www.mafengwo.cn/poi/6023414.html,MacRitchie Reservoir,麦里芝水库,（31条）,
74,73,https://www.mafengwo.cn/poi/13269069.html,Trick Eye Museum Singapore,新加坡特丽爱3D美术馆,（20条）,
75,74,https://www.mafengwo.cn/poi/5422431.html,Chinese Garden,裕华园,（28条）,
76,75,https://www.mafengwo.cn/poi/186307.html,Peranakan Museum,土生华人博物馆,（47条）,
77,76,https://www.mafengwo.cn/poi/6017931.html,Esplanade Park,滨海公园,（35条）,
78,77,https://www.mafengwo.cn/poi/9961383.html,Garden Rhapsody,花园狂想曲 （Garden Rhapsody）,32,
79,78,https://www.mafengwo.cn/poi/6034033.html,Lake of Dreams,圣淘沙梦之湖,（28条）,
80,79,https://www.mafengwo.cn/poi/5422949.html,Abdul Gaffoor Mosque,阿都卡夫清真寺,（18条）,
81,80,https://www.mafengwo.cn/poi/6027825.html,Singapore City Gallery,新加坡城市规划展览馆,（27条）,
82,81,https://www.mafengwo.cn/poi/69409596.html,Art Science Museum,科学艺术博物馆,（10条）,
83,82,https://www.mafengwo.cn/poi/5422419.html,Lasalle College of the Arts,拉萨尔设计学院,（19条）,
84,83,https://www.mafengwo.cn/poi/33799196.html,ION SKY,ION观景台,（12条）,
85,84,https://www.mafengwo.cn/poi/59242092.html,Revenge of the Mummy,木乃伊复仇记,（32条）,
86,85,https://www.mafengwo.cn/poi/11034.html,Tanjong Beach,丹戎海滩,（34条）,
87,86,https://www.mafengwo.cn/poi/69409588.html,,新加坡芽笼,（10条）,
88,87,https://www.mafengwo.cn/poi/11011.html,Armenian Church,亚美尼亚教堂,（38条）,
89,88,https://www.mafengwo.cn/poi/34061732.html,Sentosa Beach,圣淘沙海滩,（19条）,
90,89,https://www.mafengwo.cn/poi/185989.html,Malay Heritage Centre,马来传统文化馆,（33条）,
91,90,https://www.mafengwo.cn/poi/74047984.html,Jewel Changi Airport,星耀樟宜,（5条）,
92,91,https://www.mafengwo.cn/poi/10936.html,Sungei Buloh Wetland Reserve,双溪布洛湿地保护区,（16条）,
93,92,https://www.mafengwo.cn/poi/6018050.html,Civil Defence Heritage Gallery,消防博物馆,（28条）,
94,93,https://www.mafengwo.cn/poi/6018002.html,Jamae Mosque,詹美回教堂,（41条）,
95,94,https://www.mafengwo.cn/poi/7645710.html,Thian Hock Keng Temple Mural,天福宫,（21条）,
96,95,https://www.mafengwo.cn/poi/20879.html,Old Supreme Court Building,旧高等法院,（28条）,
97,96,https://www.mafengwo.cn/poi/5422958.html,Arab Street,亚拉街,（21条）,
98,97,https://www.mafengwo.cn/poi/6027819.html,House of Tan Teng Niah,陈东龄故居,（37条）,
99,98,https://www.mafengwo.cn/poi/15528342.html,Madame Tussauds Singapore,新加坡杜莎夫人蜡像馆,（16条）,
100,99,https://www.mafengwo.cn/poi/10971.html,Civilian War Memorial,平民战争纪念碑,（47条）,
101,100,https://www.mafengwo.cn/poi/11037.html,Fort Siloso,西罗索炮台,（20条）,
102,101,https://www.mafengwo.cn/poi/10859.html,Fountain of Wealth,财富之源广场,（53条）,
103,102,https://www.mafengwo.cn/poi/5422499.html,MacRitchie Reservoir,麦里芝蓄水池公园,（20条）,
104,103,https://www.mafengwo.cn/poi/20903.html,Marina Barrage,滨海堤坝,（24条）,
105,104,https://www.mafengwo.cn/poi/10915.html,Cavenagh Bridge,加纳文桥,（90条）,
106,105,https://www.mafengwo.cn/poi/10995.html,Kwan Im Thong Hood Cho Temple,四马路观音堂,（52条）,
107,106,https://www.mafengwo.cn/poi/5426166.html,Port of Lost Wonder,奇幻乐园,（12条）,
108,107,https://www.mafengwo.cn/poi/6033958.html,,丹戎巴葛保留区,（16条）,
109,108,https://www.mafengwo.cn/poi/6030769.html,Singapore Management University,新加坡管理大学,（48条）,
110,109,https://www.mafengwo.cn/poi/11038.html,Images of Singapore,新加坡万象馆,（20条）,
111,110,https://www.mafengwo.cn/poi/6027880.html,The Church Of Our Lady Of Lourdes,露德圣母教堂,（10条）,
112,111,https://www.mafengwo.cn/poi/6027832.html,Pasir Ris Park,巴西立公园,（15条）,
113,112,https://www.mafengwo.cn/poi/5538178.html,Tiger Sky Tower,老虎天空塔,（14条）,
114,113,https://www.mafengwo.cn/poi/8464022.html,Elgin Bridge,爱琴桥,（23条）,
115,114,https://www.mafengwo.cn/poi/5541973.html,St Joseph's Church,圣约翰教堂,（17条）,
116,115,https://www.mafengwo.cn/poi/34061588.html,Puss In Boots Giant Journey,鞋猫剑客历险记,（32条）,
117,116,https://www.mafengwo.cn/poi/5424270.html,School of the Arts Sinagpore,新加坡艺术学院,（13条）,
118,117,https://www.mafengwo.cn/poi/186206.html,Haw Par Villa,虎豹别墅,（18条）,
119,118,https://www.mafengwo.cn/poi/11123.html,Sri Srinivasa Perumal Temple,里尼维沙伯鲁玛兴都庙,（16条）,
120,119,https://www.mafengwo.cn/poi/5543825.html,Boat Quay,驳船码头,（37条）,
121,120,https://www.mafengwo.cn/poi/6017968.html,Kent Ridge Park,肯特岗公园,（10条）,
122,121,https://www.mafengwo.cn/poi/5542950.html,The Float @ Marina Bay,滨海湾浮动舞台,（10条）,
123,122,https://www.mafengwo.cn/poi/5422963.html,Malay Village,马来文化村,（11条）,
124,123,https://www.mafengwo.cn/poi/28805438.html,,,,
125,124,https://www.mafengwo.cn/poi/11054.html,Hort Park,园艺园林,（10条）,
126,125,https://www.mafengwo.cn/poi/6018025.html,Raffles Landing Site,莱佛士登陆遗址,（35条）,
127,126,https://www.mafengwo.cn/poi/10972.html,Sentosa Wax Museum,圣淘沙蜡像馆,（15条）,
128,127,https://www.mafengwo.cn/poi/5422530.html,Club Street,客纳街,（11条）,
129,128,https://www.mafengwo.cn/poi/11060.html,Sun Yat Sen Nanyang Memorial Hal,晚晴园/孙中山故居,（10条）,
130,129,https://www.mafengwo.cn/poi/34171964.html,,The Hive NTU,（7条）,1
131,130,https://www.mafengwo.cn/poi/7646193.html,Bollywood Veggies,宝莱坞蔬菜农场,（4条）,
132,131,https://www.mafengwo.cn/poi/7644799.html,,新加坡国大博物馆,（8条）,
133,132,https://www.mafengwo.cn/poi/6024797.html,Imbiah,英比奥山风景区,（18条）,
134,133,https://www.mafengwo.cn/poi/29277942.html,Parliament of Singapore,新加坡国会大厦,（6条）,
135,134,https://www.mafengwo.cn/poi/10930.html,West Coast Park,西海岸公园,（14条）,
136,135,https://www.mafengwo.cn/poi/6027836.html,Bishan Park,碧山公园,（13条）,
137,136,https://www.mafengwo.cn/poi/6027870.html,Saint John's Island,圣约翰岛,（9条）,
138,137,https://www.mafengwo.cn/poi/15476079.html,Changi Beach Park,樟宜海滨公园,（2条）,
139,138,https://www.mafengwo.cn/poi/5540039.html,Sri Vadapathira Kaliamman Temple,维达帕提雅卡雅曼兴都庙,（15条）,
140,139,https://www.mafengwo.cn/poi/10917.html,Farrer Park,花拉公园,（8条）,
141,140,https://www.mafengwo.cn/poi/6027872.html,Kusu Island,龟屿岛,（6条）,
142,141,https://www.mafengwo.cn/poi/6017967.html,Telak Blangah Hill Park,直落布兰雅山公园,（4条）,
143,142,https://www.mafengwo.cn/poi/6034072.html,,土生华人坊,（2条）,
144,143,https://www.mafengwo.cn/poi/33182952.html,Emerald Hill,翡翠山,（4条）,
145,144,https://www.mafengwo.cn/poi/5544824.html,Labrador Nature Reserve,拉柏多自然保护区,（6条）,
146,145,https://www.mafengwo.cn/poi/34101816.html,Singapore University of Technology and Design,新加坡科技设计大学,（4条）,
147,146,https://www.mafengwo.cn/poi/33181912.html,The Intan,娘惹博物馆,（1条）,
148,147,https://www.mafengwo.cn/poi/5541968.html,Cathedral of the Good Shepherd,善牧主教座堂,（6条）,
149,148,https://www.mafengwo.cn/poi/66466304.html,Rainforest Lumina,幻光雨林之夜,（1条）,
150,149,https://www.mafengwo.cn/poi/5544971.html,Sembawang Park,三巴旺公园,（5条）,
151,150,https://www.mafengwo.cn/poi/7646674.html,The NEWater Visitor Centre,新生水展览馆,（7条）,
152,151,https://www.mafengwo.cn/poi/6033983.html,Central Catchment Nature Reserve,中央集水区自然保护区,（3条）,
153,152,https://www.mafengwo.cn/poi/7433562.html,,Dempsey Hill,（8条）,
154,153,https://www.mafengwo.cn/poi/11082.html,Bukit Batok Nature Park,武吉巴督自然公园,（5条）,
155,154,https://www.mafengwo.cn/poi/33182896.html,Central Fire Station,中央消防局,（4条）,
156,155,https://www.mafengwo.cn/poi/34809568.html,SBG Heritage Museum,新加坡植物园遗产博物馆,（1条）,
157,156,https://www.mafengwo.cn/poi/34939400.html,,仙人掌花园,（3条）,
158,157,https://www.mafengwo.cn/poi/59099464.html,Palawan Pirate Ship,Palawan Pirate Ship - 停业,（3条）,
159,158,https://www.mafengwo.cn/poi/6028784.html,Marina Bay City Gallery,滨海湾城市规划展览馆,（3条）,
160,159,https://www.mafengwo.cn/poi/7646180.html,Fire Flies Health Farm,萤火虫健康蔬菜农场,（2条）,
161,160,https://www.mafengwo.cn/poi/7864552.html,Chek Jawa Wetlands,仄爪哇湿地,（8条）,
162,161,https://www.mafengwo.cn/poi/6027857.html,Nanyang Academy of Fine Arts,南洋艺术学院,（7条）,
163,162,https://www.mafengwo.cn/poi/50229796.html,Waterfront Promenade,滨海步道,（4条）,
164,163,https://www.mafengwo.cn/poi/50229792.html,,Joo Chiat/Katong,（1条）,1
165,164,https://www.mafengwo.cn/poi/10939.html,Kong Meng San Phor Kark See Temple,光明山普觉寺,（4条）,
166,165,https://www.mafengwo.cn/poi/52978332.html,National Stadium,新加坡国家体育场,（4条）,
167,166,https://www.mafengwo.cn/poi/9421533.html,Urban Redevelopment Authority,新加坡市区重建局,（2条）,
168,167,https://www.mafengwo.cn/poi/50228776.html,Mustafa Centre,慕达发购物中心,（2条）,
169,168,https://www.mafengwo.cn/poi/186022.html,Air Force Museum,空军博物馆,（6条）,
170,169,https://www.mafengwo.cn/poi/5536079.html,Punggol Park,榜鹅水道公园,（5条）,
171,170,https://www.mafengwo.cn/poi/33182956.html,,Maxwell Food Centre,（1条）,1
172,171,https://www.mafengwo.cn/poi/50229120.html,,OCBC Skyway,（1条）,1
173,172,https://www.mafengwo.cn/poi/74039520.html,Palawan Island,巴拉湾岛,（1条）,
