"POI_INDEX","URL","POI_RAW_NAME","POI_CHINESE_NAME","TOTAL_REVIEWS","POI_CHINESE_NAME_IS_ENGLISH","POI_NAME","POI_CHINESE_NAME_TRANSLATED","POI_NAME_IS_TRANSLATED","WEBSITE_INDEX"
0,"https://www.mafengwo.cn/poi/5422487.html","Gardens by the Bay","新加坡滨海湾花园","2018",NA,"Gardens by the Bay","Gardens by the Bay, Singapore",0,3
1,"https://www.mafengwo.cn/poi/10462.html","Singapore Zoo","新加坡动物园","1349",NA,"Singapore Zoo","Singapore Zoo",0,3
2,"https://www.mafengwo.cn/poi/10460.html","Chinatown","牛车水","1957",NA,"Chinatown","Chinatown",0,3
3,"https://www.mafengwo.cn/poi/11057.html","Orchard Road","乌节路","1558",NA,"Orchard Road","WuJie Road",0,3
4,"https://www.mafengwo.cn/poi/10459.html","Little India","小印度","1800",NA,"Little India","Little India",0,3
5,"https://www.mafengwo.cn/poi/10962.html","Clarke Quay","克拉码头","1661",NA,"Clarke Quay","Clarke Quay",0,3
6,"https://www.mafengwo.cn/poi/22851.html","Merlion Park","鱼尾狮公园","3139",NA,"Merlion Park","Merlion Park",0,3
7,"https://www.mafengwo.cn/poi/6018015.html","Marina Bay","滨海湾","1179",NA,"Marina Bay","Marina bay",0,3
8,"https://www.mafengwo.cn/poi/10852.html","Singapore Botanic Gardens","新加坡植物园","642",NA,"Singapore Botanic Gardens","Singapore Botanical Garden",0,3
9,"https://www.mafengwo.cn/poi/7382073.html","S.E.A. Aquarium","S.E.A. 海洋馆","1271",NA,"S.E.A. Aquarium","SEA Aquarium",0,3
10,"https://www.mafengwo.cn/poi/10785.html","Sentosa","圣淘沙岛","2135",NA,"Sentosa","Sentosa Island",0,3
11,"https://www.mafengwo.cn/poi/5423106.html","Candylicious","Candylicious(圣淘沙店)","760",NA,"Candylicious","Candylicious, Sentosa Branch",0,3
12,"https://www.mafengwo.cn/poi/10469.html","Palawan Beach","巴拉湾海滩","346",NA,"Palawan Beach","Bara Bay Beach",0,3
13,"https://www.mafengwo.cn/poi/10982.html","Universal Studios Singapore","新加坡环球影城","3719",NA,"Universal Studios Singapore","Universal Studios Singapore",0,3
14,"https://www.mafengwo.cn/poi/10463.html","Night Safari","夜间野生动物园","1074",NA,"Night Safari","Night safari",0,3
15,"https://www.mafengwo.cn/poi/10916.html","St. Andrew's Cathedral","圣安德烈教堂","668",NA,"St. Andrew's Cathedral","St. Andrew&#39;s Church",0,3
16,"https://www.mafengwo.cn/poi/11010.html","National Museum of Singapore","新加坡国家博物馆","383",NA,"National Museum of Singapore","National Museum of Singapore",0,3
17,"https://www.mafengwo.cn/poi/92941.html","Kampong Glam","甘榜格南","183",NA,"Kampong Glam","Kampong glam",0,3
18,"https://www.mafengwo.cn/poi/11018.html","National Gallery Singapore","新加坡国家美术馆","213",NA,"National Gallery Singapore","National Gallery of Singapore",0,3
19,"https://www.mafengwo.cn/poi/11053.html","ArtScience Museum","滨海湾金沙艺术科学博物馆","206",NA,"ArtScience Museum","Marina Bay Sands Museum of Art and Science",0,3
20,"https://www.mafengwo.cn/poi/20891.html","National University of Singapore","新加坡国立大学","188",NA,"National University of Singapore","National University of Singapore",0,3
21,"https://www.mafengwo.cn/poi/5978902.html","Resorts World Sentosa","圣淘沙名胜世界","304",NA,"Resorts World Sentosa","Resorts World Sentosa",0,3
22,"https://www.mafengwo.cn/poi/185999.html","Helix Bridge","双螺旋桥","468",NA,"Helix Bridge","Double helix bridge",0,3
23,"https://www.mafengwo.cn/poi/29278354.html","Cloud Forest","云雾林","235",NA,"Cloud Forest","Cloud forest",0,3
24,"https://www.mafengwo.cn/poi/20711.html","EsplanadeTheatres on the Bay","滨海艺术中心音乐厅","433",NA,"EsplanadeTheatres on the Bay","Esplanade Concert Hall",0,3
25,"https://www.mafengwo.cn/poi/207193.html","Masjid Sultan","苏丹回教堂","332",NA,"Masjid Sultan","Sultan mosque",0,3
26,"https://www.mafengwo.cn/poi/5542921.html","1-Altitude","1-Altitude 画廊与酒吧 （1-Altitude)","23",NA,"1-Altitude","1-Altitude Gallery and Bar (1-Altitude)",0,3
27,"https://www.mafengwo.cn/poi/186337.html","Sri Mariamman Temple","马里安曼兴都庙","605",NA,"Sri Mariamman Temple","Mariamman Hindu Temple",0,3
28,"https://www.mafengwo.cn/poi/7007293.html","River Safari","河川生态园","165",NA,"River Safari","River Ecological Park",0,3
29,"https://www.mafengwo.cn/poi/8475036.html","The Southern Most Point of Continental Asia","亚洲大陆最南端","171",NA,"The Southern Most Point of Continental Asia","Southernmost tip of the Asian continent",0,3
30,"https://www.mafengwo.cn/poi/10935.html","Buddha Tooth Relic Temple and Museum","佛牙寺龙华院博物馆","344",NA,"Buddha Tooth Relic Temple and Museum","Buddha Tooth Relic Temple Longhuayuan Museum",0,3
31,"https://www.mafengwo.cn/poi/186284.html","Science Centre Singapore","新加坡科学中心","70",NA,"Science Centre Singapore","Singapore Science Centre",0,3
32,"https://www.mafengwo.cn/poi/11103.html","Jurong Bird Park","裕廊飞禽公园","294",NA,"Jurong Bird Park","Jurong Bird Park",0,3
33,"https://www.mafengwo.cn/poi/7928187.html",NA,"鱼尾狮塔","429",NA,"Merlion Tower","Merlion Tower",1,3
34,"https://www.mafengwo.cn/poi/10857.html","Singapore Flyer","新加坡摩天观景轮","1600",NA,"Singapore Flyer","Singapore Flyer",0,3
35,"https://www.mafengwo.cn/poi/8536262.html","Sands Sky Park","金沙天空公园","204",NA,"Sands Sky Park","Sands Sky Park",0,3
36,"https://www.mafengwo.cn/poi/20900.html","Haji Lane","哈芝巷","605",NA,"Haji Lane","Haji Lane",0,3
37,"https://www.mafengwo.cn/poi/11019.html","Chijmes","赞美广场","152",NA,"Chijmes","Praise Square",0,3
38,"https://www.mafengwo.cn/poi/186248.html","Nanyang Technological University","新加坡南洋理工大学","156",NA,"Nanyang Technological University","Nanyang Technological University, Singapore",0,3
39,"https://www.mafengwo.cn/poi/29278350.html","Flower Dome","花穹","174",NA,"Flower Dome","Flower dome",0,3
40,"https://www.mafengwo.cn/poi/8546354.html","Dolphin Island","海豚园","91",NA,"Dolphin Island","Dolphin Garden",0,3
41,"https://www.mafengwo.cn/poi/20883.html","Old Hill Street Police Station","旧禧街警察局","191",NA,"Old Hill Street Police Station","Old Jubilee Street Police Station",0,3
42,"https://www.mafengwo.cn/poi/10940.html","Singapore River","新加坡河","526",NA,"Singapore River","Singapore River",0,3
43,"https://www.mafengwo.cn/poi/6042413.html","Bugis Street","武吉士街","192",NA,"Bugis Street","Bugis Street",0,3
44,"https://www.mafengwo.cn/poi/34939164.html",NA,"滨海湾金沙无边泳池","54",NA,"Marina Bay Sands Infinity Pool","Marina Bay Sands Infinity Pool",1,3
45,"https://www.mafengwo.cn/poi/7399344.html","Mount Faber Park","花柏山公园","221",NA,"Mount Faber Park","Faber Park",0,3
46,"https://www.mafengwo.cn/poi/11002.html","East Coast Park","东海岸公园","176",NA,"East Coast Park","East Coast Park",0,3
47,"https://www.mafengwo.cn/poi/11036.html","Siloso Beach","西乐索海滩","216",NA,"Siloso Beach","Siloso Beach",0,3
48,"https://www.mafengwo.cn/poi/10985.html","National Orchid Garden","国立胡姬花园","128",NA,"National Orchid Garden","National Orchid Garden",0,3
49,"https://www.mafengwo.cn/poi/11029.html","Asian Civilisations Museum","亚洲文明博物馆","61",NA,"Asian Civilisations Museum","Asian Civilisations Museum",0,3
50,"https://www.mafengwo.cn/poi/33182972.html","Supertree Grove","擎天大树林","67",NA,"Supertree Grove","Great Forest",0,3
51,"https://www.mafengwo.cn/poi/11098.html","Pulau Ubin","乌敏岛","82",NA,"Pulau Ubin","Umin Island",0,3
52,"https://www.mafengwo.cn/poi/186035.html","The Maritime Experiential Museum","海事博物馆","116",NA,"The Maritime Experiential Museum","Maritime Museum",0,3
53,"https://www.mafengwo.cn/poi/34030324.html",NA,"空中走廊","61",NA,"Sky corridor","Sky corridor",1,3
54,"https://www.mafengwo.cn/poi/10929.html","Chinatown Heritage Centre","牛车水原貌馆","107",NA,"Chinatown Heritage Centre","Chinatown Heritage Center",0,3
55,"https://www.mafengwo.cn/poi/5423020.html","Red Dot Design Museum","新加坡红点设计博物馆","104",NA,"Red Dot Design Museum","Singapore Red Dot Design Museum",0,3
56,"https://www.mafengwo.cn/poi/5424263.html","Fort Canning Park","福康宁公园","79",NA,"Fort Canning Park","Fort Canning Park",0,3
57,"https://www.mafengwo.cn/poi/186331.html","Mint Museum of Toys","新加坡玩具博物館","50",NA,"Mint Museum of Toys","Singapore Toy Museum",0,3
58,"https://www.mafengwo.cn/poi/8079155.html","Sentosa Boardwalk","跨海步行道","132",NA,"Sentosa Boardwalk","Cross-sea walk",0,3
