"","Chinese_name","image_list","poi_recommend_tag","English_name","score_intro","score_description","pos_descr","sale_tags","lowest_price","history_sale_count_number","area_name","coordinates","avg_score","review_number"
"0","新加坡庄家大酒店","['https://osp.meituan.net/overseashotel/1890897976.jpg']","高档型","Hotel Boss","好: 4.4分","好","甘榜格南, 距市中心直线1.9km, 马拉巴清真寺附近","","1523","594","甘榜格南","(1.305409, 103.8604)","4.4","302"
"1","新加坡81酒店 - 唐人街","['https://osp.meituan.net/overseasgroup/402dc609922e64cecd2bcbcdabfa9b2e421386.jpg']","经济型","Hotel 81 Chinatown","很好: 4.5分","很好","牛车水, 距市中心直线1.1km, 牛车水附近","","738","74","牛车水","(1.305409, 103.844039)","4.5","32"
"2","新加坡滨海湾金沙酒店","['https://p0.meituan.net/tdchotel/0cd333577b2bfb68d440a0680273a7fd115821.jpg']","豪华型","Marina Bay Sands","很好: 4.8分","很好","滨海湾, 距市中心直线1.2km, 滨海湾金沙酒店无边泳池附近","","7352","949","滨海湾","(1.305409, 103.86082)","4.8","4707"
"3","新加坡卡尔登酒店","['https://osp.meituan.net/overseasgroup/b3885b58ca827a7ce0ec6dc4dfc2da0f579442.jpg']","豪华型","Carlton Hotel Singapore","很好: 4.5分","很好","滨海湾, 距市中心直线616m, 赞美广场附近","","1815","281","滨海湾","(1.305409, 103.852276)","4.5","376"
"4","新加坡帝盛酒店","['https://p0.meituan.net/tdchotel/e662af6fc7f17846dc4adc3b4d1a1257129290.jpg']","高档型","Dorsett Singapore","很好: 4.7分","很好","牛车水, 距市中心直线1.8km, Sri Layan Sithi Vinayagar Temple附近","","1205","144","牛车水","(1.305409, 103.839922)","4.7","190"
"5","新加坡喜来登酒店","['https://osp.meituan.net/overseashotel/3107998170.jpg']","豪华型","Sheraton Towers Singapore Hotel","很好: 4.6分","很好","乌节路, 距市中心直线2.9km, 乌节路附近","","1575","83","乌节路","(1.305409, 103.83663)","4.6","178"
"6","新加坡南岸JW万豪酒店","['https://osp.meituan.net/overseashotel/1178257035.jpg']","豪华型","JW Marriott Hotel Singapore South Beach","很好: 4.5分","很好","滨海湾, 距市中心直线661m, 莱佛士酒店附近","","1728","92","滨海湾","(1.305409, 103.856119)","4.5","138"
"7","新加坡 M 酒店","['https://osp.meituan.net/overseasgroup/69987ceac214050f68ac009779c02188252079.jpg']","豪华型","M Hotel Singapore","很好: 4.8分","很好","牛车水, 距市中心直线2km, 都城隍庙附近","","1666","74","牛车水","(1.305409, 103.844897)","4.8","162"
"8","新加坡卡尔登城市酒店","['https://osp.meituan.net/overseasgroup/cfba028904ebda642213a283d2bbcbcd720208.jpg']","豪华型","Carlton City Hotel Singapore","很好: 4.7分","很好","牛车水, 距市中心直线1.9km, 都城隍庙附近","","1818","170","牛车水","(1.305409, 103.843637)","4.7","195"
"9","新加坡悦乐樟宜酒店","['https://osp.meituan.net/overseasgroup/6d116b3e808de480c9a0ae49964b19485976471.jpg']","高档型","Village Hotel Changi by Far East Hospitality","很好: 4.7分","很好","樟宜机场, 距市中心直线18.6km, 樟宜村附近","","1076","89","樟宜机场","(1.305409, 103.98615)","4.7","93"
"10","新加坡威大酒店 - 明古连","['https://osp.meituan.net/overseasgroup/646fb07e4fcda3a8fbf8dc925515d305142178.jpg']","高档型","V Hotel Bencoolen","很好: 4.6分","很好","明古连, 距市中心直线1km, 明古连清真寺附近","","847","61","明古连","(1.305409, 103.850483)","4.6","25"
"11","新加坡公园大道樟宜酒店","['https://osp.meituan.net/overseasgroup/8563581badca2cc120bba8eec4b9f69c166025.jpg']","高档型","Park Avenue Changi Singapore","很好: 4.7分","很好","樟宜机场, 距市中心直线13.4km, 樟宜商业园附近","","1166","76","樟宜机场","(1.305409, 103.963891)","4.7","58"
"12","新加坡香格里拉圣淘沙度假酒店","['https://osp.meituan.net/overseasgroup/55e71fb700b0d0888a4166418781792a.jpg']","豪华型","Shangri-La's Rasa Sentosa Resort & Spa","很好: 4.9分","很好","圣淘沙岛及港湾地区, 距市中心直线5.9km, 海底世界附近","","2669","391","圣淘沙岛及港湾地区","(1.305409, 103.809725)","4.9","342"
"13","原首大酒店","['https://osp.meituan.net/overseasgroup/81dc1412dc93714ff252e230772b3866298364.jpg']","舒适型","Hotel Supreme","很好: 4.7分","很好","乌节路, 距市中心直线1.6km, 新加坡总统府附近","","534","39","乌节路","(1.305409, 103.84245)","4.7","23"
"14","新加坡港湾彩鸿酒店","['https://osp.meituan.net/overseasgroup/c62ec947129b726d9c573691de9d660d485063.jpg']","高档型","Travelodge HarbourFront Singapore","很好: 4.6分","很好","圣淘沙岛及港湾地区, 距市中心直线4.1km, 圣詹姆士发电厂附近","","2242","177","圣淘沙岛及港湾地区","(1.305409, 103.823854)","4.6","249"
"15","新加坡阿顿精品酒店","['https://osp.meituan.net/overseasgroup/50de34f139d78e9f0e91eb0ed2895a70294066.jpg']","舒适型","Arton Boutique Hotel Singapore","很好: 4.7分","很好","惹兰勿剎, 距市中心直线2.7km, 大乘禅寺附近","","818","47","惹兰勿剎","(1.305409, 103.861044)","4.7","18"
"16","圣陶沙喜乐度假酒店","['https://p1.meituan.net/tdchotel/877d4aa3449573e6c2e50ab68b61bc2a243980.jpg']","高档型","Siloso Beach Resort, Sentosa","很好: 4.7分","很好","圣淘沙岛及港湾地区, 距市中心直线5.7km, 圣淘沙人造滑浪区附近","","1497","171","圣淘沙岛及港湾地区","(1.305409, 103.814438)","4.7","218"
"17","新加坡81酒店 - 幸运","['https://osp.meituan.net/overseasgroup/56a3518c57a1ac780fd189925eb199fb332569.jpg']","经济型","Hotel 81 Lucky","很好: 4.5分","很好","芽笼, 距市中心直线4.1km, Tan Swie Hian Museum附近","","452","58","芽笼","(1.305409, 103.881373)","4.5","14"
