"","name","tags","service","environment","taste","price","review_number","address","features","stars"
"0","娘惹美食(金沙酒店食阁)","东南亚菜 娘惹菜 ","8.8","8.3","9","80","43封点评","6 Bayfront Ave, 新加坡
              
        ","9人推荐
蓝花椰浆饭
5人推荐
娘惹咖喱牛肉
4人推荐
娘惹蔬菜咖喱
","五星商户"
"1","了凡香港油鸡饭面","小吃快餐 ","8","8","9","52","3254封点评","02-127 Chinatown Complex, 335 Smith St, Singapore 050335
              +65-62722000
        ","622人推荐
油鸡饭
487人推荐
油鸡面
125人推荐
叉烧饭
","五星商户"
"2","新加坡海鲜共和国(名胜世界圣陶...","海鲜 中餐 ","9","9.1","9.1","336","2345封点评","26 Sentosa Gateway, Festive Walk #02-138, Resorts World Sentosa, 新加坡 098138
              +65-62656777
        ","608人推荐
辣椒螃蟹
531人推荐
麦片虾
322人推荐
炸馒头
","五星商户"
"3","珍宝海鲜坊(河畔店)","海鲜 ","8.8","8.8","9.1","555","5749封点评","河畔沙球朥路上段20号B1-48
              +65-65343435
        ","1809人推荐
辣椒螃蟹
1375人推荐
麦片虾
733人推荐
黑胡椒蟹
","五星商户"
"4","发起人肉骨茶(武吉士店)","东南亚菜 新加坡菜 ","9.1","9","9","121","720封点评","530 North Bridge Rd, #01-01, 新加坡 188747
              
        ","276人推荐
肉骨茶
177人推荐
薏米水
124人推荐
黑油条
","五星商户"
"5","松发肉骨茶(克拉码头店)","东南亚菜 小吃快餐 ","8.7","8.2","9","56","5450封点评","新桥路11号1层01
              +65-65336128
        ","1964人推荐
肉骨茶
795人推荐
油条
561人推荐
薏米水
","五星商户"
"6","珍宝海鲜坊(河滨坊店)","海鲜 ","8.7","8.8","9.1","520","2423封点评","河滨坊马真路30号滨江购物中心1层01-02
              +65-65323435
        ","700人推荐
辣椒蟹
549人推荐
麦片虾
234人推荐
海鲜炒饭
","五星商户"
"7","天天海南鸡饭","中餐 ","7.4","7","8.5","34","3971封点评","卡达耶纳卢尔街1麦克斯韦食品中心#01-10
              +65-96914852
        ","1082人推荐
海南鸡饭
326人推荐
香油饭
320人推荐
半只鸡
","准五星商户"
"8","松发肉骨茶(Jewel 星耀樟宜店)","肉骨茶 小吃快餐 ","9.1","9","9.1","103","45封点评","新加坡 Airport Blvd, 78号星耀樟宜 邮政编码: 819666 #B2-278/279/280
              +65-62149368
        ","17人推荐
排骨肉骨茶
6人推荐
猪肝猪腰汤
5人推荐
滷水豬腸
","五星商户"
"9","莆田餐厅(圣淘沙名胜世界店)","中餐 东南亚菜 ","9","8.9","8.9","158","899封点评","26, Sentosa Gateway, #01-203/204, The Forum, S098138
              +65-66863781
        ","185人推荐
莆田卤面
147人推荐
椒盐猪手
110人推荐
黄鱼
","准五星商户"
"10","老曾记(ION店)","小吃快餐 ","8.4","8.2","8.6","27","242封点评","#B4-36, ION Orchard, 2 Orchard Turn, 238801
              63032400
        ","63人推荐
咖喱角
29人推荐
花枝丸
21人推荐
鱼丸
","准五星商户"
"11","IRVINS","更多美食 ","8.7","8.8","9","147","269封点评","Airport Blvd, T2 Blvd, 10703 新加坡樟宜机场新加坡 819643
              +65-62643076
        ","67人推荐
咸蛋黄薯片
45人推荐
蛋黄鱼皮
27人推荐
咸蛋黄鱼片
","五星商户"
"12","牛车水美食街","新加坡菜 东南亚菜 ","8","7.7","8.5","66","777封点评","Simith Street，Singapore 058938
              +65-62253633
        ","60人推荐
海南鸡米饭
38人推荐
甘蔗水
22人推荐
叻沙
","准五星商户"
"13","金沙食阁","东南亚菜 新加坡菜 ","8.4","8.4","8.7","108","68封点评","8 Bayfront Ave, 新加坡 018955
              
        ","8人推荐
叻沙
4人推荐
烤翅
3人推荐
海南鸡饭
","准五星商户"
"14","松发肉骨茶(港湾中心店)","肉骨茶 小吃快餐 ","9.1","9.1","9.1","91","76封点评","1 Maritime Square，HabourFront Centre #02-74/75，Singapore 099253
              +65-62728966
        ","26人推荐
排骨肉骨茶
17人推荐
油条
13人推荐
薏仁水
","五星商户"
"0","珍宝海鲜(爱雍·乌节店)","海鲜 ","9","9.1","9.1","668","144封点评","2 Orchard Turn, #04-09 ION, 新加坡 238801
              +65-67373435
        ","36人推荐
辣椒蟹
25人推荐
麦片虾
11人推荐
黑胡椒螃蟹
","五星商户"
"1","新加坡Zam Zam餐馆","东南亚菜 ","8.1","7.4","8.8","53","718封点评","北桥路697-699
              +65-62986320
        ","177人推荐
拉茶
117人推荐
咖喱牛肉
60人推荐
飞饼
","准五星商户"
"2","松发肉骨茶(先得坊店)","东南亚菜 小吃快餐 ","9","9","9.1","74","1540封点评","乌节路176号先得坊购物中心二层29/30
              +65-67348498
        ","613人推荐
排骨肉骨茶
268人推荐
油条
181人推荐
卤猪蹄
","五星商户"
"3","喜茶(ION店)","饮料冰品 ","9","8.9","9","40","191封点评","2 Orchard Turn #B4-29 ION Singapore
              +65-69080019
        ","28人推荐
咸蛋黄冰淇淋
19人推荐
芝芝莓莓
14人推荐
满杯金菠萝
","五星商户"
"4","Shake Shack","小吃快餐 汉堡 ","8.6","8.5","8.4","126","109封点评","#02-256 Jewel, 78 Airport Blvd, 新加坡樟宜机场新加坡 819666
              
        ","35人推荐
双层招牌牛肉堡
21人推荐
芝士蘑菇牛肉堡
18人推荐
薯条
","四星商户"
"5","IRVINS","更多美食 ","8.9","8.8","9.1","182","129封点评","vivocityB2
              +65-62643076
        ","31人推荐
咸蛋鱼皮
22人推荐
咸蛋黄薯片
3人推荐
咸蛋黄木薯
","五星商户"
"6","乌节路街头冰淇淋","冰淇淋 ","8.6","8.1","9","8","2772封点评","新加坡乌节路
              
        ","526人推荐
榴莲味
312人推荐
薄荷巧克力
206人推荐
芒果
","五星商户"
"7","亚坤(怡丰城店)","面包甜点 小吃快餐 ","8.7","8.3","9","40","1019封点评","1 Harbourfront Walk, #B2-26 Vivocity, Singapore 098585
              +65-62-255789
        ","333人推荐
咖椰吐司套餐
202人推荐
温泉蛋
129人推荐
奶茶
","五星商户"
"8","龙海鲜螃蟹王(丹戎巴葛店)","海鲜 ","8.3","7.8","9.1","343","1072封点评","7 Tanjong Pagar Plaza，#01-105，Singapore 081007
              +65-62205512
        ","324人推荐
米粉螃蟹
217人推荐
咸蛋黄排骨
159人推荐
麦片虾
","五星商户"
"9","海底捞","火锅 中餐 ","9.3","9.3","9.3","309","72封点评","1 harbourfront walk vivocity #03-09, S098585
              
        ","8人推荐
鸳鸯锅
3人推荐
猪肚鸡锅底
3人推荐
虾滑拼盘
","五星商户"
"10","老成昌","甜点 ","9.4","9.3","9.3","184","49封点评","6 Eu Tong Sen Street, #01-48, 新加坡 059817
              +65-62820220
        ","11人推荐
肉骨茶饼
11人推荐
麦片虾饼
10人推荐
叻沙饼
","五星商户"
