"","Chinese_name","English_name","scores","review_number","location_area","booking_website","booking_price(lowest)","coordinates"
"0","新加坡滨海湾金沙酒店","Marina Bay Sands","8.2","4139条","新加坡滨海湾","mafengwo
Booking.com
agoda
Hotels.com
有鱼订房
","2460
2520
2521
2358
3221
","('1.28397', '103.86082')"
"1","新加坡洲际酒店","InterContinental Singapore","8.7","116条","武吉士劳明达/加冷路","mafengwo
Booking.com
Hotels.com
agoda
有鱼订房
","1835
1692
2065
1809
1867
","('1.29845', '103.85507')"
"2","新加坡圣淘沙名胜世界节庆酒店","Resorts World Sentosa - Festive Hotel","8.3","875条","圣淘沙岛及港湾地区","mafengwo
Booking.com
agoda
携程
有鱼订房
","1189
1303
1371
1147
1161
","('1.25663', '103.82115')"
"3","新加坡圣淘湾大酒店","Bay Hotel Singapore","8.6","800条","圣淘沙岛及港湾地区","mafengwo
Hotels.com
Booking.com
agoda
有鱼订房
","540
1680
909
1070
826
","('1.26607', '103.82385')"
"4","皮克林宾乐雅酒店","Parkroyal on Pickering","8.7","710条","牛车水","mafengwo
Booking.com
Hotels.com
agoda
有鱼订房
","1327
1697
2142
1998
2060
","('1.28581', '103.84609')"
"5","良木园酒店","Goodwood Park Hotel","8.3","276条","乌节路","mafengwo
Hotels.com
agoda
Booking.com
有鱼订房
","1362
1467
1319
1245
1367
","('1.30871', '103.83423')"
"6","1888精选酒店","Hotel 1888 Collection","7.7","101条","牛车水","mafengwo
Booking.com
Hotels.com
agoda
携程
","940
682
649
682
667
","('1.2828', '103.84396')"
"7","新加坡丽思卡尔顿美年酒店","The Ritz-Carlton, Millenia Singapore","8.5","272条","新加坡滨海湾","mafengwo
Booking.com
Hotels.com
agoda
有鱼订房
","2230
2455
2892
2456
2191
","('1.2904', '103.86003')"
"8","半岛怡东酒店","Peninsula Excelsior Hotel","8.5","1247条","新加坡滨海湾","Booking.com
mafengwo
Hotels.com
agoda
有鱼订房
","850
825
1065
1001
810
","('1.29161', '103.84975')"
"9","庄家大酒店","Hotel Boss","","494条","武吉士劳明达/加冷路","mafengwo
Booking.com
agoda
携程
有鱼订房
","635
644
678
629
656
","('1.30541', '103.8604')"
"10","新加坡 Studio M 酒店","Studio M Hotel","8.1","419条","克拉码头-河滨","mafengwo
Hotels.com
Booking.com
agoda
有鱼订房
","926
1138
966
1024
762
","('1.29111', '103.83928')"
"11","新加坡圣淘沙名胜世界迈克尔酒店","Resorts World Sentosa - Hotel Michael","8.6","385条","圣淘沙岛及港湾地区","mafengwo
Booking.com
agoda
携程
有鱼订房
","1432
1303
1304
1169
1178
","('1.2547341', '103.8200133')"
"12","新加坡富丽敦酒店","The Fullerton Hotel Singapore","9.1","346条","新加坡滨海湾","mafengwo
Hotels.com
Booking.com
agoda
有鱼订房
","1372
2464
1882
1883
1361
","('1.28559', '103.85306')"
"13","新加坡圣淘沙安曼纳圣殿度假酒店","Amara Sanctuary Resort Sentosa","7.9","312条","圣淘沙岛及港湾地区","mafengwo
Booking.com
Hotels.com
agoda
有鱼订房
","1257
1679
1934
1526
1205
","('1.25149', '103.82267')"
"14","圣淘沙喜乐度假酒店","Siloso Beach Resort, Sentosa","8.2","886条","圣淘沙岛及港湾地区","mafengwo
Booking.com
Hotels.com
agoda
有鱼订房
","994
909
2856
910
998
","('1.25473', '103.81472')"
"15","皇家酒店","Hotel Royal","8.4","179条","纽顿/诺维娜","mafengwo
Hotels.com
Booking.com
agoda
有鱼订房
","597
893
646
714
597
","('1.31685', '103.84181')"
"16","新加坡卡尔登酒店","Carlton Hotel Singapore","8.7","946条","武吉士劳明达/加冷路","mafengwo
agoda
Hotels.com
Booking.com
有鱼订房
","1286
1238
1458
1237
1287
","('1.2958', '103.85228')"
"17","新加坡圣淘沙名胜世界逸濠酒店","Resorts World Sentosa - Equarius Hotel","8.1","233条","圣淘沙岛及港湾地区","mafengwo
Hotels.com
agoda
Booking.com
有鱼订房
","1542
1654
1405
1404
1618
","('1.25706', '103.81672')"
"18","新加坡G酒店","Hotel G Singapore","8.6","398条","小印度/花拉公园","mafengwo
Booking.com
Hotels.com
agoda
有鱼订房
","772
706
1282
707
775
","('1.30071', '103.85151')"
"19","新加坡香格里拉圣淘沙度假酒店","Shangri-La's Rasa Sentosa Resort & Spa","8.6","715条","圣淘沙岛及港湾地区","mafengwo
Booking.com
Hotels.com
agoda
有鱼订房
","1540
2121
2499
2122
2569
","('1.25776', '103.80973')"
"20","圣淘沙名胜世界新加坡Hard Rock酒店","Resorts World Sentosa - Hard Rock Hotel","8.4","552条","圣淘沙岛及港湾地区","mafengwo
Booking.com
agoda
携程
有鱼订房
","1486
1354
1354
1452
1527
","('1.25737', '103.81977')"
"21","史丹佛瑞士酒店","Swissotel The Stamford","8.5","658条","新加坡滨海湾","mafengwo
Booking.com
Hotels.com
agoda
有鱼订房
","1784
1814
1275
1860
2048
","('1.29335', '103.85356')"
"22","新加坡泛太平洋酒店","Pan Pacific Singapore","8.9","464条","新加坡滨海湾","mafengwo
Booking.com
Hotels.com
agoda
有鱼订房
","1236
1420
1761
1421
1711
","('1.29201', '103.85861')"
"23","宝瓷林精品酒店","Porcelain Hotel by JL Asia","8.7","1013条","牛车水","mafengwo
Booking.com
Hotels.com
agoda
有鱼订房
","552
2080
425
660
552
","('1.28417', '103.84426')"
