"","Chinese_name","English_name","open_time","phone_number","website","introduction","address","review_number","review_keywords"
"0","新加坡滨海湾花园","Gardens by the Bay","['05:00-次日02:00(户外区域),09:00-21:00(空中走廊、植物冷室)；停止售票时间:20:00；停止入场时间:20:00 (1月1日-12月31日 周一-周日)', '\ntips:', '\n景点每月会有一日闭馆，建议参考官网']","","http://www.gardensbythebay.com.sg","['\n                        ·滨海湾花园是新加坡市中心的超级花园，以10亿元造价成为新加坡最新的地标。', '\n·园区共分成三个部分： 滨海南花园、滨海东花园，以及衔接二者的滨海中花园。', '\n·游客可在花园中巨大的半球形温室里观赏到超过25万棵奇花异草，和全球最大的室内瀑布。', '\n·其中建有多棵巨大的超级树 (Supertree)， 这些超级树不但壮观美丽，还具备多项实用性功能。\n                    ']","18 Marina Gardens Dr, Singapore 018953","2026.0","有图 (1047条)好评（1920条）中评（96条）差评（9条）值得去（107人提及）新加坡地标（79人提及）恐高（35人提及）逛一天（33人提及）人很多（30人提及）金牌点评 (42条)"
"1","乌节路","Orchard Road","","+65-6733-1700","http://www.orchardroad.org","","Orchard Road, Singapore","1563.0","有图 (380条)好评（1292条）中评（242条）差评（29条）奢侈品品牌（66人提及）各种大牌（42人提及）上海淮海（34人提及）好去处（34人提及）便宜很多（32人提及）金牌点评 (9条)"
"2","牛车水","Chinatown","['全天', '\n', '\ntips:', '\n周围店铺开门时间各不相同，具体视各个店铺而定。', '展开全部>']","","http://chinatown.sg","['\n                        ·是新加坡华人聚集最多的地方，也是游客来到新加坡必看的文化景点之一。', '\n·从移民安置地到生机勃勃的传统文化区域，有著名华人建筑，寺庙等，历史痕迹随处可见。', '\n·现代化景观紧紧相随，各种购物中心、美食摊、各色商品小贩和百年老店毗邻而居，吃喝玩乐一应俱全。', '\n·每天晚上的夜市更是热闹非凡，极具传统色彩，在这儿卖的新加坡纪念品也相当便宜，值得一逛。', '\n\n                    ']","Pagoda Street, Singapore","1968.0","有图 (779条)好评（1479条）中评（435条）差评（54条）有小吃（114人提及）人很多（77人提及）交通方便（40人提及）值得去（22人提及）印度教寺庙（20人提及）金牌点评 (18条)"
"3","小印度","Little India","['全天', '\n', '\n']","","http://www.littleindia.com.sg/","['\n                        ·当地泰米尔人的族裔社区，在许多方面类似于印度，犹如印度的缩影。在印度的几大重要节庆期间，小印度更是被装点成金碧辉煌的神话世界。', '\n·这一带有数座印度教寺庙和清真寺，如维拉马卡里拉曼庙、安古利亚回教堂、维达帕提雅卡雅曼兴都庙、Jalan回教堂等。', '\n·一进入小印度，一股浓烈的辣椒和香料气味就会扑面而来。道路两旁的商店里陈列着金银首饰、铜器、具有民族特色的珠宝、茉莉花环和丝制莎丽等。走时别忘了带一包印度咖哩，品尝一杯香浓的拉茶，并在身上留下特有的印度纹身。\xa0', '\n·这里曾经发生过大规模的暴乱，治安不算最好，尽量不要单独前往。\n                    ']","#02, 48 Serangoon Rd, 16 Little India Arcade, Singapore 217959","1809.0","有图 (782条)好评（1237条）中评（455条）差评（117条）人很多（56人提及）适合拍照（30人提及）有餐厅（28人提及）值得去（22人提及）交通很方便（20人提及）金牌点评 (18条)"
"4","圣淘沙岛","Sentosa","['全天', '\n07:00-次日00:00(捷运)', '\n', '\n']","","http://www.sentosa.com.sg/","['\n                        ·圣淘沙是新加坡顶尖的度假胜地，也是亚洲区域首选的娱乐景点。', '\n·拥有各式各样的主题景点，其中包括荣获多次奖项的spa水疗设施及度假村住宿，升涛湾的深水游艇码头与豪华私人住宅区等。', '\n·岛上万众瞩目的旅游景点是圣淘沙名胜世界，不仅享有新加坡史上第一座综合娱乐城的头衔，其中开设的娱乐景点还包括了东南亚地区首创的环球影城。', '\n·圣淘沙离商业市区不远，访客能选择乘坐圣淘沙捷运，风景宜人的缆车或通过圣淘沙跨海步行道抵达圣淘沙，路程只需几分钟。\n                    ']","Sentosa, Singapore","2134.0","有图 (702条)好评（1994条）中评（113条）差评（27条）玩一天（131人提及）适合亲子（82人提及）值得去（81人提及）交通方便（57人提及）人很多（37人提及）金牌点评 (17条)"
"5","克拉码头","Clarke Quay","['全天', '\n', '\ntips:', '\n具体店铺的营业时间以实际为准', '展开全部>']","","https://www.capitaland.com/sg/malls/clarkequay/en.html","['\n                        ·曾经是一个卸货的小码头，现今非昔比，已经改造成新加坡一个新的美食娱乐聚集地。', '\n·以广场为中心分成A-E五个区域，有餐厅、购物城、娱乐设施，还能坐船游览，以及摩天轮可以选择。', '\n·白天店铺开门的很少，要想充分享受，还是傍晚以后最佳，吃喝玩乐买、尽情享受新加坡最嗨的夜生活。', '\n·周日码头便成为跳蚤市场，有超过70个摊位在这里贩卖古董和艺术品，仔细淘就能买到心仪的东西。\n                    ']","3 River Valley Rd, Singapore 179024","1670.0","有图 (663条)好评（1489条）中评（165条）差评（16条）有餐厅（56人提及）人很多（45人提及）夜景很美（36人提及）新加坡河边（29人提及）适合晚上（25人提及）金牌点评 (10条)"
"6","鱼尾狮公园","Merlion Park","['全天', '\n', '\n']","","","['\n                        ·新加坡最出名的景点之一，来新加坡的游客都会专程造访鱼尾狮公园，与世界著名的鱼尾狮拍照留念。', '\n·鱼尾狮是只鱼身狮头的虚构动物，它代表新加坡原本的名字，同时也象征新加坡在当今全球经济的力量。', '\n·公园内设有两座鱼尾狮，一大一小；高8.6米的狮子口中喷出一股清水，是游客合拍的经典对象。', '\n·周围还聚集了很多新加坡著名的地标性建筑，如维多利亚剧院、莱佛士铜像等，是徒步游览的不二之选。\n                    ']","1 Fullerton Rd, Singapore 049213","3155.0","有图 (1120条)好评（2706条）中评（409条）差评（40条）新加坡地标（687人提及）人很多（257人提及）必去景点（83人提及）适合拍照（18人提及）交通方便（16人提及）金牌点评 (11条)"
"7","S.E.A. 海洋馆","S.E.A. Aquarium","['10:00-19:00 (1月1日-12月31日 周日-周五)', '\ntips:', '\n开放时间不定期变动，部分日期开放至18:00，具体需查看官网日历。']","","https://www.rwsentosa.com/en/attractions/sea-aquarium","['\n                        ·位于新加坡的圣淘沙，靠近环球影城，属于圣淘沙名胜世界，堪称亚洲最大的海洋馆。', '\n·设有49个生态区，汇集众多海洋生物，让游客应接不暇，适合带着孩子前来观赏学习。', '\n·海洋馆最大的特色是全球最大的海洋之窗，站在巨大的玻璃窗前看各种鱼类，震撼至极。', '\n·会有一些亲身体验项目，可以亲手触摸到鲨鱼卵的探索池。\n                    ']","8 Sentosa Gateway, Sentosa Island, Singapore 098269","1276.0","有图 (732条)好评（1138条）中评（131条）差评（7条）适合小朋友（89人提及）值得去（37人提及）游览半小时（34人提及）人很多（32人提及）有餐厅（16人提及）金牌点评 (36条)"
"8","新加坡环球影城","Universal Studios Singapore","['10:00-19:00 (1月1日-12月31日 周一-周日)', '\ntips:', '\n开闭园时间可能因淡旺季或其他因素有所变动，具体详情请参考官方网站']","","https://www.rwsentosa.com/zh-cn/attractions/universal-studios-singapore","['\n                        ·新加坡环球影城拥有多项顶尖独特的游乐设施与景点，融汇电影主题的崭新项目及表演。', '\n·拥有古埃及、失落的世界、好莱坞大道等七个主题区，让电影世界的神奇为游客掀开探险旅程的序幕。', '\n·必打卡项目包括鞋猫剑客历险记、太空堡垒卡拉狄加、变形金刚3D对决之终极战斗等。', '\n·还有与身着新年唐装的明星们一同迎春、在万圣节惊魂夜挑战鬼屋以及环球圣诞等主题活动。\n                    ']","8 Sentosa Gateway, Singapore 098269","3725.0","有图 (1856条)好评（3559条）中评（149条）差评（17条）人很多（225人提及）适合小朋友（212人提及）强烈推荐（203人提及）玩一天（190人提及）10点开门（109人提及）金牌点评 (120条)"
"9","新加坡摩天观景轮","Singapore Flyer","['08:30-22:15；停止售票时间:22:00 (1月1日-12月31日 周一-周日)', '\n']","","http://www.singaporeflyer.com/zh-hans/","['\n                        ·新加坡摩天轮的高度为165米，相等于42层楼，是亚洲目前最高的摩天轮。', '\n·28个安装了空调的座舱可以分别容纳28名乘客，也可以包厢独自与情侣享用摩天轮的丰盛餐点。', '\n·旋转一周约用30分钟时间，不仅能够360°鸟瞰新加坡的城市景观，还可以远眺直到约45公里外的景色。', '\n·大楼中庭还有一座郁郁葱葱的热带雨林，雨林内的瀑布、小溪、岩石堆等绘成一幅幅供摄影的如画景观。\n                    ']","30 Raffles Avenue, Singapore 039803","1605.0","有图 (795条)好评（1450条）中评（144条）差评（11条）尽收眼底（102人提及）夜景很美（69人提及）值得去（38人提及）有餐厅（21人提及）需要预约（19人提及）金牌点评 (21条)"
