"","name","link"
"0","新加坡滨海湾花园","/poi/5422487.html"
"1","乌节路","/poi/11057.html"
"2","牛车水","/poi/10460.html"
"3","小印度","/poi/10459.html"
"4","圣淘沙岛","/poi/10785.html"
"5","克拉码头","/poi/10962.html"
"6","鱼尾狮公园","/poi/22851.html"
"7","S.E.A. 海洋馆","/poi/7382073.html"
"8","新加坡环球影城","/poi/10982.html"
"9","新加坡摩天观景轮","/poi/10857.html"
"10","Candylicious(圣淘沙店)","/poi/5423106.html"
"11","新加坡植物园","/poi/10852.html"
"12","夜间野生动物园","/poi/10463.html"
"13","滨海湾","/poi/6018015.html"
"14","巴拉湾海滩","/poi/10469.html"
"15","圣安德烈教堂","/poi/10916.html"
"16","哈芝巷","/poi/20900.html"
"17","新加坡国家博物馆","/poi/11010.html"
"18","圣淘沙名胜世界","/poi/5978902.html"
"19","甘榜格南","/poi/92941.html"
"20","新加坡动物园","/poi/10462.html"
"21","裕廊飞禽公园","/poi/11103.html"
"22","河川生态园","/poi/7007293.html"
"23","滨海湾金沙艺术科学博物馆","/poi/11053.html"
"24","新加坡南洋理工大学","/poi/186248.html"
"25","云雾林","/poi/29278354.html"
"26","新加坡国立大学","/poi/20891.html"
"27","金沙天空公园","/poi/8536262.html"
"28","马里安曼兴都庙","/poi/186337.html"
"29","新加坡国家美术馆","/poi/26646743.html"
"30","双螺旋桥","/poi/185999.html"
"31","苏丹回教堂","/poi/207193.html"
"32","海豚园","/poi/8546354.html"
"33","滨海艺术中心音乐厅","/poi/20711.html"
"34","新加坡科学中心","/poi/186284.html"
"35","赞美广场","/poi/11019.html"
"36","1-Altitude","/poi/5542921.html"
"37","佛牙寺龙华院博物馆","/poi/10935.html"
"38","亚洲大陆最南端","/poi/8475036.html"
"39","鱼尾狮塔","/poi/7928187.html"
"40","新加坡国家美术馆","/poi/11018.html"
"41","花穹","/poi/29278350.html"
"42","花柏山公园","/poi/7399344.html"
"43","新加坡河","/poi/10940.html"
"44","旧禧街警察局","/poi/20883.html"
"45","国立胡姬花园","/poi/10985.html"
"46","西乐索海滩","/poi/11036.html"
"47","武吉士街","/poi/6042413.html"
"48","东海岸公园","/poi/11002.html"
"49","滨海湾金沙无边泳池","/poi/34939164.html"
"50","海事博物馆","/poi/186035.html"
"51","空中走廊","/poi/34030324.html"
"52","牛车水原貌馆","/poi/10929.html"
"53","福康宁公园","/poi/5424263.html"
"54","新加坡红点设计博物馆","/poi/5423020.html"
"55","斯里-维拉玛卡里雅曼兴都庙","/poi/10920.html"
"56","亚洲文明博物馆","/poi/11029.html"
"57","跨海步行道","/poi/8079155.html"
"58","乌敏岛","/poi/11098.html"
"59","新加坡总统府","/poi/11017.html"
"60","新加坡玩具博物館","/poi/186331.html"
"61","亨德森波浪桥","/poi/10955.html"
"62","新加坡集邮馆","/poi/20885.html"
"63","Wild Wild Wet水上乐园","/poi/22040.html"
"64","安详山","/poi/6030466.html"
"65","圣淘沙海滩","/poi/34061732.html"
"66","南部山脊","/poi/7646143.html"
"67","擎天大树林","/poi/33182972.html"
"68","裕华园","/poi/5422431.html"
"69","新加坡国家图书馆","/poi/20705.html"
"70","安德逊桥","/poi/11067.html"
"71","麦里芝水库","/poi/6023414.html"
"72","蝴蝶园与昆虫王国","/poi/10470.html"
"73","滨海公园","/poi/6017931.html"
"74","科学艺术博物馆","/poi/69409596.html"
"75","新加坡市政厅","/poi/20878.html"
"76","新加坡维多利亚剧院","/poi/11013.html"
"77","土生华人博物馆","/poi/186307.html"
"78","旧议会大厦","/poi/92950.html"
"79","花园狂想曲","/poi/9961383.html"
"80","马来传统文化馆","/poi/185989.html"
"81","陈东龄故居","/poi/6027819.html"
"82","丹戎海滩","/poi/11034.html"
"83","新加坡特丽爱3D美术馆","/poi/13269069.html"
"84","亚美尼亚教堂","/poi/11011.html"
"85","詹美回教堂","/poi/6018002.html"
"86","拉萨尔设计学院","/poi/5422419.html"
"87","消防博物馆","/poi/6018050.html"
"88","加纳文桥","/poi/10915.html"
"89","平民战争纪念碑","/poi/10971.html"
"90","阿都卡夫清真寺","/poi/5422949.html"
"91","新加坡城市规划展览馆","/poi/6027825.html"
"92","双溪布洛湿地保护区","/poi/10936.html"
"93","圣淘沙梦之湖","/poi/6034033.html"
"94","新加坡杜莎夫人蜡像馆","/poi/15528342.html"
"95","ION SKY","/poi/33799196.html"
"96","财富之源广场","/poi/10859.html"
"97","星耀樟宜","/poi/74047984.html"
"98","旧高等法院","/poi/20879.html"
"99","西罗索炮台","/poi/11037.html"
"100","麦里芝蓄水池公园","/poi/5422499.html"
"101","亚拉街","/poi/5422958.html"
"102","新加坡芽笼","/poi/69409588.html"
"103","滨海堤坝","/poi/20903.html"
"104","木乃伊复仇记","/poi/59242092.html"
"105","四马路观音堂","/poi/10995.html"
"106","新加坡管理大学","/poi/6030769.html"
"107","巴西立公园","/poi/6027832.html"
"108","驳船码头","/poi/5543825.html"
"109","丹戎巴葛保留区","/poi/6033958.html"
"110","奇幻乐园","/poi/5426166.html"
"111","圣约翰教堂","/poi/5541973.html"
"112","里尼维沙伯鲁玛兴都庙","/poi/11123.html"
"113","新加坡万象馆","/poi/11038.html"
"114","新加坡艺术学院","/poi/5424270.html"
"115","老虎天空塔","/poi/5538178.html"
"116","露德圣母教堂","/poi/6027880.html"
"117","马来文化村","/poi/5422963.html"
"118","圣淘沙蜡像馆","/poi/10972.html"
"119","虎豹别墅","/poi/186206.html"
"120","肯特岗公园","/poi/6017968.html"
"121","爱琴桥","/poi/8464022.html"
"122","莱佛士登陆遗址","/poi/6018025.html"
"123","滨海湾浮动舞台","/poi/5542950.html"
"124","园艺园林","/poi/11054.html"
"125","客纳街","/poi/5422530.html"
"126","晚晴园/孙中山故居","/poi/11060.html"
"127","天福宫","/poi/7645710.html"
"128","新加坡莱佛士酒店","/poi/28805438.html"
"129","英比奥山风景区","/poi/6024797.html"
"130","The Hive NTU","/poi/34171964.html"
"131","新加坡国大博物馆","/poi/7644799.html"
"132","西海岸公园","/poi/10930.html"
"133","碧山公园","/poi/6027836.html"
"134","圣约翰岛","/poi/6027870.html"
"135","维达帕提雅卡雅曼兴都庙","/poi/5540039.html"
"136","新加坡国会大厦","/poi/29277942.html"
"137","宝莱坞蔬菜农场","/poi/7646193.html"
"138","樟宜海滨公园","/poi/15476079.html"
"139","花拉公园","/poi/10917.html"
"140","龟屿岛","/poi/6027872.html"
"141","武吉巴督自然公园","/poi/11082.html"
"142","新加坡科技设计大学","/poi/34101816.html"
"143","拉柏多自然保护区","/poi/5544824.html"
"144","直落布兰雅山公园","/poi/6017967.html"
"145","三巴旺公园","/poi/5544971.html"
"146","Dempsey Hill","/poi/7433562.html"
"147","土生华人坊","/poi/6034072.html"
"148","滨海湾城市规划展览馆","/poi/6028784.html"
"149","新生水展览馆","/poi/7646674.html"
"150","娘惹博物馆","/poi/33181912.html"
"151","善牧主教座堂","/poi/5541968.html"
"152","仄爪哇湿地","/poi/7864552.html"
"153","仙人掌花园","/poi/34939400.html"
"154","新加坡植物园遗产博物馆","/poi/34809568.html"
"155","中央集水区自然保护区","/poi/6033983.html"
"156","翡翠山","/poi/33182952.html"
"157","史前公园","/poi/34031552.html"
"158","魟鱼湾","/poi/34031504.html"
"159","南洋艺术学院","/poi/6027857.html"
"160","滨海步道","/poi/50229796.html"
"161","萤火虫健康蔬菜农场","/poi/7646180.html"
"162","空军博物馆","/poi/186022.html"
"163","慕达发购物中心","/poi/50228776.html"
"164","光明山普觉寺","/poi/10939.html"
"165","克兰芝阵亡战士纪念碑","/poi/20881.html"
"166","Palawan Pirate Ship","/poi/59099464.html"
"167","幻光雨林之夜","/poi/66466304.html"
"168","榜鹅水道公园","/poi/5536079.html"
"169","新加坡市区重建局","/poi/9421533.html"
"170","河的子民","/poi/7645561.html"
"171","圣伯多禄圣保禄教堂","/poi/186321.html"
"172","通讯及新闻部","/poi/71462708.html"
"173","达豪施纪念碑","/poi/6042301.html"
"174","中央消防局","/poi/33182896.html"
"175","OCBC Skyway","/poi/50229120.html"
"176","Joo Chiat/Katong","/poi/50229792.html"
"177","Golden Mile Complex","/poi/50226936.html"
"178","硕莪街","/poi/5422939.html"
"179","Spectra","/poi/33750760.html"
"180","樟宜监狱博物馆","/poi/11080.html"
"181","新加坡国家体育场","/poi/52978332.html"
"182","洛阳大伯公宫","/poi/9431159.html"
"183","新加坡知新馆","/poi/11044.html"
"184","天公庙","/poi/6034081.html"
"185","新加坡大众捷运系统","/poi/50229604.html"
"186","莲山双林寺","/poi/5538280.html"
"187","NUS Museum","/poi/33181796.html"
"188","克里斯南兴都庙","/poi/5422957.html"
"189","旧国会大厦艺术之家","/poi/33181856.html"
"190","日本人墓地公园","/poi/6017977.html"
"191","SAM at 8Q","/poi/50002840.html"
"192","Beach Station","/poi/34052924.html"
"193","艺术、设计与媒体学院","/poi/38277336.html"
"194","榜鹅海滩","/poi/6034004.html"
"195","哈查花蒂玛回教堂","/poi/6034058.html"
"196","中央商业区","/poi/50228248.html"
"197","共和理工学院","/poi/71469396.html"
"198","峇峇住宅","/poi/33182928.html"
"199","纳哥德卡殿","/poi/6034067.html"
"200","太阳花园","/poi/34075592.html"
"201","KidsSTOP™","/poi/33181860.html"
"202","ZhongShan Park","/poi/33183116.html"
"203","卫理会教堂","/poi/11007.html"
"204","长老会恩泽堂","/poi/11009.html"
"205","怡丰城","/poi/50228396.html"
"206","芽笼士乃市场","/poi/33182876.html"
"207","新加坡义安理工学院","/poi/6659697.html"
"208","Esplanade Bridge","/poi/33182800.html"
"209","街头艺术","/poi/34197524.html"
"210","新加坡番禺会馆","/poi/7734397.html"
"211","Alexandra Technopark","/poi/71470148.html"
"212","圣淘沙特快","/poi/50228976.html"
"213","The Cat Museum","/poi/33181800.html"
"214","政府大厦大草场","/poi/33182772.html"
"215","Golden Mile Tower","/poi/33182436.html"
"216","Maxwell Food Centre","/poi/33182956.html"
"217","园景广场","/poi/6027772.html"
"218","Chinese Heritage Centre","/poi/33182864.html"
"219","千灯寺","/poi/9257844.html"
"220","马拉巴清真寺","/poi/5541119.html"
"221","Lee Kong Chian Natural History Museum","/poi/33181884.html"
"222","Resorts World Theater","/poi/33178772.html"
"223","Keppel Bay","/poi/71470180.html"
"224","竹脚市场","/poi/50226296.html"
"225","新加坡钱币博物馆","/poi/185902.html"
"226","巴拉湾岛","/poi/74039520.html"
"227","阿尔阿布拉回教堂","/poi/5422967.html"
"228","Parkview Museum","/poi/33181808.html"
"229","同济医院","/poi/33182528.html"
"230","陣亡紀念碑","/poi/33182720.html"
"231","MCI and MCCY Building","/poi/33182812.html"
"232","星和园","/poi/74039452.html"
"233","SSFW (Spring Summer Fall Winter)","/poi/50226804.html"
"234","福海禅寺","/poi/6033981.html"
"235","Bedok Reservoir Park","/poi/33183212.html"
"236","莱佛士城购物中心","/poi/72433248.html"
"237","林谋盛纪念塔","/poi/52977660.html"
"238","国家档案馆","/poi/20884.html"
"239","龙山寺","/poi/9259581.html"
"240","老钟楼","/poi/10999.html"
"241","姐妹岛","/poi/7646172.html"
"242","National Design Centre","/poi/33181836.html"
"243","新加坡华侨中学","/poi/6042315.html"
"244","樟宜礼拜堂与博物馆","/poi/33181908.html"
"245","贝雅士蓄水池下段","/poi/6027838.html"
"246","新加坡室内体育场","/poi/34436132.html"
"247","雀替尔印度寺庙","/poi/33182700.html"
"248","樟宜海军基地","/poi/6033973.html"
"249","直落亚逸街","/poi/33182840.html"
"250","新加坡美食节","/poi/50229088.html"
"251","Rochester Park","/poi/6033960.html"
"252","Rainforest Kidzworld","/poi/66451760.html"
"253","Tan Kim Seng Fountain","/poi/33182428.html"
"254","释迦牟尼菩提迦耶寺","/poi/10919.html"
"255","班丹蓄水池","/poi/6042068.html"
"256","Gillman Barracks","/poi/33182832.html"
"257","Upper Seletar Reservoir","/poi/33183188.html"
"258","干达哈街","/poi/9421361.html"
"259","Red Dot Traffic","/poi/186184.html"
"260","River Safari - Reservoir Cruise","/poi/72433232.html"
"261","The Interlace Condo","/poi/71648652.html"
"262","五台山佛公寺","/poi/6042120.html"
"263","陈瑞献艺术馆","/poi/7644866.html"
"264","Duo residences","/poi/71648664.html"
"265","新加坡乌节路游客中心","/poi/33178716.html"
"266","春到河畔迎新春系列活动","/poi/50229468.html"
"267","马海阿布犹太教堂","/poi/6034053.html"
"268","Sunflower Garden","/poi/71641360.html"
"269","皇后坊","/poi/7645620.html"
"270","樟宜海滩","/poi/33183244.html"
"271","Nyee Phoe Flower Garden","/poi/7646189.html"
"272","The Ritz-Carlton Spa","/poi/33179632.html"
"273","坤成路","/poi/74630440.html"
"274","欧亚文化遗产中心","/poi/7645746.html"
"275","新加坡圣经公会","/poi/6042152.html"
"276","Fort Canning Lighthouse","/poi/33182524.html"
"277","Changi City Point","/poi/50227676.html"
"278","纽顿生命堂","/poi/11008.html"
"279","夏氏牧羊场","/poi/7646182.html"
"280","Changi Airport Terminal 3","/poi/50226176.html"
"281","伊丽沙白大道","/poi/13258180.html"
"282","Artmosaic Gallery","/poi/7645348.html"
"283","Library @ Orchard","/poi/33178708.html"
"284","新加坡虎牌啤酒厂之旅","/poi/34044748.html"
"285","Gajah 画廊","/poi/7645241.html"
"286","新加坡碉堡博物馆","/poi/33181916.html"
"287","韩都岛","/poi/7646131.html"
"288","克兰芝乡村","/poi/7646154.html"
"289","文化博物馆","/poi/34075588.html"
"290","Ngee Ann City","/poi/50228816.html"
"291","Woodlands","/poi/50228340.html"
"292","新春妆艺大游行","/poi/50229416.html"
"293","亚洲古代工艺美术馆","/poi/7645188.html"
"294","政府组屋展廊","/poi/7645361.html"
"295","雕塑广场","/poi/7645120.html"
"296","Sunflower Garden","/poi/71641348.html"
"297","纯粹艺术画廊","/poi/7645369.html"
"298","画廊","/poi/7645138.html"
"299","好藏之美术馆","/poi/7644822.html"
