"","POI_name","English_name"
"0","新加坡滨海湾金沙大酒店(Marina Bay Sands Singapore)","Marina Bay Sands Singapore"
"1","新加坡樟宜国际机场(Changi Airport)","Singapore Changi International Airport (Changi Airport)"
"2","新加坡樟宜国际机场1号航站楼","Singapore Changi International Airport Terminal 1"
"3","新加坡樟宜国际机场3号航站楼","Singapore Changi International Airport Terminal 3"
"4","牛车水","Chinatown"
"5","鱼尾狮公园","Merlion Park"
"6","克拉码头","Clarke Quay"
"7","新加坡樟宜国际机场2号航站楼","Singapore Changi International Airport Terminal 2"
"8","白沙浮广场","Baisha Floating Square"
"9","ION Orchard","ION Orchard"
"10","新加坡摩天观景轮","Singapore Flyer"
"11","怡丰城","Vivo City"
"12","新加坡动物园","Singapore Zoo"
"13","高岛屋购物中心","Takashimaya Shopping Center"
"14","滨海湾花园","Gardens by the Bay"
"15","珍宝海鲜楼","Jumbo Seafood House"
"16","南洋理工大学","Nanyang Technological University"
"17","新加坡国立大学","National University of Singapore"
"18","滨海广场","Marina Square"
"19","新加坡丽思卡尔顿美年酒店(The Ritz-Carlton, Millenia Singapore)","The Ritz-Carlton, Millenia Singapore"
"20","新加坡香格里拉公寓(Shangri-La Apartments Singapore)","Shangri-La Apartments Singapore"
"21","莱佛士酒店","Raffles Hotel"
"22","新达城购物中心","Suntec City Mall"
"23","新加坡室内体育馆","Singapore Indoor Stadium"
"24","裕廊坊购物中心","Jurong Square Shopping Center"
"25","新加坡东海岸公园","Singapore East Coast Park"
"26","狮城大厦","Lion City Building"
"27","NEX购物中心","NEX Shopping Center"
"28","城市广场购物中心","City Square Mall"
"29","新加坡国立大学大学城","National University of Singapore University City"
"30","新加坡夜间野生动物园","Singapore Night Safari"
"31","新加坡小印度","Singapore Little India"
"32","浮尔顿酒店","Fullerton Hotel"
"33","东海岸公园","East Coast Park"
"34","莱佛士城","Raffles City"
"35","百丽宫购物中心","Paragon Mall"
"36","新加坡国家图书馆","National Library of Singapore"
"37","乌节路(Orchard Road)","Orchard Road"
"38","滨海湾金沙酒店无边泳池","Marina Bay Sands Hotel Infinity Pool"
"39","新加坡瑞士史丹福酒店","Swissotel Stanford Hotel Singapore"
"40","中峇鲁广场","Zhongluo Square"
"41","新加坡植物园","Singapore Botanic"
"42","诺维娜广场","Novena Square"
"43","巴耶利巴地铁站","Paya Lebar MRT Station"
"44","荷兰村","Dutch village"
"45","滨海艺术中心","Esplanade"
"46","金文泰购物中心","Clementi Shopping Centre"
"47","宏茂桥城","Ang Mo Kio City"
"48","新加坡安国酒店(Amara Singapore)","Amara Singapore"
"49","新加坡泛太平洋酒店(Pan Pacific Singapore)","Pan Pacific Singapore"
"50","远东购物中心","Far East Shopping Center"
"51","新加坡薰衣草V酒店","Lavender V Hotel Singapore"
"52","牛车水地铁站","Chinatown Subway Station"
"53","Marina Bay Sands","Marina Bay Sands"
"54","新加坡国立大学中央图书馆","National University of Singapore Central Library"
"55","松发肉骨茶","Songfa Bak Kut Teh"
"56","无招牌海鲜Esplanade店","No signature seafood Esplanade shop"
"57","国泰购物中心","Cathay Mall"
"58","新加坡希尔顿酒店(Hilton Singapore)","Hilton Singapore"
"59","发起人肉骨茶","Sponsor Bak Kut Teh"
"60","淡滨尼one商场","Tampines One Mall"
"61","新加坡喜来登大酒店(Sheraton Towers Singapore)","Sheraton Towers Singapore"
"62","多美歌地铁站","Dhoby Ghaut MRT Station"
"63","世界城","World city"
"64","纳福坊购物中心","Nafford Square Shopping Center"
"65","李伟南图书馆","Li Weinan Library"
"66","百汇广场","Parkway Plaza"
"67","乌节中央城(Orchard Central)","Orchard Central"
"68","良木园酒店","Goodwood Park Hotel"
"69","1-ATTITUDE高空酒吧","1-ATTITUDE High Sky Bar"
"70","新加坡文华东方酒店(Mandarin Oriental Singapore)","Mandarin Oriental Singapore"
"71","新加坡皮克林宾乐雅精品酒店(Parkroyal on Pickering Singapore)","Parkroyal on Pickering Singapore"
"72","新加坡M酒店(M Hotel Singapore)","M Hotel Singapore"
"73","麦克斯韦路熟食中心","Maxwell Road Cooked Food Center"
"74","新加坡管理学院","Singapore Institute of Management"
"75","新加坡海湾酒店(Bayview Hotel Singapore)","Bayview Hotel Singapore"
"76","新加坡博览中心","Singapore Expo Center"
"77","新加坡滨海湾花园","Gardens by the Bay, Singapore"
"78","米拉玛酒店","Miramar Hotel"
"79","淡滨尼广场","Tampines Square"
"80","勿洛购物中心","Bedok Shopping Center"
"81","新加坡滨华大酒店(Marina Mandarin Singapore)","Marina Mandarin Singapore"
"82","IMM奥特莱斯","IMM Outlets"
"83","新加坡樟宜国际机场Krisflyer休息室","Krisflyer Lounge at Singapore Changi International Airport"
"84","新加坡丽晶酒店(The Regent Singapore-A Four Seasons Hotel Singapore)","The Regent Singapore-A Four Seasons Hotel Singapore"
"85","龙海鲜螃蟹王","Dragon Seafood Crab King"
"86","艺术科学博物馆","Museum of Art and Science"
"87","老巴刹","Old Pasar"
"88","花柏山公园","Huabaishan Park"
"89","裕廊飞禽公园","Jurong Bird Park"
"90","哈芝巷","Hazhi Lane"
"91","武吉士街","Bugis Street"
"92","新加坡圣安德烈教堂","St. Andrew's Church, Singapore"
"93","海底捞","Sea fishing"
"94","阿拉伯街","Arab Street"
"95","黄亚细肉骨茶餐馆","Huang Ya Bak Kut Teh Restaurant"
"96","赞美广场","Praise Square"
"97","裕华园","Yuhuayuan"
"98","河川生态园","River Ecological Park"
"99","牛车水美食街","Chinatown Food Street"
"100","登布西山","Mount Debus"
"101","新加坡西海岸公园","Singapore West Coast Park"
"102","新加坡DFS免税店","Singapore DFS Duty Free Shop"
"103","滨海湾金沙购物广场","Marina Bay Sands Shopping Plaza"
"104","新加坡佛牙寺龙华院","Singapore Buddha Tooth Relic Temple"
"105","南洋老咖啡店","Nanyang old coffee shop"
"106","新加坡国家博物馆","National Museum of Singapore"
"107","天水海南鸡饭","Tianshui Hainan Chicken Rice"
"108","虎豹别墅","Tiger Leopard Villa"
"109","文东记(河谷店)","Wen Dong Ji (He Valley Store)"
"110","新加坡旧国会大厦","Singapore Old Parliament Building"
"111","鼎泰豐","Ding Taifeng"
"112","义安城","Ngee Ann City"
"113","洛阳大伯公宫","Luoyang Dabogong Palace"
"114","添好运","Tim good luck"
"115","永成餐室","Yongcheng dining room"
"116","福康宁公园","Fort Canning Park"
"117","明辉活田鸡粥海鲜煮炒店","Minghui live-field chicken porridge seafood cooking shop"
"118","螃蟹之家","Crab House"
"119","麦里芝蓄水池","MacRitchie Reservoir"
"120","新加坡空军博物馆","Singapore Air Force Museum"
"121","麦士威路美食中心","Maxwell Road Food Centre"
"122","新加坡知新馆","Singapore New Museum"
"123","亨德申波浪桥","Henderson Wave Bridge"
"124","樟宜机场免税店","Changi Airport Duty Free Shop"
"125","亚坤咖椰吐司店","Yakun Coffee Coconut Toast Shop"
"126","苏丹回教堂","Sultan mosque"
"127","新加坡总统府","Singapore Presidential Palace"
"128","滨海湾花园超级树","Gardens by the Bay Supertree"
"129","观音堂佛祖庙","Guanyintang Buddha Temple"
"130","维多利亚剧院及音乐会堂","Victoria Theatre and Concert Hall"
"131","牛车水原貌馆","Chinatown Heritage Center"
"132","鼎泰丰（Chinatown Point）","Chinatown Point"
"133","拉萨尔设计学院","LaSalle School of Design"
"134","新加坡亚美尼亚教堂","Armenian Church, Singapore"
"135","新加坡中华总商会","Singapore Chinese Chamber of Commerce"
"136","马里安曼兴都庙","Sri Mariamman Temple"
"137","双螺旋桥","Double helix bridge"
"138","亚洲文明博物馆","Asian Civilization Museum"
"139","新加坡科学馆","Singapore Science Museum"
"140","芽笼九巷活田鸡","Geylang Jiu Lane Live Field Chicken"
"141","武吉知马熟食中心","Bukit Timah Cooked Food Centre"
"142","阿秋甜品","Aqiu dessert"
"143","斯里-维拉玛卡里雅曼兴都庙","Sri-Vila Makariya Mandu Temple"
"144","武吉知马自然保护区","Bukit Timah Nature Reserve"
"145","威南记海南鸡饭餐室","Weinanji Hainan Chicken Rice Dining Room"
"146","莲山双林寺","Lianshan Shuanglin Temple"
"147","河南肉骨大虾面","Henan meat bone prawns noodles"
"148","詹美回教堂","Jamie mosque"
