,name,coordinates
0,ArtScience Museum at Marina Bay Sands,"1.286262,103.859245"
1,Maxwell Food Centre,"1.280266,103.844788"
2,Arab Street,"1.300820,103.859657"
3,The Shoppes at Marina Bay Sands,"1.283610,103.858864"
4,East Coast Park,"1.298750,103.902710"
5,F1 - Singapore Grand Prix,"1.291437,103.861717"
6,MacRitchie Reservoir,"1.340620,103.832718"
7,Henderson Waves,"1.280770,103.821190"
8,Sungei Buloh Wetland Reserve,"1.446398,103.723061"
9,Fort Canning Park,"1.291990,103.845779"
10,Jewel Changi Airport,"1.360121,103.989792"
11,Haw Par Villa,"1.283590,103.782410"
12,Chinatown Heritage Centre,"1.283395,103.844376"
13,Chijmes,"1.294801,103.851959"
14,Science Centre Singapore,"1.332917,103.736000"
15,Peranakan Museum,"1.294078,103.849182"
16,VivoCity,"1.264023,103.821922"
17,Sultan Mosque,"1.302240,103.858978"
18,Wild Wild Wet,"1.377392,103.954895"
19,Suntec City,"1.294975,103.858994"
20,Boat Quay,"1.287040,103.849480"
21,Night Safari,"1.404070,103.793129"
22,Marina Barrage,"1.280591,103.870453"
23,Kampong Glam,"1.301324,103.860718"
24,ION Orchard,"1.304356,103.831879"
25,Singapore City Gallery,"1.279816,103.844963"
26,The Changi Museum,"1.362341,103.973999"
27,Bukit Timah Nature Reserve,"1.347783,103.776245"
28,The Pinnacle @ Duxton,"1.277310,103.841164"
29,Little India,"1.305710,103.851509"
30,The Intan,"1.314547,103.901093"
31,Mustafa Centre,"1.309851,103.855553"
32,Lau Pa Sat Festival Pavilion,"1.280500,103.850021"
33,National Library of Singapore,"1.297189,103.854378"
34,Raffles City,"1.293443,103.853065"
35,Takashimaya Singapore,"1.302902,103.835022"
36,Katong District,"1.307400,103.907402"
37,Emerald Hill,"1.305590,103.830803"
38,Singapore River,"1.291170,103.841652"
39,Kranji War Memorial,"1.418757,103.758118"
40,Mount Faber,"1.271120,103.819702"
41,Satay street,"1.280300,103.850403"
42,Parkview Square,"1.300090,103.857643"
43,National Stadium,"1.304407,103.874298"
44,Kuan Yin Thong Hood Cho Temple,"1.300970,103.852943"
45,Singapore Visitor Centre,"1.301427,103.838913"
46,Sri Veeramakaliamman Temple,"1.308050,103.852158"
47,Plaza Singapura,"1.300278,103.845062"
48,Lee Kong Chian Natural History Museum,"1.301583,103.773392"
