,area_list
0,/explore/locations/c2160986/singapore-singapore/
1,/explore/locations/c2890901/outram-singapore/
2,/explore/locations/c2890738/rochor-singapore-singapore/
3,/explore/locations/c2891078/dhoby-ghaut-singapore/
4,/explore/locations/c2161030/thomson-singapore/
5,/explore/locations/c2891084/singapore-river-singapore/
6,/explore/locations/c2160908/mok-peng-hiang-estate-singapore/
7,/explore/locations/c2161066/yishun-singapore/
8,/explore/locations/c2160783/kampong-jagoh-singapore/
9,/explore/locations/c2160867/kampong-wak-tanjong-singapore/
10,/explore/locations/c2891085/marine-parade-singapore/
11,/explore/locations/c2160722/happy-gardens-singapore/
12,/explore/locations/c2160658/brickworks-estate-singapore/
13,/explore/locations/c2161009/tampines-estate-singapore/
14,/explore/locations/c2160669/bukit-panjang-new-town-singapore/
15,/explore/locations/c2160638/ang-mo-kio-village-singapore/
16,/explore/locations/c2160666/bukit-merah-estate-singapore/
17,/explore/locations/c2160655/boon-lay-singapore/
18,/explore/locations/c2891088/hougang-singapore/
19,/explore/locations/c2160753/kalang-singapore/
20,/explore/locations/c2160758/kampong-ayer-gemuruh-singapore/
21,/explore/locations/c2160738/huat-choe-village-singapore/
22,/explore/locations/c2160965/sea-view-estate-singapore/
23,/explore/locations/c2160975/serangoon-new-town-singapore/
24,/explore/locations/c2160904/matilda-estate-singapore/
25,/explore/locations/c2160654/bishan-new-town-singapore/
26,/explore/locations/c2160855/kampong-tongkang-pechah-singapore/
27,/explore/locations/c2160693/chong-pang-village-singapore/
28,/explore/locations/c2161061/yew-tee-singapore/
29,/explore/locations/c2891082/tampines-singapore/
30,/explore/locations/c2160696/clementi-singapore/
31,/explore/locations/c2160681/chai-chee-estate-singapore/
32,/explore/locations/c2160922/ong-lee-village-singapore/
33,/explore/locations/c2160746/jurong-singapore/
34,/explore/locations/c2891076/bishan-singapore-singapore/
35,/explore/locations/c2161017/tay-keng-loon-estate-singapore/
36,/explore/locations/c2160752/kaki-bukit-estate-singapore/
37,/explore/locations/c2160983/simpang-bedok-singapore/
38,/explore/locations/c2161005/swiss-cottage-estate-singapore/
39,/explore/locations/c2160830/kampong-serangoon-kechil-singapore/
40,/explore/locations/c2161027/thomson-park-singapore/
41,/explore/locations/c2160875/kent-ridge-singapore/
42,/explore/locations/c2160668/bukit-panjang-estate-singapore/
43,/explore/locations/c2160670/bukit-sembawang-estate-singapore/
44,/explore/locations/c2160843/kampong-sungi-pinang-singapore/
45,/explore/locations/c2160656/boon-lay-resettlement-area-singapore/
46,/explore/locations/c2160872/keat-hong-singapore/
47,/explore/locations/c2161012/tanglin-halt-singapore/
48,/explore/locations/c2160808/kampong-pasir-ris-singapore/
49,/explore/locations/c2160820/kampong-radin-mas-singapore/
50,/explore/locations/c2160821/kampong-reteh-singapore/
51,/explore/locations/c2161008/tai-seng-singapore/
52,/explore/locations/c2161026/thomson-garden-estate-singapore/
53,/explore/locations/c2160964/sarang-rimau-singapore/
54,/explore/locations/c2160842/kampong-sungai-tengah-singapore/
55,/explore/locations/c2160688/chinese-gardens-singapore/
56,/explore/locations/c2160643/bamboo-grove-park-singapore/
57,/explore/locations/c2161004/sussex-estate-singapore/
58,/explore/locations/c2160912/mount-vernon-singapore/
59,/explore/locations/c2161018/teachers-housing-estate-singapore/
60,/explore/locations/c2890795/boon-lay-and-pioneer-singapore-singapore/
61,/explore/locations/c2160661/bukit-batok-singapore/
