"","poi_name","poi_url","area","pk","address","lat","lng","facebook_places_id"
"0","Singapore","/explore/locations/274029466/singapore/","singapore","274029466","","1.29306","103.856","105565836144069"
"1","Singapore Flyer","/explore/locations/629455/singapore-flyer/","singapore","629455","30 Raffles Avenue","1.2904803358282","103.86171080364001","137115480503"
"2","Suntec City","/explore/locations/214915653/suntec-city/","singapore","214915653","3 Temasek Boulevard","1.2946744534402","103.85848862876","265350516883491"
"3","National Stadium, Singapore","/explore/locations/826259/national-stadium-singapore/","singapore","826259","2 Stadium Walk, 397718","1.3039685058333998","103.87390589348","143057532372732"
"4","Suntec Singapore Convention & Exhibition Centre","/explore/locations/1740420/suntec-singapore-convention-exhibition-centre/","singapore","1740420","1 Raffles Boulevard Suntec City","1.29216","103.8589935","136876326356360"
"5","Singapore Indoor Stadium","/explore/locations/235388838/singapore-indoor-stadium/","singapore","235388838","","1.300694","103.874222","102301286491249"
"6","Pan Pacific Singapore","/explore/locations/42124/pan-pacific-singapore/","singapore","42124","7 Raffles Boulevard, Marina Square","1.29216","103.85899","154187901296185"
"7","Marina Square","/explore/locations/1819344/marina-square/","singapore","1819344","6 Raffles Boulevard","1.29122","103.8578","655525777793666"
"8","CHIJMES","/explore/locations/1273463/chijmes/","singapore","1273463","30 Victoria Street","1.2951528875004998","103.85215246948","168158153212861"
"9","Raffles Hotel Singapore","/explore/locations/121472/raffles-hotel-singapore/","singapore","121472","1 Beach Road","1.2947778662034","103.85312418028","298489910165453"
"10","Fairmont Singapore","/explore/locations/642296/fairmont-singapore/","singapore","642296","80 Bras Basah Road","1.29428","103.85379","136337851473"
"11","The Ritz-Carlton, Millenia Singapore","/explore/locations/322475702/the-ritz-carlton-millenia-singapore/","singapore","322475702","7 Raffles Avenue","1.29047","103.86005","197141163665025"
"12","Swissotel The Stamford","/explore/locations/366284/swissotel-the-stamford/","singapore","366284","2 Stamford Road","1.2933157169747","103.85337352753","85142722874"
"13","Mandarin Oriental, Singapore","/explore/locations/213590389/mandarin-oriental-singapore/","singapore","213590389","5 Raffles Avenue","1.290779","103.8583236","119921254687750"
"14","Helix Bridge","/explore/locations/214948832/helix-bridge/","singapore","214948832","Marina Bay","1.2876222222221998","103.86059722222001","141185579238232"
"15","Singapore Grand Prix","/explore/locations/370118225/singapore-grand-prix/","singapore","370118225","Marina Bay Formula 1 Street Circuit","1.29197","103.86381","102227592190"
"16","Raffles City Singapore","/explore/locations/557087520/raffles-city-singapore/","singapore","557087520","252 North Bridge Road, Raffles City","1.29383","103.85333","171286852969235"
"17","Conrad Centennial Singapore","/explore/locations/109314/conrad-centennial-singapore/","singapore","109314","Two Temasek Boulevard","1.29352","103.85875","250344586855"
"18","InterContinental Singapore","/explore/locations/428943/intercontinental-singapore/","singapore","428943","80 Middle Road","1.2984448827594","103.85506800115","116555521346"
"19","Singapore F1 Pit Building","/explore/locations/286933/singapore-f1-pit-building/","singapore","286933","unknown","0.0","0.0","0"
"20","Carlton Hotel Singapore","/explore/locations/213260454/carlton-hotel-singapore/","singapore","213260454","76 Bras Basah Road","1.2959200000000002","103.85247","137829469754469"
"21","JW Marriott Hotel Singapore South Beach","/explore/locations/180079569072848/jw-marriott-hotel-singapore-south-beach/","singapore","180079569072848"," 30 Beach Road, Access via Nicoll Highway","1.29708","103.85771","180079569072848"
