"","poi","no.of.visitors"
"1","Gardens by the Bay",884283
"2","The Helix Bridge",668324
"3","Resort World Sentosa-Casino",646746
"4","VIVO City",603248
"5","Siloso Beach",467508
"6","East Coast Park",431497
"7","ION Orchard",371133
"8","Harbourfront Centre",349740
"9","Marina Bay Sands Expo & Convention Centre",341334
"10","Marina Bay Sands-Casino",328066
"11","Gardens by The Bay-Cloud Forest",312934
"12","Ngee Ann City",286058
"13","Marina Bay Sands The Shoppes",253086
"14","Singapore Zoo",230316
"15","Gardens by The Bay-Flower Dome",223622
"16","Sentosa 4D AdventureLand",220628
"17","FestiveWalk at Resorts World Sentosa",216672
"18","Masjid Abdul Gafoor",213230
"19","Lucky Plaza",196084
"20","Sultan Mosque",172455
"21","Bugis Street",172124
"22","Bugis Junction",163581
"23","Syed Alwi Road eateries",154255
"24","Chien Chi Tow Healthcare Pte Ltd",138755
"25","Mustafa Centre",137691
"26","Merlion Park",137426
"27","Chinatown Heritage Centre(Pagoda Street)",132325
"28","Sri Mariamman Temple(South Bridge Road)",129085
"29","RWS Convention Centre",128269
"30","Skyline Luge Sentosa",124546
"31","G-max Reverse Bungee",124141
"32","Singapore Botanic Gardens",121643
"33","Mandarin Orchard",121229
"34","Madame Tussauds Singapore & Images of Singapore LIVE",118542
"35","Cathedral of the Good Shepard",111826
"36","Esplanade - Theatres on the Bay",108489
"37","Waterloo Centre",100454
"38","313 @ Somerset",99835
"39","Fort Canning Park",95168
"40","Paragon",92530
"41","Merlion Plaza",92290
"42","Flying Trapeze",87082
"43","Sri Veeramakaliamman Temple",85523
"44","Siloso Point",85101
"45","Anderson Bridge",81523
"46","Esplanade Park",79958
"47","Victoria Theatre & Victoria Concert Hall",78040
"48","Wisma Atria SC",78040
"49","Zouk",75351
"50","Singapore Cable Car",71472
"51","Raffles City Shopping Centre",68822
"52","Food Playground",64643
"53","Royal Thai Embassy",64013
"54","Mount Faber Park",63703
"55","Marina Square",57673
"56","Chinatown Street Market",56573
"57","Mint Museum of Toys",54862
"58","Kampong Kapor Methodist Church",52867
"59","Jurong Bird Park",51891
"60","Faber Peak",51075
"61","Kwan Im Thong Hood Cho Temple",50440
"62","Marriott Hotel + CK Tang",50109
"63","Suntec City Mall",45298
"64","RWS-Others",43889
"65","Plaza Singapura",43666
"66","The National Kitchen by Violet Oon Singapore",42844
"67","Old Hill Street Police Station",42530
"68","Thian Hock Kheng Temple",41395
"69","City Square Mall",41087
"70","Suntec City Convention and Exhibition Centre",40729
"71","Battlebox",40127
"72","St Andrew's Cathedral",39281
"73","Jurong Point Shopping Centre",38746
"74","Geylang Bazaar Area Along Haig Road (Geylang Serai Community Club)",37771
"75","Peranakan Museum(arts)",37686
"76","Singapore Visitor Centre",36299
"77","Maghain Aboth Synagogue",35768
"78","The Gem Museum",35633
"79","Campbell Lane+Indian Heritage Centre",34542
"80","Chinatown Point",34453
"81","People's Association Headquarters",34256
"82","Wonder Full - Light and Water Spectacular Wonder Full",34173
"83","Museum Label",34031
"84","The Refinery",33527
"85","Bugis+",33271
"86","Lucky Chinatown",30598
"87","Delfi Orchard",29100
"88","The Heritage Shop",28949
"89","Kitchener Complex",28528
"90","COMO House",28486
"91","Aliwal Arts Centre",27621
"92","Raffles Landing Site",26403
"93","River Cruise Jetties - Boat Quay",25571
"94","Sungei Buloh Wetlands",24631
"95","Tiramisu Hero",24604
"96","Chinatown Plaza",24499
"97","Shaw House",22710
"98","Orchard Gateway Mall",22074
"99","Causeway Point",21710
"100","iFly Singapore",20142
"101","The Cenotaph Singapore",19921
"102","IMM",19655
"103","Indian National Army Monument",19646
"104","JEM Jurong",19515
"105","Sri Krishnan Temple",18385
"106","Westgate",18354
"107","NEX @ Serangoon",18086
"108","Orchard Central",17778
"109","Bukit Timah Nature Reserve",17738
"110","Red Dot Museum",17384
"111","Bao Makers",17358
"112","NorthPoint Shopping Centre",17323
"113","Dolphin Island",16831
"114","Tudor Court",16073
"115","Jamae Mosque(South Bridge Road)",14633
"116","Bedok Mall",14329
"117","Knightsbridge",14310
"118","Mount Elizabeth Hospital",14196
"119","Bukit Pasoh Street(cafesrestaurantsclans)",13406
"120","Little India Arcade Shops",13099
"121","Druggists",13054
"122","Keong Saik Street(cafesrestaurantsclans)",12869
"123","Peoples Park Complex",11123
"124","National Gallery Singapore",10814
"125","River Cruise Jetties - Clarke Quay Read Bridge",10778
"126","Malay Heritage Centre",9991
"127","Lim Bo Seng Memorial",9791
"128","Project Oasis in Little India",9718
"129","National Museum of Singapore(arts)",9717
"130","Sim Lim Square",9626
"131","Robertson Walk",9418
"132","AMK Hub",9112
"133","Crazy Elephant",9041
"134","Tampines Mall",8950
"135","Beauty World Centre",8844
"136","SCAPE",8683
"137","Emerald Hill",8606
"138","Wheelock Place",8491
"139","Waterway Point",8400
"140","Novena Square",8396
"141","Far East Plaza",8131
"142","Wave House Sentosa",7184
"143","Gogreen Segway Eco Adventure",6942
"144","Shanghai Dolly",6734
"145","Geylang Bazaar Area Outside Eunos MRT Area",6669
"146","Golden Mile Complex",6390
"147","Marina Barrage",6225
"148","JCUBE",6196
"149","OG Albert Complex",6115
"150","Kallang Wave Mall",6013
"151","Bishan Junction 8 Shopping Centre",5789
"152","Parkway Parade",5725
"153","China Square Central Flea Market",5487
"154","Malabar Mosque",5377
"155","Singapore Flyer",5222
"156","Sentosa Nature Discovery",5151
"157","Robertson Quay",5134
"158","Tanjong Beach Club",5120
"159","Sun Plaza",5095
"160","Chinatown Food Street(Smith Street)",5052
"161","Kwan Im Tng Temple",4949
"162","KidZania Singapore",4789
"163","Jamal Kazura Aromatics",4556
"164","Boon Lay Shopping Centre",4542
"165","Clarke Quay Central",4496
"166","Imbiah Lookout",4368
"167","Sentosa Golf Club",4359
"168","Fu Lu Shou Complex",3989
"169","Buddha Tooth Relic Temple(Sago Street)",3958
"170","Compass Point",3865
"171","Ann Siang Hill",3859
"172","Let's Go Bike Singapore",3783
"173","Citylink Mall",3652
"174","Far East Shopping Centre",3640
"175","Butterfly Park & Insect Kingdom",3616
"176","Clementi Mall",3264
"177","Roxy Square",3248
"178","Tanjong Pagar Centre",3237
"179","Star Vista",3190
"180","Millenia Walk",2998
"181","Deck",2897
"182","Chinatown Visitors Centre(Sago Street)",2765
"183","Thekchen Choling Temple",2518
"184","Centrepoint Shopping Centre",2501
"185","Katong Square",2404
"186","Changi City Point",2331
"187","Tiong Bahru Plaza",2302
"188","Shaw Centre",2277
"189","Joo Chiat Shopping Complex",2244
"190","Cavanagh Bridge",2242
"191","The Banana Leaf Apolo",2033
"192","Central Fire Station",1998
"193","Fairprice Hub",1964
"194","Timbre",1955
"195","Haji Lane",1896
"196","Sheng Siong Bedok Reservoir",1885
"197","Square II",1798
"198","Orchard Towers",1613
"199","Rochester Mall & Park Aveune Rochester Hotel",1613
"200","Bussorah Mall",1556
"201","Great World City",1555
"202","Aperia",1501
"203","Lot 1 Shoppers Mall",1492
"204","Eurasian Association",1463
"205","Hajar Fatimah Mosque",1433
"206","Fortune Centre",1408
"207","Chijmes",1406
"208","Tampines 1",1355
"209","Orchard Cineleisure",1296
"210","Leisure Park Kallang",1277
"211","Capitol Galleria",1246
"212","The Heeren",1216
"213","Gogreen Cycle & Island Explorer",1183
"214","The Seletar Mall",1179
"215","City Plaza",1017
"216","Yew Tee Point",961
"217","Burlington Square",942
"218","Palawan Beach",938
"219","Civil Defence Heritage Gallery",898
"220","The Original Singapore Walks",874
"221","Bras Basah Complex",868
"222","Civilian War Memorial",856
"223","Bukit Panjang Plaza",849
"224","Singapore City Gallery",845
"225","Scotts Square",835
"226","Century Square",817
"227","The Arts House",773
"228","Tekka Centre",765
"229","I12 Katong",747
"230","IKEA Tampines",731
"231","West Mall",723
"232","Cultural POIs-Katong Antique House",704
"233","Singapore Coins and Notes Museum",702
"234","East Coast Road Pastel Coloured Shophouses",700
"235","Tanglin Mall",669
"236","The Vault",641
"237","Trishaw Park",638
"238","Katong Red House",635
"239","Textile Centre",634
"240","River Cruise Jetties - Robertson Quay Clemenceau Bridge",593
"241","Mustard",587
"242","Bake It Yourself",575
"243","White Sand Shopping Centre",562
"244","Rumah Bebe",545
"245","Peoples Park Centre",532
"246","Hougang Mall",452
"247","Orchard Gateway@Emerald",426
"248","OG Peoples Park",418
"249","Fort Siloso",414
"250","The Adelphi",404
"251","Forum Shopping Mall",400
"252","Icon Village",397
"253","Clemenceau Bridge",383
"254","United Square",351
"255","Ord Bridge",344
