,POI,eng_name,link,num_reviews,poi_is_english
0,"
                                                                            滨海湾金沙酒店与金沙空中花园
                                                                          
                                    ",Marina Bay Sands Hotel and Sands Sky Park,//place.qyer.com/poi/V2YJalFkBzBTbA/,"
                                        873人点评
                                    ",
1,"
                                                                            圣淘沙岛
                                                                          
                                    ",Sentosa Island,//place.qyer.com/poi/V2AJZ1FjBzJTbQ/,"
                                        907人点评
                                    ",
2,"
                                                                            新加坡环球影城
                                                                          
                                    ",Universal Studios Singapore,//place.qyer.com/poi/V2AJZ1FjBzBTZg/,"
                                        815人点评
                                    ",
3,"
                                                                            滨海湾花园
                                                                          
                                    ",Gardens by the bay,//place.qyer.com/poi/V2UJY1FlBzZTZFI3/,"
                                        525人点评
                                    ",
4,"
                                                                            圣淘沙名胜世界
                                                                          
                                    ",Resorts World Sentosa,//place.qyer.com/poi/V20JZVFmBz5TYg/,"
                                        389人点评
                                    ",
5,"
                                                                            新加坡摩天观景轮
                                                                          
                                    ",Singapore Flyer,//place.qyer.com/poi/V2EJYlFhBzdTYQ/,"
                                        703人点评
                                    ",
6,"
                                                                            克拉码头
                                                                          
                                    ",Clarke Quay,//place.qyer.com/poi/V2EJalFiBz5TYw/,"
                                        872人点评
                                    ",
7,"
                                                                            新加坡动物园
                                                                          
                                    ",Singapore Zoological Gardens,//place.qyer.com/poi/V2AJa1FuBz5TYA/,"
                                        470人点评
                                    ",
8,"
                                                                            鱼尾狮公园
                                                                          
                                    ",Merlion Park,//place.qyer.com/poi/V2MJYFFvBzZTZQ/,"
                                        1539人点评
                                    ",
9,"
                                                                            滨海湾花园超级树
                                                                          
                                    ",Solar Supertrees,//place.qyer.com/poi/V2UJYVFkBzJTYFI4/,"
                                        181人点评
                                    ",
10,"
                                                                            乌节路
                                                                          
                                    ",Orchard Rd,//place.qyer.com/poi/V2EJYlFhBzBTYw/,"
                                        1000人点评
                                    ",
11,"
                                                                            新加坡植物园
                                                                          
                                    ",Singapore Botanic Gardens,//place.qyer.com/poi/V2AJalFmBzRTZQ/,"
                                        353人点评
                                    ",
12,"
                                                                            莱佛士酒店
                                                                          
                                    ",Raffles Hotel,//place.qyer.com/poi/V2cJZFFnBzNTYA/,"
                                        243人点评
                                    ",
13,"
                                                                            圣淘沙鱼尾狮塔
                                                                          
                                    ",Sentosa Merlion,//place.qyer.com/poi/V2cJa1FgBzdTYw/,"
                                        890人点评
                                    ",
14,"
                                                                            滨海艺术中心
                                                                          
                                    ",Esplanade - Theatres on the Bay,//place.qyer.com/poi/V2EJZlFuBzBTYw/,"
                                        341人点评
                                    ",
15,新加坡夜间野生动物园  ,Night Safari of Singapore,//place.qyer.com/poi/V2EJZlFlBzFTZA/,509人点评,
16,新加坡河  ,Singapore River,//place.qyer.com/poi/V2UJYVFnBz9TbVI4/,140人点评,
17,螺旋桥  ,Helix Bridge,//place.qyer.com/poi/V20JZVFmBz5TYw/,331人点评,
18,牛车水原貌馆  ,Chinatown Heritage Centre,//place.qyer.com/poi/V2AJa1FvBz5TYQ/,418人点评,
19,新加坡佛牙寺龙华院  ,Buddha Tooth Relic Temple & Museum,//place.qyer.com/poi/V2EJZlFvBzJTYA/,232人点评,
20,新加坡S.E.A. 海洋馆  ,S.E.A. Aquarium,//place.qyer.com/poi/V2UJYlFuBzVTbVI_/,168人点评,
21,新加坡圣安德烈教堂  ,St. Andrew's Cathedral in Singapore,//place.qyer.com/poi/V2MJYFFuBz9TbA/,187人点评,
22,哈芝巷  ,Haji Lane,//place.qyer.com/poi/V2EJa1FmBzJTZw/,186人点评,
23,新加坡总统府  ,Istana,//place.qyer.com/poi/V2EJZlFvBzRTYQ/,150人点评,
24,艺术科学博物馆  ,ArtScience Museum,//place.qyer.com/poi/V2UJY1FuBzZTY1I5/,106人点评,
25,新加坡小印度  ,Little India,//place.qyer.com/poi/V2AJa1FuBzBTZw/,777人点评,
26,新加坡国家博物馆  ,National Museum of Singapore,//place.qyer.com/poi/V2wJZFFkBzJTZw/,134人点评,
27,西罗索海滩  ,"Siloso Beach Resort, Sentosa",//place.qyer.com/poi/V2YJalFnBzFTYQ/,171人点评,
28,新加坡马里安曼兴都庙  ,Sri Mariamman Temple,//place.qyer.com/poi/V2EJYFFmBzNTZg/,264人点评,
