POI_INDEX,POI_CHINESE_NAME,POI_RAW_NAME,URL,TOTAL_REVIEWS,POI_CHINESE_NAME_IS_ENGLISH,POI_NAME,POI_CHINESE_NAME_TRANSLATED,POI_NAME_IS_TRANSLATED,WEBSITE_INDEX
0,"
                                                                            滨海湾金沙酒店与金沙空中花园
                                                                          
",Marina Bay Sands Hotel and Sands Sky Park,//place.qyer.com/poi/V2YJalFkBzBTbA/,873,NA,Marina Bay Sands Hotel and Sands Sky Park,Marina Bay Sands Hotel and Golden Sands Sky Garden,0,4
1,"
                                                                            圣淘沙岛
                                                                          
",Sentosa Island,//place.qyer.com/poi/V2AJZ1FjBzJTbQ/,907,NA,Sentosa Island,Sentosa Island,0,4
2,"
                                                                            新加坡环球影城
                                                                          
",Universal Studios Singapore,//place.qyer.com/poi/V2AJZ1FjBzBTZg/,815,NA,Universal Studios Singapore,Universal Studios Singapore,0,4
3,"
                                                                            滨海湾花园
                                                                          
",Gardens by the bay,//place.qyer.com/poi/V2UJY1FlBzZTZFI3/,525,NA,Gardens by the bay,Gardens by the Bay,0,4
4,"
                                                                            圣淘沙名胜世界
                                                                          
",Resorts World Sentosa,//place.qyer.com/poi/V20JZVFmBz5TYg/,389,NA,Resorts World Sentosa,Resorts World Sentosa,0,4
5,"
                                                                            新加坡摩天观景轮
                                                                          
",Singapore Flyer,//place.qyer.com/poi/V2EJYlFhBzdTYQ/,703,NA,Singapore Flyer,Singapore Flyer,0,4
6,"
                                                                            克拉码头
                                                                          
",Clarke Quay,//place.qyer.com/poi/V2EJalFiBz5TYw/,872,NA,Clarke Quay,Clarke Quay,0,4
7,"
                                                                            新加坡动物园
                                                                          
",Singapore Zoological Gardens,//place.qyer.com/poi/V2AJa1FuBz5TYA/,470,NA,Singapore Zoological Gardens,Singapore Zoo,0,4
8,"
                                                                            鱼尾狮公园
                                                                          
",Merlion Park,//place.qyer.com/poi/V2MJYFFvBzZTZQ/,1539,NA,Merlion Park,Merlion Park,0,4
9,"
                                                                            滨海湾花园超级树
                                                                          
",Solar Supertrees,//place.qyer.com/poi/V2UJYVFkBzJTYFI4/,181,NA,Solar Supertrees,Gardens by the Bay Super Tree,0,4
10,"
                                                                            乌节路
                                                                          
",Orchard Rd,//place.qyer.com/poi/V2EJYlFhBzBTYw/,1000,NA,Orchard Rd,WuJie Road,0,4
11,"
                                                                            新加坡植物园
                                                                          
",Singapore Botanic Gardens,//place.qyer.com/poi/V2AJalFmBzRTZQ/,353,NA,Singapore Botanic Gardens,Singapore Botanical Garden,0,4
12,"
                                                                            莱佛士酒店
                                                                          
",Raffles Hotel,//place.qyer.com/poi/V2cJZFFnBzNTYA/,243,NA,Raffles Hotel,Raffles Hotel,0,4
13,"
                                                                            圣淘沙鱼尾狮塔
                                                                          
",Sentosa Merlion,//place.qyer.com/poi/V2cJa1FgBzdTYw/,890,NA,Sentosa Merlion,Sentosa Merlion Tower,0,4
14,"
                                                                            滨海艺术中心
                                                                          
",Esplanade - Theatres on the Bay,//place.qyer.com/poi/V2EJZlFuBzBTYw/,341,NA,Esplanade - Theatres on the Bay,Esplanade,0,4
15,新加坡夜间野生动物园  ,Night Safari of Singapore,//place.qyer.com/poi/V2EJZlFlBzFTZA/,509,NA,Night Safari of Singapore,Singapore Night Safari,0,4
16,新加坡河  ,Singapore River,//place.qyer.com/poi/V2UJYVFnBz9TbVI4/,140,NA,Singapore River,Singapore River,0,4
17,螺旋桥  ,Helix Bridge,//place.qyer.com/poi/V20JZVFmBz5TYw/,331,NA,Helix Bridge,Spiral bridge,0,4
18,牛车水原貌馆  ,Chinatown Heritage Centre,//place.qyer.com/poi/V2AJa1FvBz5TYQ/,418,NA,Chinatown Heritage Centre,Chinatown Heritage Center,0,4
