POI_INDEX,ASPECTS,ATTRACTION_TYPES,ASPECTS_CRAWLED_TIME
1,flower dome,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.162380
1,light show,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.178771
1,cloud forest,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.195397
1,super trees,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.211427
1,sky walk,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.228103
1,ocbc skyway,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.245224
1,supertree grove,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.273937
1,satay,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.295088
1,plants and flowers,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.316189
1,beautiful garden,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.332171
1,air conditioned,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.353612
1,visiting singapore,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.373402
1,walk around,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.393021
1,domes,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.411009
1,waterfall,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.428113
1,observatories,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.445344
1,avatar,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.461852
1,nature,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.478092
1,walkway,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.495026
1,flora,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.510952
1,heat,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.527370
1,mrt,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:25:41.544171
2,orchid garden,"Nature & Parks, Gardens",2020-02-21 20:25:54.840949
2,swan lake,"Nature & Parks, Gardens",2020-02-21 20:25:54.857851
2,evolution garden,"Nature & Parks, Gardens",2020-02-21 20:25:54.874196
2,busy city,"Nature & Parks, Gardens",2020-02-21 20:25:54.890094
2,children's garden,"Nature & Parks, Gardens",2020-02-21 20:25:54.906894
2,monitor lizards,"Nature & Parks, Gardens",2020-02-21 20:25:54.923968
2,free entry,"Nature & Parks, Gardens",2020-02-21 20:25:54.940125
2,few hours,"Nature & Parks, Gardens",2020-02-21 20:25:54.956535
2,plants and trees,"Nature & Parks, Gardens",2020-02-21 20:25:54.973641
2,hop on hop off bus,"Nature & Parks, Gardens",2020-02-21 20:25:54.990004
2,mrt station,"Nature & Parks, Gardens",2020-02-21 20:25:55.006711
2,entrance fee,"Nature & Parks, Gardens",2020-02-21 20:25:55.024563
2,couple of hours,"Nature & Parks, Gardens",2020-02-21 20:25:55.041545
2,orchard road,"Nature & Parks, Gardens",2020-02-21 20:25:55.057263
2,walk around,"Nature & Parks, Gardens",2020-02-21 20:25:55.073816
2,picnic,"Nature & Parks, Gardens",2020-02-21 20:25:55.091123
2,nature,"Nature & Parks, Gardens",2020-02-21 20:25:55.107493
2,lakes,"Nature & Parks, Gardens",2020-02-21 20:25:55.124259
2,ginger,"Nature & Parks, Gardens",2020-02-21 20:25:55.140995
2,turtles,"Nature & Parks, Gardens",2020-02-21 20:25:55.157700
2,paths,"Nature & Parks, Gardens",2020-02-21 20:25:55.173640
2,rainforest,"Nature & Parks, Gardens",2020-02-21 20:25:55.189970
3,polar bear,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.578683
3,night safari,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.595400
3,white tiger,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.612874
3,feeding times,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.629980
3,animal shows,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.646927
3,animals seem,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.663747
3,river safari,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.680577
3,their natural habitat,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.696876
3,tram ride,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.713356
3,public transport,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.730122
3,bird park,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.747251
3,orangutans,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.763779
3,enclosures,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.780223
3,kfc,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.798525
3,cage,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.816192
3,lions,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.832455
3,conservation,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.849613
3,rainforest,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.866998
3,species,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.884325
3,heat,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.900883
3,mrt,"Outdoor Activities, Nature & Parks, Zoos & Aquariums",2020-02-21 20:26:08.917125
4,beautiful orchids,"Nature & Parks, Gardens",2020-02-21 20:26:22.099281
4,cool house,"Nature & Parks, Gardens",2020-02-21 20:26:22.116627
4,orchid lovers,"Nature & Parks, Gardens",2020-02-21 20:26:22.133463
4,different varieties,"Nature & Parks, Gardens",2020-02-21 20:26:22.150562
4,entry fee,"Nature & Parks, Gardens",2020-02-21 20:26:22.167466
4,on display,"Nature & Parks, Gardens",2020-02-21 20:26:22.184340
4,small fee,"Nature & Parks, Gardens",2020-02-21 20:26:22.201004
4,well worth the visit,"Nature & Parks, Gardens",2020-02-21 20:26:22.217723
4,couple of hours,"Nature & Parks, Gardens",2020-02-21 20:26:22.234811
4,visiting singapore,"Nature & Parks, Gardens",2020-02-21 20:26:22.253534
4,botanic,"Nature & Parks, Gardens",2020-02-21 20:26:22.270327
4,shapes,"Nature & Parks, Gardens",2020-02-21 20:26:22.287710
4,beauty,"Nature & Parks, Gardens",2020-02-21 20:26:22.304231
4,hybrid,"Nature & Parks, Gardens",2020-02-21 20:26:22.320870
4,plants,"Nature & Parks, Gardens",2020-02-21 20:26:22.337894
4,species,"Nature & Parks, Gardens",2020-02-21 20:26:22.354104
4,camera,"Nature & Parks, Gardens",2020-02-21 20:26:22.370832
4,paths,"Nature & Parks, Gardens",2020-02-21 20:26:22.387622
4,thousands,"Nature & Parks, Gardens",2020-02-21 20:26:22.404518
4,heat,"Nature & Parks, Gardens",2020-02-21 20:26:22.422180
4,stroll,"Nature & Parks, Gardens",2020-02-21 20:26:22.437776
4,sgd,"Nature & Parks, Gardens",2020-02-21 20:26:22.454565
5,flower dome,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.431368
5,indoor waterfall,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.448010
5,global warming,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.464652
5,climate change,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.481827
5,different levels,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.499547
5,plant life,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.514873
5,beautiful plants,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.531380
5,afraid of heights,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.547969
5,air conditioned,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.564639
5,take your time,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.581412
5,visiting singapore,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.598159
5,bay,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.615904
5,flowers,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.632069
5,misting,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.648517
5,nature,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.665211
5,misty,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.681804
5,heat,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.698518
5,structure,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.715237
5,flora,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.731639
5,domes,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.748596
5,jacket,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.765615
5,conservatory,"Nature & Parks, Sights & Landmarks, Points of Interest & Landmarks, Gardens",2020-02-21 20:26:36.782358
6,infinity pool,"Sights & Landmarks, Observation Decks & Towers, Points of Interest & Landmarks",2020-02-21 20:26:50.249424
6,observation deck,"Sights & Landmarks, Observation Decks & Towers, Points of Interest & Landmarks",2020-02-21 20:26:50.265966
6,hotel guests,"Sights & Landmarks, Observation Decks & Towers, Points of Interest & Landmarks",2020-02-21 20:26:50.289141
6,sky park,"Sights & Landmarks, Observation Decks & Towers, Points of Interest & Landmarks",2020-02-21 20:26:50.311423
6,la vie,"Sights & Landmarks, Observation Decks & Towers, Points of Interest & Landmarks",2020-02-21 20:26:50.372252
