POI_INDEX,ASPECTS,ASPECTS_CRAWLED_TIME
1,flower dome,2020-02-15 07:45:14.292400
1,light show,2020-02-15 07:45:14.355563
1,cloud forest,2020-02-15 07:45:14.422692
1,super trees,2020-02-15 07:45:14.476899
1,sky walk,2020-02-15 07:45:14.527223
1,ocbc skyway,2020-02-15 07:45:14.590522
1,supertree grove,2020-02-15 07:45:14.650058
1,satay,2020-02-15 07:45:14.724285
1,plants and flowers,2020-02-15 07:45:14.791693
1,beautiful garden,2020-02-15 07:45:14.856964
1,air conditioned,2020-02-15 07:45:14.895054
1,visiting singapore,2020-02-15 07:45:14.948743
1,walk around,2020-02-15 07:45:15.009066
1,domes,2020-02-15 07:45:15.061057
1,waterfall,2020-02-15 07:45:15.122549
1,observatories,2020-02-15 07:45:15.188578
1,avatar,2020-02-15 07:45:15.253029
1,nature,2020-02-15 07:45:15.310259
1,walkway,2020-02-15 07:45:15.387903
1,flora,2020-02-15 07:45:15.437101
1,heat,2020-02-15 07:45:15.487787
1,mrt,2020-02-15 07:45:15.538891
2,orchid garden,2020-02-15 07:45:28.832092
2,swan lake,2020-02-15 07:45:28.883231
2,evolution garden,2020-02-15 07:45:28.934283
2,busy city,2020-02-15 07:45:28.995301
2,children's garden,2020-02-15 07:45:29.049406
2,monitor lizards,2020-02-15 07:45:29.094245
2,free entry,2020-02-15 07:45:29.155096
2,few hours,2020-02-15 07:45:29.220582
2,plants and trees,2020-02-15 07:45:29.284461
2,hop on hop off bus,2020-02-15 07:45:29.351142
2,mrt station,2020-02-15 07:45:29.399251
2,entrance fee,2020-02-15 07:45:29.450068
2,couple of hours,2020-02-15 07:45:29.514199
2,orchard road,2020-02-15 07:45:29.566679
2,walk around,2020-02-15 07:45:29.619400
2,picnic,2020-02-15 07:45:29.685458
2,nature,2020-02-15 07:45:29.732912
2,lakes,2020-02-15 07:45:29.783289
2,ginger,2020-02-15 07:45:29.826626
2,turtles,2020-02-15 07:45:29.877637
2,paths,2020-02-15 07:45:29.932546
2,rainforest,2020-02-15 07:45:29.978971
3,polar bear,2020-02-15 07:45:43.376142
3,night safari,2020-02-15 07:45:43.393638
3,white tiger,2020-02-15 07:45:43.411244
3,feeding times,2020-02-15 07:45:43.428437
3,animal shows,2020-02-15 07:45:43.446151
3,animals seem,2020-02-15 07:45:43.463465
3,river safari,2020-02-15 07:45:43.481115
3,their natural habitat,2020-02-15 07:45:43.497250
3,tram ride,2020-02-15 07:45:43.513872
3,public transport,2020-02-15 07:45:43.530124
3,bird park,2020-02-15 07:45:43.547164
3,orangutans,2020-02-15 07:45:43.564511
3,enclosures,2020-02-15 07:45:43.582649
3,kfc,2020-02-15 07:45:43.599462
3,cage,2020-02-15 07:45:43.614865
3,lions,2020-02-15 07:45:43.631039
3,conservation,2020-02-15 07:45:43.647884
3,rainforest,2020-02-15 07:45:43.664277
3,species,2020-02-15 07:45:43.681344
3,heat,2020-02-15 07:45:43.697875
3,mrt,2020-02-15 07:45:43.714466
4,beautiful orchids,2020-02-15 07:45:57.407601
4,cool house,2020-02-15 07:45:57.458752
4,orchid lovers,2020-02-15 07:45:57.499970
4,different varieties,2020-02-15 07:45:57.553496
4,entry fee,2020-02-15 07:45:57.600074
4,on display,2020-02-15 07:45:57.642709
4,small fee,2020-02-15 07:45:57.683803
4,well worth the visit,2020-02-15 07:45:57.728379
4,couple of hours,2020-02-15 07:45:57.769516
4,visiting singapore,2020-02-15 07:45:57.817055
4,botanic,2020-02-15 07:45:57.858247
4,shapes,2020-02-15 07:45:57.900480
4,beauty,2020-02-15 07:45:57.944733
4,hybrid,2020-02-15 07:45:57.992735
4,plants,2020-02-15 07:45:58.042779
4,species,2020-02-15 07:45:58.078529
4,camera,2020-02-15 07:45:58.116075
4,paths,2020-02-15 07:45:58.162162
4,thousands,2020-02-15 07:45:58.209006
4,heat,2020-02-15 07:45:58.250091
4,stroll,2020-02-15 07:45:58.293934
4,sgd,2020-02-15 07:45:58.335972
5,flower dome,2020-02-15 07:46:11.295539
5,indoor waterfall,2020-02-15 07:46:11.311832
5,global warming,2020-02-15 07:46:11.328583
