WEBSITE_ID,REVIEW_ID,TYPE,TEXT,RELEVANCE,COUNT,CONFIDENCE,SENTIMENT_SCORE,SENTIMENT_LABEL,SADNESS,JOY,FEAR,DISGUST,ANGER,MIXED_SENTIMENT,DISAMBIGUATION_SUBTYPE,DISAMBIGUATION_NAME,DISAMBIGUATION_RESOURCE
1,574458472,Location,Singapore,0.978348,2,0.999998,0.821839,positive,0.051541,0.871159,0.029234,0.008529,0.007258,,,Singapore,http://dbpedia.org/resource/Singapore
1,574458472,Facility,Sky Garden,0.770573,1,0.948142,0.352787,positive,0.047643,0.753467,0.020223,0.151303,0.009521,,,,
1,574455085,Quantity,15 minutes,0.978348,1,0.8,0,neutral,0.355169,0.171355,0.098367,0.278481,0.177527,,,,
1,574359377,Location,Asian city,0.978348,1,0.376682,0.986843,positive,0.010951,0.953025,0.022327,0.002336,0.013763,,,,
1,574276617,TwitterHandle,@,0.978348,1,0.8,0,neutral,0.086289,0.674726,0.017567,0.054929,0.007579,,,,
1,574263342,Location,Singapore,0.978348,1,0.99038,0.654748,positive,0.242867,0.238527,0.170005,0.085557,0.173007,,,Singapore,http://dbpedia.org/resource/Singapore
1,574103548,MusicGroup,Cherry Blossoms,0.963296,1,0.098268,0.688724,positive,0.07262,0.815118,0.018783,0.022071,0.031366,,,,
1,574103548,Location,Singapore,0.036792,1,0.998666,0.0,neutral,0.063872,0.281986,0.081331,0.078882,0.080026,,,Singapore,http://dbpedia.org/resource/Singapore
1,574008381,Location,Singapore,0.978348,1,0.99839,0.987625,positive,0.01744,0.792445,0.023623,0.027123,0.018231,,,Singapore,http://dbpedia.org/resource/Singapore
1,573984231,Quantity,18m,0.978348,1,0.8,0.993572,positive,0.370021,0.394921,0.02233,0.074525,0.060247,,,,
1,573919582,Quantity,8 hrs,0.963296,1,0.8,0.993926,positive,0.126304,0.793827,0.037387,0.007716,0.048323,,,,
1,573919582,Location,singapore,0.01348,1,0.995528,0.993926,positive,0.126304,0.793827,0.037387,0.007716,0.048323,,,Singapore,http://dbpedia.org/resource/Singapore
1,573901247,Location,Singapore,0.978348,1,0.994034,0.875458,positive,0.161837,0.674439,0.0526,0.017032,0.05671,,,Singapore,http://dbpedia.org/resource/Singapore
1,573889963,Facility,Bay Gardens,0.963296,1,0.778846,0.828004,positive,0.060758,0.874589,0.025193,0.008523,0.007781,,,,
1,573889963,Location,Singapore,0.472061,1,0.936443,0.828004,positive,0.060758,0.874589,0.025193,0.008523,0.007781,,,Singapore,http://dbpedia.org/resource/Singapore
1,573863756,Location,Singapore,0.978348,1,0.999,0.9349,positive,0.031038,0.868419,0.007535,0.010391,0.023662,,,Singapore,http://dbpedia.org/resource/Singapore
1,573852257,Facility,Botanic Gardens,0.978348,1,0.566421,0.902599,positive,0.198476,0.681138,0.083896,0.030527,0.03069,,['Location'],Hong_Kong_Zoological_and_Botanical_Gardens,http://dbpedia.org/resource/Hong_Kong_Zoological_and_Botanical_Gardens
