POI_INDEX,TOTAL_REVIEWS,RANKING,POI_TYPE,TRIP_TYPE,AVERAGE_RATING,RATING_5_COUNT,RATING_4_COUNT,RATING_3_COUNT,RATING_2_COUNT,RATING_1_COUNT,ABOUT,ADDRESS,ATTRIBUTES_CRAWLED_TIME
65,62,173,"Nature & Parks, Nature & Wildlife Areas",Family,4.161290322580645,19,34,9,0,0,"Take in sweeping views of the Singaporean Central Business District, have a meal at one of its food and retail outlets, and travel to Sentosa from the park. Mount Faber is certainly worth visiting, whether you’re looking for meal options or breathtaking city views.","109 Mount Faber Road Faber Peak | Faber Peak, Singapore 099203, Singapore",2020-01-31 10:21:03.316981
65,76,173,"Nature & Parks, Nature & Wildlife Areas",Couples,4.026315789473684,18,47,8,1,2,"Take in sweeping views of the Singaporean Central Business District, have a meal at one of its food and retail outlets, and travel to Sentosa from the park. Mount Faber is certainly worth visiting, whether you’re looking for meal options or breathtaking city views.","109 Mount Faber Road Faber Peak | Faber Peak, Singapore 099203, Singapore",2020-01-31 10:22:05.850058
65,37,173,"Nature & Parks, Nature & Wildlife Areas",Solo,4.054054054054054,11,17,9,0,0,"Take in sweeping views of the Singaporean Central Business District, have a meal at one of its food and retail outlets, and travel to Sentosa from the park. Mount Faber is certainly worth visiting, whether you’re looking for meal options or breathtaking city views.","109 Mount Faber Road Faber Peak | Faber Peak, Singapore 099203, Singapore",2020-01-31 10:23:09.082510
65,8,173,"Nature & Parks, Nature & Wildlife Areas",Business,4.375,3,5,0,0,0,"Take in sweeping views of the Singaporean Central Business District, have a meal at one of its food and retail outlets, and travel to Sentosa from the park. Mount Faber is certainly worth visiting, whether you’re looking for meal options or breathtaking city views.","109 Mount Faber Road Faber Peak | Faber Peak, Singapore 099203, Singapore",2020-01-31 10:23:53.262373
65,44,173,"Nature & Parks, Nature & Wildlife Areas",Friends,4.022727272727273,11,25,7,0,1,"Take in sweeping views of the Singaporean Central Business District, have a meal at one of its food and retail outlets, and travel to Sentosa from the park. Mount Faber is certainly worth visiting, whether you’re looking for meal options or breathtaking city views.","109 Mount Faber Road Faber Peak | Faber Peak, Singapore 099203, Singapore",2020-01-31 10:24:19.736695
66,20,174,"Shopping, Flea & Street Markets",Family,4.45,13,4,2,1,0,Certificate of Excellence,"Boon Tat St | Lau Pa Sat, Singapore, Singapore",2020-01-31 10:25:03.637958
66,48,174,"Shopping, Flea & Street Markets",Couples,4.166666666666666,24,16,2,4,2,Certificate of Excellence,"Boon Tat St | Lau Pa Sat, Singapore, Singapore",2020-01-31 10:25:39.043817
66,7,174,"Shopping, Flea & Street Markets",Solo,4.428571428571429,3,4,0,0,0,Certificate of Excellence,"Boon Tat St | Lau Pa Sat, Singapore, Singapore",2020-01-31 10:26:41.714355
66,2,174,"Shopping, Flea & Street Markets",Business,4.5,1,1,0,0,0,Certificate of Excellence,"Boon Tat St | Lau Pa Sat, Singapore, Singapore",2020-01-31 10:27:06.913931
66,27,174,"Shopping, Flea & Street Markets",Friends,3.962962962962963,10,11,3,1,2,Certificate of Excellence,"Boon Tat St | Lau Pa Sat, Singapore, Singapore",2020-01-31 10:27:28.418899
67,316,97,"Museums, History Museums",Family,4.439873417721519,179,108,22,3,4,This museum honors POWs who endured the Japanese occupation of Singapore in World War II. Their stories are told with an impressive collection of personal artifacts and news coverage. A British internee returned to the museum decades after the war to recreate the murals he’d painted on the walls of the original chapel – a moving insight into how those held prisoner found hope and comfort in any way possible.,"1000 Upper Changi Road North, Singapore 507707, Singapore",2020-01-31 10:28:14.082008
