WEBSITE_ID,REVIEW_ID,TYPE,TEXT,RELEVANCE,COUNT,CONFIDENCE,SENTIMENT_SCORE,SENTIMENT_LABEL,SADNESS,JOY,FEAR,DISGUST,ANGER,MIXED_SENTIMENT,DISAMBIGUATION_SUBTYPE,DISAMBIGUATION_NAME,DISAMBIGUATION_RESOURCE
1,737026707,Organization,Satay Solo Club,0.958279,1,0.653394,-0.310809,negative,0.562501,0.178706,0.084392,0.212311,0.081023,,,,
1,737026707,Location,Singapore,0.608422,1,0.997979,-0.310809,negative,0.562501,0.178706,0.084392,0.212311,0.081023,,,Singapore,http://dbpedia.org/resource/Singapore
1,737026707,Organization,Satay Club,0.399728,1,0.390591,-0.310809,negative,0.562501,0.178706,0.084392,0.212311,0.081023,,,,
1,736793765,Quantity,$26,0.958279,1,0.8,0.0,neutral,0.169898,0.144909,0.013596,0.034814,0.069303,,,,
1,736793765,Quantity,12 mins,0.713085,1,0.8,0.965356,positive,0.101974,0.621901,0.029998,0.243819,0.061625,,,,
1,736793765,Location,Singapore,0.086994,1,0.997941,0.570142,positive,0.051706,0.551084,0.019444,0.045766,0.067554,1,,Singapore,http://dbpedia.org/resource/Singapore
1,715194856,Location,Singapore,0.978348,1,0.999588,-0.971488,negative,0.363877,0.050794,0.733831,0.003219,0.014135,,,Singapore,http://dbpedia.org/resource/Singapore
1,694821212,Location,Singapore,0.978348,1,0.999592,0.861394,positive,0.116578,0.47873,0.176319,0.028864,0.1407,,,Singapore,http://dbpedia.org/resource/Singapore
1,673888038,Quantity,15 years,0.963296,1,0.8,0.0,neutral,0.142822,0.272711,0.122653,0.096229,0.038568,,,,
1,673888038,Quantity,One bit,0.716096,1,0.8,0.296673,positive,0.429558,0.081791,0.144693,0.472935,0.123527,,,,
1,645861843,Quantity,$0.70,0.963296,1,0.8,0,neutral,0.570768,0.166245,0.02627,0.038581,0.259274,,,,
1,645861843,Quantity,$5.50,0.760722,1,0.8,0,neutral,0.050344,0.55307,0.03586,0.33062,0.03756,,,,
1,643617516,Person,Satays,0.978348,1,0.488963,0.890147,positive,0.154728,0.178852,0.142412,0.062659,0.066318,,,,
1,630441190,Quantity,10 year,0.963296,1,0.8,0,neutral,0.467951,0.207025,0.049912,0.175836,0.09499,,,,
1,630441190,Location,Singapore,0.519966,1,0.999036,0,neutral,0.467951,0.207025,0.049912,0.175836,0.09499,,,Singapore,http://dbpedia.org/resource/Singapore
1,574727118,Quantity,40 minutes,0.978348,1,0.8,-0.983646,negative,0.241435,0.139868,0.035205,0.026565,0.219087,,,,
1,563232415,Quantity,$26,0.963296,1,0.8,0.615624,positive,0.408038,0.083558,0.115838,0.073958,0.328694,,,,
1,563232415,Quantity,20m,0.463024,1,0.8,0.639984,positive,0.064304,0.730632,0.071643,0.087526,0.076354,,,,
1,506821481,Person,Lu Pasat,0.978348,1,0.946468,0,neutral,0.240114,0.110106,0.133627,0.254893,0.301592,,,,
1,506603698,Person,Satays,0.978348,1,0.636267,0.622763,positive,0.123535,0.406737,0.094869,0.075634,0.131343,,,,
1,491112879,Location,Singapore,0.963296,1,0.992852,0.879417,positive,0.30835,0.599514,0.054469,0.013123,0.054343,,,Singapore,http://dbpedia.org/resource/Singapore
1,491112879,Organization,'s,0.879017,1,0.390075,0.882296,positive,0.027263,0.728088,0.024999,0.046395,0.101095,,,,
1,435145722,Person,Satays,0.963296,1,0.806177,0.994924,positive,0.131312,0.221037,0.015411,0.095366,0.084872,,,,
1,435145722,Location,Singapore,0.464492,1,0.998337,0.901851,positive,0.023438,0.433464,0.013694,0.008551,0.026797,,,Singapore,http://dbpedia.org/resource/Singapore
1,400755453,Location,Singapore,0.978348,1,0.998421,0.895453,positive,0.168012,0.292865,0.144472,0.081374,0.070962,,,Singapore,http://dbpedia.org/resource/Singapore
1,385996669,Location,Singapore,0.9999,2,0.999999,0,neutral,0.128701,0.299668,0.08257,0.076414,0.1663,,,Singapore,http://dbpedia.org/resource/Singapore
1,738975554,Location,Singapore,0.978348,1,0.999179,0.859194,positive,0.030771,0.362765,0.160894,0.141055,0.096786,,,Singapore,http://dbpedia.org/resource/Singapore
1,719987183,Facility,bay front park,0.978348,1,0.306754,0.932716,positive,0.252555,0.199707,0.326184,0.119218,0.098568,,,,
1,719359714,Location,Singapore,0.978348,1,0.994464,0.88914,positive,0.100084,0.705064,0.051548,0.033043,0.044255,,,Singapore,http://dbpedia.org/resource/Singapore
1,701427122,Location,Singapore,0.978348,2,0.999992,0.670886,positive,0.237354,0.250397,0.231158,0.098288,0.212338,,,Singapore,http://dbpedia.org/resource/Singapore
1,701427122,Company,YouTube,0.193668,1,0.989985,0.993757,positive,0.01737,0.689234,0.082372,0.111912,0.0627,,"['Website', 'Organization', 'BroadcastDistributor', 'FilmDistributor', 'VentureFundedCompany', 'AwardWinner']",YouTube,http://dbpedia.org/resource/YouTube
1,689994182,Location,Singapore,0.978348,1,0.998832,0,neutral,0.224097,0.122292,0.079221,0.047405,0.112151,,,Singapore,http://dbpedia.org/resource/Singapore
1,677142115,Facility,Lau Pa Sat Hawker Centre,0.963296,1,0.279322,0.0,neutral,0.18358,0.011854,0.089635,0.03763,0.185232,,,,
1,677142115,Facility,Hawker Centre,0.060879,1,0.407813,0.91024,positive,0.063461,0.622906,0.027033,0.01717,0.0724,,['Location'],Hawker_centre,http://dbpedia.org/resource/Hawker_centre
1,669056753,Quantity,$26,0.954265,1,0.8,-0.533482,negative,0.124335,0.064946,0.024742,0.011696,0.038142,,,,
1,669056753,Quantity,$41,0.874437,1,0.8,-0.533482,negative,0.124335,0.064946,0.024742,0.011696,0.038142,,,,
1,669056753,Location,Singapore,0.822737,1,0.993477,0.938813,positive,0.290884,0.554812,0.035622,0.10307,0.082144,,,Singapore,http://dbpedia.org/resource/Singapore
1,669056753,Quantity,2 cups,0.489121,1,0.8,0.485614,positive,0.276976,0.205667,0.046944,0.354073,0.201051,,,,
1,669056753,HealthCondition,cold,0.057898,1,0.733876,0.939419,positive,0.016055,0.815232,0.072574,0.005238,0.010642,,,,
1,665202079,Location,Singapore,0.978348,1,0.998626,0,neutral,0.155329,0.235367,0.130391,0.045104,0.064528,,,Singapore,http://dbpedia.org/resource/Singapore
1,651154289,Location,Singapore,0.978348,1,0.664216,0,neutral,0.457682,0.11911,0.05546,0.362533,0.171272,,,Singapore,http://dbpedia.org/resource/Singapore
1,646366120,Location,Singapore,0.978348,1,0.99201,0,neutral,0.117117,0.286956,0.06116,0.079545,0.073411,,,Singapore,http://dbpedia.org/resource/Singapore
1,645865079,Quantity,25 years,0.963296,1,0.8,-0.660338,negative,0.536424,0.030568,0.08846,0.555041,0.074912,,,,
1,645865079,Person,Alex,0.029197,1,0.995205,0.0,neutral,0.0,0.0,0.0,0.0,0.0,,,,
1,645819015,Facility,Lau Pa Sat hawker centre,0.978348,1,0.343222,0,neutral,0.158064,0.03185,0.051305,0.033612,0.146184,,,,
1,624446137,Location,Pa,0.963296,1,0.451701,0,neutral,0.065937,0.089985,0.073777,0.547283,0.060946,,,,
1,624446137,Location,Singapore,0.015476,1,0.942333,0,neutral,0.143019,0.54476,0.114529,0.062729,0.098024,,,Singapore,http://dbpedia.org/resource/Singapore
1,621220889,Location,Singapore,0.978348,1,0.991584,0.503303,positive,0.087354,0.638109,0.057319,0.030005,0.188768,,,Singapore,http://dbpedia.org/resource/Singapore
1,618526789,Person,Kuta,0.963296,1,0.448738,-0.682985,negative,0.281547,0.330184,0.252726,0.120766,0.05114,,,,
1,618526789,Location,Singapore,0.746294,1,0.997478,-0.682985,negative,0.281547,0.330184,0.252726,0.120766,0.05114,,,Singapore,http://dbpedia.org/resource/Singapore
1,587942634,Quantity,$35,0.963296,1,0.8,0.948686,positive,0.0348,0.753405,0.038622,0.027388,0.024465,,,,
1,587942634,Location,Singapore,0.647709,1,0.99792,0.948686,positive,0.0348,0.753405,0.038622,0.027388,0.024465,,,Singapore,http://dbpedia.org/resource/Singapore
1,573687720,Location,Singapore,0.978348,1,0.989708,0.96411,positive,0.065062,0.712161,0.072411,0.037972,0.061004,,,Singapore,http://dbpedia.org/resource/Singapore
1,570916585,Quantity,26 dollars,0.963296,1,0.8,0.912156,positive,0.135925,0.42218,0.046816,0.046169,0.096996,,,,
1,570916585,Quantity,20dollars,0.173361,1,0.8,0.709596,positive,0.054066,0.764247,0.014659,0.01088,0.017806,,,,
1,551895809,Person,Lau Pa,0.95577,1,0.515567,-0.621295,negative,0.173333,0.039555,0.068667,0.18495,0.243754,,,,
1,551895809,Location,Singapore,0.53091,2,0.997797,0.59618,positive,0.182129,0.375816,0.129508,0.135538,0.108908,,,Singapore,http://dbpedia.org/resource/Singapore
1,551895809,Quantity,$1,0.297082,1,0.8,0.0,neutral,0.093469,0.223797,0.072612,0.016986,0.120437,,,,
1,551895809,Person,booth,0.223141,1,0.65194,0.917729,positive,0.022905,0.736245,0.007612,0.01776,0.034493,,,,
1,540209032,Location,Singapore,0.978348,1,0.998387,0.663134,positive,0.103002,0.184603,0.15832,0.081904,0.125546,,,Singapore,http://dbpedia.org/resource/Singapore
1,492380114,Person,pitta,0.95577,1,0.658689,-0.917723,negative,0.569907,0.048448,0.17577,0.216373,0.240066,,,,
1,492380114,Quantity,$7,0.805387,1,0.8,0.41398,positive,0.248781,0.079182,0.10029,0.104301,0.112738,,,,
1,492380114,Quantity,2 minutes,0.724458,1,0.8,-0.504015,negative,0.504939,0.0551,0.208655,0.289781,0.201707,1,,,
1,492380114,Quantity,25 dollars,0.583184,1,0.8,0.41398,positive,0.244597,0.201755,0.020098,0.099608,0.148889,,,,
1,486094611,Quantity,20 dollars,0.978348,1,0.8,0,neutral,0.241862,0.243693,0.105498,0.164693,0.17499,,,,
1,485820220,Quantity,$0.70,0.958279,1,0.8,0.300023,positive,0.092663,0.234941,0.062191,0.523635,0.19188,,,,
1,485820220,Location,Singapore,0.608224,1,0.997435,0.874175,positive,0.30146,0.280695,0.266222,0.055245,0.104075,,,Singapore,http://dbpedia.org/resource/Singapore
