WEBSITE_ID,REVIEW_ID,TEXT,RELEVANCE,COUNT,SENTIMENT_SCORE,SENTIMENT_LABEL,SADNESS,JOY,FEAR,DISGUST,ANGER,MIXED_SENTIMENT
1,737026707,number of stall holders,0.766946,1,-0.355939,negative,0.333911,0.095565,0.134407,0.088087,0.359588,
1,737026707,Bok Choy,0.696549,1,0.951586,positive,0.132953,0.792229,0.011001,0.00624,0.012024,
1,737026707,teenage boy,0.654282,1,0.0,neutral,0.148001,0.611747,0.0219,0.100529,0.078097,
1,737026707,Great satay,0.645747,1,0.979359,positive,0.022332,0.735294,0.011234,0.014117,0.006124,
1,737026707,Satay Solo Club,0.638954,1,-0.310809,negative,0.562501,0.178706,0.084392,0.212311,0.081023,
1,737026707,skewers,0.619639,1,0.0,neutral,0.148001,0.611747,0.0219,0.100529,0.078097,
1,737026707,30yrs,0.597529,1,-0.310809,negative,0.562501,0.178706,0.084392,0.212311,0.081023,
1,737026707,family,0.55486,1,0.0,neutral,0.148001,0.611747,0.0219,0.100529,0.078097,
1,737026707,thing,0.527312,1,-0.355939,negative,0.333911,0.095565,0.134407,0.088087,0.359588,
1,737026707,devine,0.522532,1,0.0,neutral,0.148001,0.611747,0.0219,0.100529,0.078097,
1,737026707,chicken,0.518587,1,0.0,neutral,0.148001,0.611747,0.0219,0.100529,0.078097,
1,737026707,vendor,0.518587,1,0.951586,positive,0.132953,0.792229,0.011001,0.00624,0.012024,
1,737026707,beef,0.515332,1,0.951586,positive,0.148001,0.611747,0.0219,0.100529,0.078097,
1,737026707,Satay Club,0.483906,1,-0.310809,negative,0.562501,0.178706,0.084392,0.212311,0.081023,
1,737026707,Singapore,0.44257,1,-0.310809,negative,0.562501,0.178706,0.084392,0.212311,0.081023,
1,737026707,prawn,0.386079,1,0.0,neutral,0.148001,0.611747,0.0219,0.100529,0.078097,
1,736793765,whole experience,0.963183,1,0.886329,positive,0.051706,0.551084,0.019444,0.045766,0.067554,
1,736793765,satay street,0.942589,2,0.779572,positive,0.031699,0.414405,0.060297,0.094562,0.450059,
1,736793765,Food,0.614716,1,0.965356,positive,0.101974,0.621901,0.029998,0.243819,0.061625,
1,736793765,Satay,0.582773,1,0.956181,positive,0.07968,0.273189,0.014531,0.047745,0.082905,
1,736793765,order,0.580308,1,0.956181,positive,0.154757,0.074247,0.014674,0.034607,0.076817,
1,736793765,menu,0.552264,1,0.956181,positive,0.172402,0.072345,0.030681,0.058962,0.112264,
1,736793765,table,0.533377,1,0.965356,positive,0.101974,0.621901,0.029998,0.243819,0.061625,
1,736793765,chicken,0.527541,1,0.0,neutral,0.169898,0.144909,0.013596,0.034814,0.069303,
1,736793765,mins,0.526023,1,0.965356,positive,0.101974,0.621901,0.029998,0.243819,0.061625,
1,736793765,beef,0.521469,1,0.0,neutral,0.169898,0.144909,0.013596,0.034814,0.069303,
1,736793765,seat,0.51771,1,0.956181,positive,0.172402,0.072345,0.030681,0.058962,0.112264,
1,736793765,prawns,0.51771,1,0.965356,positive,0.169898,0.144909,0.013596,0.034814,0.069303,
1,736793765,trip,0.51771,1,-0.466646,negative,0.136909,0.557016,0.116288,0.011037,0.130313,
1,736793765,visit,0.413807,1,0.886329,positive,0.051706,0.551084,0.019444,0.045766,0.067554,
1,736793765,set,0.388785,1,0.0,neutral,0.169898,0.144909,0.013596,0.034814,0.069303,
1,736793765,Singapore,0.368491,1,0.570142,positive,0.051706,0.551084,0.019444,0.045766,0.067554,1
1,730258532,Best time,0.998167,1,0.770969,positive,0.066146,0.714454,0.062025,0.012113,0.024612,
1,730258532,Brilliant night,0.982065,1,0.949795,positive,0.090592,0.770183,0.094394,0.022723,0.031861,
1,730258532,evening,0.583891,1,0.770969,positive,0.066146,0.714454,0.062025,0.012113,0.024612,
1,730258532,roads,0.569398,1,0.770969,positive,0.066146,0.714454,0.062025,0.012113,0.024612,
