WEBSITE_ID,REVIEW_ID,OVERVALL_SCORE,LABEL
1,699666829,0.989882,positive
1,678443135,-0.938775,negative
1,675580985,0.736933,positive
1,630681774,0.982152,positive
1,617564957,0.468524,positive
1,538486434,-0.259401,negative
1,471786636,0.825874,positive
1,375629819,0.775958,positive
1,350387859,-0.945332,negative
1,739110948,0.768637,positive
1,659398505,0.823423,positive
1,656837918,0.910343,positive
1,650022787,0.951407,positive
1,627168396,0.894988,positive
1,626647325,0.681141,positive
1,620739786,0.567772,positive
1,596041368,-0.762544,negative
1,584977422,0.43468,positive
1,578693643,0.585438,positive
1,577566780,0.708328,positive
1,577316369,0.779129,positive
1,498097422,0.569478,positive
1,432290416,0.525728,positive
1,413731888,0.347636,positive
1,388140226,-0.542094,negative
1,374039423,-0.373276,negative
1,359636876,0.617666,positive
1,354902690,0.76877,positive
1,339786773,0.555557,positive
1,710716035,0.824987,positive
1,709495270,0.954999,positive
1,667968905,0.958073,positive
1,607022718,-0.466529,negative
1,544513141,0.979262,positive
1,482880933,0.898342,positive
1,444169120,-0.604471,negative
1,437697481,0.847976,positive
1,433053357,0.765643,positive
1,417787842,0.90839,positive
1,383598971,0.61274,positive
1,340420373,0.880405,positive
1,681786262,0.602908,positive
1,671931225,0.96902,positive
1,665507128,0.586495,positive
1,639057253,0.974069,positive
1,635351830,0.999957,positive
1,584281843,0.858654,positive
1,582560017,0.912612,positive
1,576161383,0.380586,positive
1,538206599,-0.587952,negative
1,485562089,0.833773,positive
1,420359682,0.750239,positive
1,394575567,0.854786,positive
