REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_ID,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME
,1,1,https://www.tripadvisor.com.sg/Profile/diinslc,739367614,15-01-2020,4,Great garden,"We had a great time at the Gardens by the Bay, especially exploring the domes. It’s pretty hot outside so it was hard to enjoy the gardens as much as we might have otherwise. Nevertheless, they are amazing.",01-2020,Travelled as a couple,2020-01-16 18:34:56.929730
,1,1,https://www.tripadvisor.com.sg/Profile/AirFuss,739359655,15-01-2020,5,Beautiful and well maintained,"We have been here two times. The flower dome is beautiful and colorful especially with different theme each time.

The cloud forest was awesome and it was cold there. There is a beautiful indoor waterfall. The types of plant change from broad leaf to coniferous type as you climb up the levels in the dome. There are carnivorous plants for display as well.

The supertrees are so huge and are lit up in the night. The skyway gives a lovely view of the garden and supertrees. There are free light and sound shows at 7:45 p.m. and 8:45 p.m. at the supertrees everyday.

The best part for kids is the children’s gardens where they can play with water in small fountains. Kids will enjoy to their fullest here.",09-2019,Travelled with family,2020-01-16 18:34:57.530081
,1,1,https://www.tripadvisor.com.sg/Profile/IanK2174,739332599,15-01-2020,4,A lit up night,"The light show was excellent, they have a few at separate times, we did the 7.45pm show.
A lot of people but the taxis & the buses were well organised in shambolic traffic so arriving and leaving was fine, take a cab if you can or go with an organised tour.
To me the highlights were the visit to the two domes, you had to pay an entrance fee but they were excellent.",01-2020,,2020-01-16 18:34:58.016094
,1,1,https://www.tripadvisor.com.sg/Profile/danae_mily,739323402,15-01-2020,5,Simply amazing,"We enjoyed it so much. You can visit them just to make a walk and enjoy the fantastic show with the trees ( at 19:45 & 20:45 every day) which is free of charge. Instead, along with the walk you can visit a variety of sightseeing such as the CLoud Forest , the Flower Dome and the OCBC Skywalk.",01-2020,Travelled as a couple,2020-01-16 18:34:58.483600
,1,1,https://www.tripadvisor.com.sg/Profile/minnesotans4,739268448,15-01-2020,5,Unbelievably beautiful!,"Few people can adequately describe the stunning beauty of the Gardens by the Bay and I am certainly not one of them just know it is a must see. We purchased the garden tour package which included admissions to the Flower Dome, Cloud Forest, and a 20 minute audio tour on a tram going by the art sculptures, Supertree grove, and outdoor gardens.
The Flower Dome was the largest glass greenhouse in the world. According to the guidebook, “it replicates a cool-dry climate featuring plants from the Mediterranean and semi-arid and semi-tropical areas in the world”. There were also beautiful floral Christmas displays throughout.
The Cloud Forest displayed the “cool moist climate of the tropical highlands of Southeast Asia, tropical America and Africa. The 35 foot cascading waterfall with plants on the wall was breathtaking.",12-2019,Travelled with family,2020-01-16 18:34:59.016843
,1,1,https://www.tripadvisor.com.sg/Profile/Kevin_Mumbai,739232013,15-01-2020,5,Definitely worth every penny,"Was a beautiful experience overall and a perfect place for a family visit. The flower dome, cloud forest, the far east kids playground, the supertrees and the rest of the gardens are a must-do while in Singapore. Save a full day to experience the whole area if travelling with kids. Perfect spot for some memorable photographs.",01-2020,Travelled with family,2020-01-16 18:35:03.114339
,1,1,https://www.tripadvisor.com.sg/Profile/richardhayes2,739231483,15-01-2020,5,New Year Holiday,What a fantastic free attraction. The Gardens By The Bay are probably the best gardens that we have visited in the world and are free to walk around. The Sky walk was excellent value for money. At night the light displays are out of this world. A short walk back to the marina on new years eve and we were treated to a fantastic firework display that seemed to go on forever (from 21:30hrs to 00:20hrs and all free to view.,12-2019,,2020-01-16 18:35:03.496377
,1,1,https://www.tripadvisor.com.sg/Profile/sdsimmons1,739224547,14-01-2020,5,Beautiful gardens and flowers,Don’t miss it! A true gem with plants from every continent in the world. I did the Floral Fantasy and Dome and enjoyed it thoroughly. I had heard of this garden and seen pictures but it was better than I had expected,01-2020,Travelled solo,2020-01-16 18:35:03.936952
,1,1,https://www.tripadvisor.com.sg/Profile/JoeGoGoGo,739223479,14-01-2020,3,Don’t bother with a ticket.,"It’s a delightful place, but all the best bits are free.
The Sky Walk is pretty short, crowded and no big deal.
The temperate (?) flower dome is full of daft lego exhibits.",01-2020,,2020-01-16 18:35:04.625270
,1,1,https://www.tripadvisor.com.sg/Profile/paulchickensoup,739217417,14-01-2020,4,Must Visit,"Inspiring! With the supertree grove in particular, stunning garden with loss to check out. Great establishment with restaurants, downside is that different attraction got its individual ticketing. Waste quite a lot of time just to line up.",01-2020,Travelled with friends,2020-01-16 18:35:05.183836
,1,2,https://www.tripadvisor.com.sg/Profile/andy19283,739354755,15-01-2020,4,All the hype!,"I went up to the bar at the sky park and what a view. The skies were a little cloudy hence not a clear vision. But I enjoyed a cocktail and relaxed during sunset. Lovely hotel but lots of people.
Best to visit during early hours. There is a shopping mall at the hotel and many eateries as well.",01-2020,,2020-01-16 18:35:20.531247
,1,2,https://www.tripadvisor.com.sg/Profile/Serial_Traveller,739270354,15-01-2020,3,There's Far More Impressive Skylines,"The creator of the Marina Bay Sands Skypark was smart. It was a license to print money. Of course, you're in Singapore, you have to go. But the Singapore skyline is not very impressive. It sure isn't New York, London, Tokyo, Bangkok or many others. It's a pretty small skyline. And as for the lightshow. That's incredibly weak. Not a patch on the one at the Bellagio, Las Vegas, or the one by The Address in Dubai. Singapore really needs to try better.",01-2020,,2020-01-16 18:35:20.929122
,1,2,https://www.tripadvisor.com.sg/Profile/colsktm,739176555,14-01-2020,2,Way too expensive,"Cost was over $100 for 2 Adults & 2 kids, way too much for the view.. we passed, then it rained, so lucky choice for us.",01-2020,Travelled with family,2020-01-16 18:35:21.507331
,1,2,https://www.tripadvisor.com.sg/Profile/shaniPiccolotti,739134647,14-01-2020,4,Amazing Pool,"You honestly stay here for the Pool. The hotel room was really basic for how much it costs to stay here. Nothing special, very basic and clean but not worth the price tag. The food, shops, and the service are amazing. There's a lot to do at all times either shopping, eating, dancing etc but the pool is where its at. The view, the food and drink was just amazing. It could have been a little warmer, the water is freezing but it was worth it to stay for one night.",12-2019,,2020-01-16 18:35:21.955160
,1,2,https://www.tripadvisor.com.sg/Profile/Mverpoorter11,739109288,14-01-2020,5,Landmark of Singapore,"Short layover in singapore, we cannot miss Marina Bay. They have beaches as well near which is a to do for next time",07-2019,,2020-01-16 18:35:22.372356
,1,2,https://www.tripadvisor.com.sg/Profile/MA66Hunter,739058950,14-01-2020,3,SO so,"One of those things they say you have to do, but wouldn't do it again. Great view, especially at night, but not really worth the fee or the crowd. Getting up was easy but had to wait in line 20mins for an elevator down.",01-2020,Travelled as a couple,2020-01-16 18:35:25.678488
,1,2,https://www.tripadvisor.com.sg/Profile/xAZAMBx,738977553,13-01-2020,3,Spoilt by inconsiderate campers!,"The view was nice and you could see a big part of singapore and (especially) gardens by the bay area. However, there were many people sitting down right beside the glass viewing ares and sits there for HOURS just to wait for the Supergrove light show at 8pm. Because of this, it is really hard to get a closer view of the city since space taken up by these INCONSIDERATE PEOPLE!. There is a restaurant above as well, however only open to hotel guests. The small beverage stand had very little variety of drinks and serves no food. And charges MIND BENDING prices for Tiger Beer (which is a horrible beer i might add). And in case youre wondering....no the pool is not accessible by non-hotel guests.",12-2019,,2020-01-16 18:35:26.092064
,1,2,https://www.tripadvisor.com.sg/Profile/angelasH6448OM,738794309,12-01-2020,5,Very efficient entry and cheerful staff,"Went at 10 am on a Monday got a self service ticket very easy. No queue to go in lift and staff cheerful and helpful
It was a clearish day so good views",01-2020,Travelled as a couple,2020-01-16 18:35:26.531128
,1,2,https://www.tripadvisor.com.sg/Profile/paulinea273,738785579,12-01-2020,5,not to be missed,"Make sure this is on your list of things to go to and see the views are amazing , we went at night but I’m sure it’s amazing during the day also .",01-2020,,2020-01-16 18:35:26.941917
