REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_ID,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME
,1,29,https://www.tripadvisor.com.sg/Profile/AirFuss,739353974,16-01-2020,3,Nice views from the top,"The views of the garden and the supertrees are beautiful. Supertrees look even more beautiful in the night when they light up.

As only limited number of people can go on the skyway at a time you get a queuing slot along with the ticket. On the skyway the coordinators keep asking you to move forward as the bridge needs to be empty before next group of people come in. It took around 10-15 minutes for us to cross the skyway along with taking few pictures.",09-2019,Family,2020-01-30 05:40:21.508211
,1,29,https://www.tripadvisor.com.sg/Profile/harrisonware,725788283,12-11-2019,5,Awesome views and Amazing Light Show,Great place to come with families and to do the skywalk and light show. The skywalk provided us with great view of the bay and the gardens. The light show was amazing and very well done. We really liked it here and there was nothing to wrong about it.,11-2019,Family,2020-01-30 05:40:21.875718
,1,29,https://www.tripadvisor.com.sg/Profile/Excursion31974983236,716727167,09-10-2019,4,doable during daytime; night show a must,The skyway is located at the site of the gardens by the bay! The evening light n sound show is good else daytime a may be doable thing,10-2019,Family,2020-01-30 05:40:22.225546
,1,29,https://www.tripadvisor.com.sg/Profile/bluehive,716360002,08-10-2019,3,You can Skip it,An entry fee of $8 and more than an hour of wait is not a fair price of the skywalk. It’s nothing extraordinarily and I personally preferred the view of supertrees from the ground. Skip it and rather explore gardens by the bay.,10-2019,Family,2020-01-30 05:40:22.612459
,1,29,https://www.tripadvisor.com.sg/Profile/Stha77,703315760,26-08-2019,5,Absolutely beautiful 😍😍,"We viewed the skyway during the night and came back to go on it during the day. Either way, this takes your breath away! What an amazing structure! It feels really futuristic and magical.
The views from the Skyway are breath taking. Seeing it in pictures is nothing compared to the real experience. The skyway does sway a little so perhaps if you are afraid of heights this might not be for you. However, the feeling you get from just standing on it is worthwhile!

During the night, when it is busy, time spent on it can be limited to 15 minutes. This is not enforced though. When it is not busy, you can spend as much time as you want and take in the experience and feeling that comes with standing on top of such a magical structure while you marvel at the trees.

The tickets can be purchased just beside the skyway and are not expensive.

If you come to Singapore and you do not go on the Skyway, I mean, were you even in Singapore?",08-2019,Family,2020-01-30 05:40:22.964164
,1,29,https://www.tripadvisor.com.sg/Profile/WillB2000,691556623,22-07-2019,4,Enjoyable walkway and view,Another enjoyable part of our trip to the garden domes. We went on the way on a pretty hot day. It was refreshing to get above the trees into the breeze. They are set up to manage a lot of people (which I assume is the case at sunset). It wasn’t busy in the middle of the day. Great view of marina bay sands and the domes.,07-2019,Family,2020-01-30 05:40:23.306118
,1,29,https://www.tripadvisor.com.sg/Profile/russellw907,689713084,15-07-2019,4,Timed for performance,We were lucky enough to get on the skyway a few minutes before the music and light show began and it was quite a wonderful experience.,07-2019,Family,2020-01-30 05:40:23.662580
,1,29,https://www.tripadvisor.com.sg/Profile/lea63,688897346,12-07-2019,4,Great Night View,This attraction has timed tickets. Limited numbers are allowed on the Skyway at each time slot. There is an elevator to the top. Not great for those who don't like heights but a great view.,07-2019,Family,2020-01-30 05:40:24.016612
,1,29,https://www.tripadvisor.com.sg/Profile/DarThen,687240770,06-07-2019,4,Great Vantage Point for view of the Marina Bay landmarks and vicinity,Elevated bridge offers a fantastic vantage point of the surrounding and landmarks. Easy walk for a surround view.,07-2019,Family,2020-01-30 05:40:24.382179
,1,29,https://www.tripadvisor.com.sg/Profile/manda_yani,686629454,04-07-2019,4,Amazing view,"One of must try attraction when visited Garden by the bay. We can walk from one supertree to others with amazing view. It's a short distance but please take care of your children. At the bridge we can see many of Singapore landmark such as Marina Bay Sand or Singapore Flyer. But if you afraid of heights of have vertigo, just choose another attraction :)",06-2019,Family,2020-01-30 05:40:24.755171
,1,29,https://www.tripadvisor.com.sg/Profile/SASHAH2503,684510785,26-06-2019,3,Good,a good place to view the Light and Sound show available every evening free of cost at Garden by the Bay.,06-2019,Family,2020-01-30 05:40:30.702292
,1,29,https://www.tripadvisor.com.sg/Profile/tancksf,679835981,08-06-2019,4,Stunning Panoramic View,Enchanting view of the beautiful skyline of Singapore city ... especially great when coupled with cool weather ... on a suspended walk way,06-2019,Family,2020-01-30 05:40:30.977679
,1,29,https://www.tripadvisor.com.sg/Profile/sgdeepakkamath,679385425,06-06-2019,5,SHOW STOPPER,Its a 25 to 30 minutes show in the evening after 7 pm.The show with lights and music is just amazing.,05-2019,Family,2020-01-30 05:40:31.299570
,1,29,https://www.tripadvisor.com.sg/Profile/Rajeebg,672897616,10-05-2019,4,Beautiful at Nights !!,Wait n Watch the Nights and the OCBC skyway to see entire Simgapore . Its simply awesome and what everyone should like.,05-2019,Family,2020-01-30 05:40:31.659123
,1,29,https://www.tripadvisor.com.sg/Profile/Fidzje,671932302,06-05-2019,5,beautiful!,"Waw, you need to see this! The small fee you need to pay is so worth it! Go and explore, enjoy the great views!",05-2019,Family,2020-01-30 05:40:32.014703
,1,29,https://www.tripadvisor.com.sg/Profile/TLZZE,671913243,06-05-2019,5,Worth it!,"If you get a good deal for the OSBC and the park is not packed, then would highly recommend for a different perspective. Really nice views and can get some great pics.
Lining up was a bit of a pain, but kept the skyway less crowded.",04-2019,Family,2020-01-30 05:40:32.378973
,1,29,https://www.tripadvisor.com.sg/Profile/AnaAngelica,670678887,01-05-2019,4,Tip: Get tickets beforehand,We were disappointed that we couldn't go up on the Skyway because you need to buy the tickets way before the light show as they quickly run out.,01-2019,Family,2020-01-30 05:40:32.694888
,1,29,https://www.tripadvisor.com.sg/Profile/NandanRao,670438948,30-04-2019,5,Worth visiting,"Up close to the Super Trees, it is a different experience to see the super tree grove from up above. For an Extra $8, you can take an elevator to go up the skyway and get a birds eye view of the super tree grove as well as the surroundings.

The Skyway serves two purposes - get a closer view of the super trees and the surroundings and for many people - most importantly provide multiple photo opportunities.

Tip: Queue up at the ticketing kiost around 7:15pm and get on top by about 7:40pm to enjoy the light show from the top of the bridge. Note that the number of people on top is limited, so depending on the number of people, the queuing time differs",04-2019,Family,2020-01-30 05:40:33.066141
,1,29,https://www.tripadvisor.com.sg/Profile/mikempink,670406520,30-04-2019,5,Supertrees are amazing at night,"Don't miss this garden lighted area with spectacular ""supertrees"". It is located near the city center and the equally spectacular hotel with at ""ship"" on top. Also, very near the Merlion park area.",04-2019,Family,2020-01-30 05:40:33.423835
,1,29,https://www.tripadvisor.com.sg/Profile/Timothy Cameron B,669068302,25-04-2019,5,Great View,"This skyway walk is surprisingly high and affords great vies of the gardens, Flyer and Marina Bay Sands Hotel. Not expensive and worth the time.",04-2019,Family,2020-01-30 05:40:33.731515
,1,29,https://www.tripadvisor.com.sg/Profile/Sylvia G,665146985,10-04-2019,5,Scary and wonderful,Our daughter and I went up on the Skyway - terrifying if you don't like heights (they do warn you of this). I don't do heights and became scared about half way around BUT the view from up there is magic. You really feel like you are up in the trees. The light show (after we came down) was spectacular. Lovely colours and the choreography was well done. Long ques but worth the wait - and they do move reasonably quickly - very orderly.,03-2019,Family,2020-01-30 05:40:39.543516
,1,29,https://www.tripadvisor.com.sg/Profile/GautamChawla9,662660665,01-04-2019,5,Very nice experience,It was an amazing experience being on the top of the super grove trees. One of a kind and great experience.,03-2019,Family,2020-01-30 05:40:39.883675
