POI_DESC,LATITUDE,LONGITUDE
Chinese Garden,1.3389865,103.7297532
Clarke Quay,1.2906024,103.8464742
Costa Sands Resort,1.2552594,103.8142241
Crowne Plaza Changi Airport,1.3586541,103.9880221
Crystal Jade Restaurant,1.3025639,103.8342384
D'Resort @ Downtown East,1.3799923,103.9549057
Dempsey Hill,1.3033106,103.8094606
Din Tai Fung,1.2854121,103.8595593
East Coast Lagoon Food Village,1.306833,103.93499
East Coast Park,1.3007842,103.9121866
East Coast Seafood Centre,1.3051379,103.9306061
Emerald Hill,1.301854,103.8390043
Esplanade - Theatres on the Bay,1.2897934,103.8558166
Esplanade Park,1.2906227,103.8540007
Esplanade-Theatres on the Bay,1.2897934,103.8558166
Faber Peak Singapore and Singapore Cable Car,1.2713286,103.8194656
Fairmont,1.2940937,103.853722
*Scape,1.30104,103.835752
1-Altitude,1.2848153,103.8507933
ArtScience Museum,1.2862738,103.8592663
Ascott Orchard Singapore,1.304101,103.837061
Ascott Singapore Raffles Place,1.281998,103.851579
Asian Civilisations Museum,1.2874969,103.8513861
Bay Hotel Singapore,1.2663657,103.8237971
Bayview Hotel Singapore,1.2986041,103.8502808
Beach Hotel,1.2974162,103.8568089
Big Box,1.331863,103.744751
Boat Quay,1.2877138,103.849356
Bounce Singapore,1.3017505,103.8363525
Bugis Junction,1.2993001,103.8552762
Bugis Street,1.300639,103.8548373
Bugis+,1.300051,103.854139
Capitol Piazza,1.2931317,103.8514392
Capri By Fraser Changi City,1.3341011,103.9636612
Changi Airport,1.3644202,103.9915308
Changi Beach Park,1.3909433,103.9920554
Changi City Point,1.334337,103.962458
Changi Cove,1.3887233,103.9765088
Changi Point Coastal Walk,1.3906746,103.9883041
Changi Village Hawker Centre,1.3894144,103.9881971
CHIJMES,1.2951877,103.8520046
Harbourfront Centre,1.2645073,103.8203382
Hard Rock Hotel,1.2577913,103.8189046
Haw Par Villa,1.2835657,103.7816432
Hilton Singapore,1.305891,103.82942
Holiday Inn Express Singapore Clarke Quay,1.289123,103.842014
Holiday Inn Express Singapore Katong,1.3046435,103.9044971
Holiday Inn Express Singapore Orchard Road,1.303304,103.8366149
Holiday Inn Singapore Atrium,1.288878,103.834491
Holiday Inn Singapore Orchard City Centre,1.3022488,103.8410623
Fitness First,1.277781,103.84754
Forest Adventure,1.3429,103.9307724
Fort Canning Lodge,1.2975972,103.8449476
Fort Canning Park,1.2941149,103.8463071
Fort Siloso,1.25915,103.8086221
Gardens By The Bay,1.2815683,103.8636132
Lau Pa Sat,1.280684,103.8504436
MacRitchie HSBC Tree Top Walk,1.3447621,103.8223506
MacRitchie Reservoir Park,1.3447621,103.8223506
Madame Tussauds Singapore & Images of Singapore LIVE,1.2538878,103.8176412
Mandarin Gallery,1.302012,103.836271
Mandarin Orchard,1.3020052,103.8359339
Mandarin Oriental,1.2904197,103.8582765
Marina Barrage,1.2805281,103.8711746
Marina Bay Cruise Centre,1.2709259,103.8634087
Marina Bay Golf Course,1.293302,103.871554
Marina Bay Link Mall,1.2799564,103.854474
Marina Bay Sands Expo & Convention Centre,1.282544,103.858638
Marina Bay Sands Singapore,1.2842442,103.8598681
Marina Bay Sands The Shoppes,1.2841037,103.8595793
Marina Bay Sands-Casino,1.2830623,103.858781
Marina Mandarin,1.2917922,103.8571184
Marina Square,1.2914539,103.8578549
Marriott Hotel + CK Tang,1.305104,103.832837
IKEA Alexandra,1.2880072,103.8060273
IKEA Tampines,1.3742948,103.9321855
Jumbo Seafood Restaurant - East Coast Park,1.3051379,103.9306061
Jumbo Seafood Restaurant - Riverside Point,1.289279,103.84465
Jumbo Seafood Restaurant - Riverwalk,1.290046,103.84824
JW Marriott Hotel Singapore South Beach,1.2947842,103.856524
Palawan Beach,1.2482777,103.8225374
Pan Pacific Orchard,1.3074414,103.829745
"Pan Pacific Serviced Suites Beach Road, Singapore",1.2995208,103.8600482
Pan Pacific Singapore Service Suites,1.3009657,103.8378432
Peranakan House,1.3103678,103.9024868
Pulau Ubin,1.4125659,103.9577334
Raffles City Shopping Centre,1.2940117,103.8533839
Raffles Hotel,1.2948829,103.8544791
Red Dot Design Museum,1.280285,103.856454
Universal Studios Singapore,1.2540421,103.8238084
VivoCity,1.2642822,103.8221578
Wheelock Place,1.3045416,103.8302982
White Sand Shopping Centre,1.3724701,103.9496179
Wild Wild Wet,1.3773814,103.9543187
Wisma Atria,1.3038568,103.8330558
YMCA @ One Orchard,1.297707,103.8480547
York Hotel,1.3073054,103.835584
Zouk,1.290671,103.846033
Singapore Science Centre,1.3332332,103.7362246
Singapore Sports Hub (National Stadium),1.3043297,103.8743375
