REVIEWER_URL,REVIEWER_NAME,RAW_HOME_LOCATION,CLEANED_HOME_LOCATION,NUMBER_OF_CONTRIBUTIONS,HELPFUL_VOTES,REVIEWER_UPDATED_TIME
https://www.tripadvisor.com.sg/Profile/HoaMy_Ho,HoaMy_Ho,"
Hoi An, Vietnam",,27,,2020-01-30 18:31:50.791498
https://www.tripadvisor.com.sg/Profile/Marvelash,Marvelash,"
Solihull, United Kingdom",,11,3,2020-01-30 18:31:50.972278
https://www.tripadvisor.com.sg/Profile/minnesotans4,minnesotans4,"
Saint Paul, Minnesota",,1711,876,2020-01-30 18:31:51.193279
https://www.tripadvisor.com.sg/Profile/Mudofir H,Mudofir H,"
Jakarta, Indonesia",,284,42,2020-01-30 18:31:51.394864
https://www.tripadvisor.com.sg/Profile/goony51,goony51,"
Melbourne, Australia",,127,74,2020-01-30 18:31:51.596662
https://www.tripadvisor.com.sg/Profile/Fahim F,Fahim F,"
Dhaka City, Bangladesh",,23,14,2020-01-30 18:31:51.785636
https://www.tripadvisor.com.sg/Profile/Dgoh359,Dgoh359,"
Singapore, Singapore",,158,49,2020-01-30 18:31:51.966285
https://www.tripadvisor.com.sg/Profile/Murali_Cbe,Murali_Cbe,"
Coimbatore, India",,8,1,2020-01-30 18:31:52.145086
https://www.tripadvisor.com.sg/Profile/NurulFatma,NurulFatma,"
Shah Alam, Malaysia",,3,1,2020-01-30 18:31:52.325027
https://www.tripadvisor.com.sg/Profile/Sophien101,Sophien101,"
Chandler’s Ford, United Kingdom",,69,16,2020-01-30 18:31:52.519797
